S.No,Watershed code,Watershed Name,Village Name,Artificial recharge structure [comand area],,,,,,,,,,Artificial recharge structure [Non-comand area],,,,,,,,,,Artificial recharge structure [Poor-comand area],,,,,,,,,
,,,,Number PTs,"Storage 
ha-m",Number mini PTs,"Storage 
ha-m",Number CDs,"Storage 
ha-m",Number dop/ farm ponds,"Storage 
ha-m",other structures,Storage [ha.m],Number PTs,"Storage 
ha-m",Number mini PTs,"Storage 
ha-m",Number CDs,"Storage 
ha-m",Number dop/ farm ponds,"Storage 
ha-m",other structures,Storage [ha.m],Number PTs,"Storage 
ha-m",Number mini PTs,"Storage 
ha-m",Number CDs,"Storage 
ha-m",Number dop/ form ponds,"Storage 
ha-m",other structures,Storage [ha.m]
56,12_D_46_01,ATP_D_46_Donekal,Gadehothur,,0.2,,0.1,0,0.1,0,0.01,,0.01,0,0,0,0.1,0,0.1,0,0.01,0,0.01,,,,,,,,,,
57,12_D_46_01,ATP_D_46_Donekal,Chinnahothur,,0.2,,0.1,0,0.1,0,0.01,,0.01,0,0.2,0,0.1,0,0.1,0,0.01,0,0.01,,,,,,,,,,
58,12_D_46_01,ATP_D_46_Donekal,Anchanahal,,0.2,,0.1,0,0.1,0,0.01,,0.01,,0.2,,0.1,0,0.1,,0.01,,0.01,,,,,,,,,,
59,12_D_46_01,ATP_D_46_Donekal,Poliki,,0.2,,0.1,0,0.1,0,0.01,,0.01,,0.2,,0.1,0,0.1,,0.01,,0.01,,,,,,,,,,
60,12_D_46_10,ATP_D_46_Kanekal,Brahmasamudram,2,0.2,2,0.1,0,0.1,12,0.01,10,0.01,0,0.2,0,0.1,0,0.1,1,0.01,2,0.01,,,,,,,,,,
61,12_D_46_10,ATP_D_46_Kanekal,Bennikal,0,0.2,0,0.1,0,0.1,0,0.01,3,0.01,1,0.2,1,0.1,1,0.1,3,0.01,10,0.01,,,,,,,,,,
62,12_D_46_10,ATP_D_46_Kanekal,Udegolam,0,0.2,0,0.1,0,0.1,0,0.01,2,0.01,0,0.2,0,0.1,0,0.1,2,0.01,1,0.01,,,,,,,,,,
63,12_D_46_10,ATP_D_46_Kanekal,Kanekal,0,0.2,0,0.1,1,0.1,1,0.01,2,0.01,0,0.2,0,0.1,0,0.1,2,0.01,2,0.01,,,,,,,,,,
64,12_D_46_10,ATP_D_46_Kanekal,Hulikera,0,0.2,0,0.1,0,0.1,0,0.01,3,0.01,1,0.2,2,0.1,1,0.1,15,0.01,12,0.01,,,,,,,,,,
65,12_D_46_10,ATP_D_46_Kanekal,D. Kondapuram,0,0.2,8,0.1,5,0.1,105,0.01,4,0.01,2,0.2,1,0.1,1,0.1,3,0.01,12,0.01,,,,,,,,,,
66,12_D_46_10,ATP_D_46_Kanekal,Vadrahonnur,2,0.2,0,0.1,5,0.1,12,0.01,3,0.01,1,0.2,2,0.1,0,0.1,3,0.01,10,0.01,,,,,,,,,,
67,12_D_46_10,ATP_D_46_Kanekal,Gramadatla,3,0.2,6,0.1,0,0.1,6,0.01,2,0.01,1,0.2,0,0.1,3,0.1,2,0.01,10,0.01,,,,,,,,,,
68,12_C_65_03,ATP_C_65_Ubicherla,G.Anantapur,0,0.2,0,0.1,0,0.1,0,0.01,0,0.01,1,0.2,3,0.1,12,0.1,33,0.01,10,0.01,,,,,,,,,,
69,12_C_65_03,ATP_C_65_Ubicherla,Virupapuram,,0.2,,0.1,0,0.1,,0.01,,0.01,2,0.2,2,0.1,0,0.1,29,0.01,15,0.01,0,0,0,0,0,0,0,0,0,0
70,12_C_65_03,ATP_C_65_Ubicherla,G.Venkatampalli,,0.2,,0.1,0,0.1,,0.01,,0.01,2,0.2,0,0.1,2,0.1,9,0.01,10,0.01,,,,,,,,,,
71,12_C_65_03,ATP_C_65_Ubicherla,Avulampalli,,0.2,,0.1,0,0.1,,0.01,,0.01,1,0.2,0,0.1,1,0.1,1,0.01,12,0.01,,,,,,,,,,
72,12_C_65_03,ATP_C_65_Ubicherla,Peddavadugur,,0.2,1,0.1,7,0.1,80,0.01,,0.01,,0.2,,0.1,0,0.1,,0.01,,0.01,,,,,,,,,,
73,12_C_65_03,ATP_C_65_Ubicherla,Medimakulapalli,,0.2,,0.1,0,0.1,,0.01,,0.01,0,0.2,1,0.1,2,0.1,6,0.01,10,0.01,,,,,,,,,,
74,12_C_65_03,ATP_C_65_Ubicherla,Teliki,,0.2,,0.1,0,0.1,,0.01,,0.01,1,0.2,1,0.1,0,0.1,1,0.01,15,0.01,,,,,,,,,,
75,12_C_65_03,ATP_C_65_Ubicherla,C.Vadugur,,0.2,2,0.1,0,0.1,46,0.01,,0.01,,0.2,,0.1,0,0.1,,0.01,,0.01,,,,,,,,,,
76,12_C_65_03,ATP_C_65_Ubicherla,Nagalapuram,,0.2,,0.1,0,0.1,,0.01,,0.01,1,0.2,0,0.1,1,0.1,1,0.01,0,0.01,,,,,,,,,,
77,12_C_65_03,ATP_C_65_Ubicherla,Dimmagudi,,0.2,,0.1,0,0.1,46,0.01,,0.01,,0.2,,0.1,0,0.1,,0.01,,0.01,,,,,,,,,,
78,12_C_65_03,ATP_C_65_Ubicherla,Chittoor,3,0.2,,0.1,0,0.1,53,0.01,,0.01,,0.2,,0.1,0,0.1,,0.01,,0.01,,,,,,,,,,
79,12_C_65_03,ATP_C_65_Ubicherla,Kandla Gudur,1,0.2,2,0.1,3,0.1,10,0.01,,0.01,,0.2,,0.1,0,0.1,,0.01,,0.01,,,,,,,,,,
80,12_C_65_03,ATP_C_65_Ubicherla,Chitrachedu,,0.2,,0.1,0,0.1,,0.01,,0.01,0,0.2,2,0.1,1,0.1,13,0.01,10,0.01,,,,,,,,,,
81,12_C_65_03,ATP_C_65_Ubicherla,Mulakatalla,,0.2,,0.1,0,0.1,,0.01,,0.01,1,0.2,1,0.1,0,0.1,2,0.01,10,0.01,,,,,,,,,,
82,12_C_65_03,ATP_C_65_Ubicherla,Ubicherla,,0.2,,0.1,0,0.1,,0.01,,0.01,3,0.2,0,0.1,11,0.1,37,0.01,15,0.01,,,,,,,,,,
83,12_C_65_03,ATP_C_65_Ubicherla,Karidikonda,,0.2,,0.1,0,0.1,,0.01,,0.01,1,0.2,4,0.1,6,0.1,22,0.01,3,0.01,,,,,,,,,,
84,12_C_65_03,ATP_C_65_Ubicherla,Dharmapuram,,0.2,,0.1,0,0.1,,0.01,,0.01,1,0.2,6,0.1,8,0.1,28,0.01,16,0.01,,,,,,,,,,
85,12_C_65_03,ATP_C_65_Ubicherla,Chetnepalli,,0.2,,0.1,0,0.1,,0.01,,0.01,2,0.2,5,0.1,10,0.1,23,0.01,14,0.01,,,,,,,,,,
86,12_C_65_03,ATP_C_65_Ubicherla,Kojjepalli,,0.2,,0.1,0,0.1,,0.01,,0.01,1,0.2,1,0.1,3,0.1,43,0.01,14,0.01,,,,,,,,,,
87,12_C_65_03,ATP_C_65_Ubicherla,Turakapalli,,0.2,,0.1,0,0.1,,0.01,,0.01,3,0.2,0,0.1,18,0.1,64,0.01,13,0.01,,,,,,,,,,
88,12_C_65_03,ATP_C_65_Ubicherla,Gooty(R),,0.2,,0.1,0,0.1,,0.01,,0.01,1,0.2,0,0.1,1,0.1,0,0.01,0,0.01,,,,,,,,,,
89,12_C_65_03,ATP_C_65_Ubicherla,Kothapeta,,0.2,,0.1,0,0.1,,0.01,,0.01,0,0.2,0,0.1,2,0.1,6,0.01,0,0.01,,,,,,,,,,
90,12_C_65_03,ATP_C_65_Ubicherla,Engilibanda,,0.2,,0.1,0,0.1,,0.01,,0.01,2,0.2,4,0.1,3,0.1,1,0.01,10,0.01,,,,,,,,,,
91,12_C_65_03,ATP_C_65_Ubicherla,Obulapuram,,0.2,,0.1,0,0.1,,0.01,,0.01,1,0,0,0.1,1,0.1,2,0.01,15,0.01,,,,,,,,,,
92,12_C_65_15,ATP_C_65_Budedu,Penakacherla,0,0.2,0,0.1,2,0.1,12,0.01,5,0.01,,,,,,,,,,,,,,,,,,,,
93,12_C_65_15,ATP_C_65_Budedu,Koppalakonda,0,0.2,0,0.1,2,0.1,3,0.3,6,0.01,,,,,,,,,,,1,10,1,0.5,6,0.6,3,0.3,10,1
