S.No,Watershed code,Watershed Name,Village Name,Length,Design depth of flow,Bed width,Side Slopes,WettedPerimeter,Wetted area,Canal seepage factor,No.of operating days of canal,,Recharge from canal (ha.m),,Annual Recharge
,,,,mts,mts,mts,( degrees ),mts,( m.sq mts.),( ha.m/d/m.sq.m ),Monsoon,N-Monsoon,Monsoon,Non-Monsoon,( ha.m )
43,12_D_46_01,ATP_D_46_D.Hirehal,Nemakallu,3550,2,10,45,13,0.048,15,30,90,21.4,64.19,85.59
44,12_D_46_01,ATP_D_46_D.Hirehal,Unthakallu,3500,4,10,45,17,0.059,15,30,90,26.44,79.32,105.77
45,12_D_46_01,ATP_D_46_D.Hirehal,Uddehal,2700,2,10,45,13,0.036,15,30,90,16.27,48.82,65.1
46,12_D_46_01,ATP_D_46_D.Hirehal,Bandur,2810,5,10,45,18,0.052,15,30,90,23.37,70.12,93.5
47,12_D_46_01,ATP_D_46_Donekal,Donekal,1200,4,5,45,11.8,0.014,15,30,90,6.37,19.1,25.46
48,12_D_46_01,ATP_D_46_Donekal,Kadadarabenchi,1000,4,5,45,11.8,0.012,15,30,90,5.3,15.91,21.22
49,12_D_46_01,ATP_D_46_Donekal,Gadekal,700,4,5,45,11.8,0.008,15,30,90,3.71,11.14,14.85
50,12_D_46_01,ATP_D_46_Donekal,N.Thimmapuram,300,4,5,45,11.8,0.004,15,30,90,1.59,4.77,6.37
51,12_D_46_01,ATP_D_46_Donekal,Velpumadugu,180,4,5,45,11.8,0.002,15,30,90,0.95,2.86,3.82
52,12_D_46_01,ATP_D_46_Donekal,Chabala,0,0,0,45,0,0,15,30,90,0,0,0
53,12_D_46_01,ATP_D_46_Donekal,Konakondla,250,4,5,45,11.8,0.003,15,30,90,1.33,3.98,5.3
54,12_D_46_01,ATP_D_46_Donekal,Gulyapalem,0,0,0,45,0,0,15,30,90,0,0,0
55,12_D_46_01,ATP_D_46_Donekal,Pottipadu,0,0,0,45,0,0,15,30,90,0,0,0
56,12_D_46_01,ATP_D_46_Donekal,Gadehothur,0,0,0,45,0,0,15,30,90,0,0,0
57,12_D_46_01,ATP_D_46_Donekal,Chinnahothur,0,0,0,45,0,0,15,30,90,0,0,0
58,12_D_46_01,ATP_D_46_Donekal,Anchanahal,400,4,5,45,11.8,0.005,15,30,90,2.12,6.37,8.49
59,12_D_46_01,ATP_D_46_Donekal,Poliki,600,4,5,45,11.8,0.007,15,30,90,3.18,9.55,12.73
