GW Watershed name,IWM MICROBASIN,GW Village name,IWM VILLAGE
ATP_C_63_Somandepalli,ATP_C_63_SOMANDEPALLI-MB,Cholemarri,Cholemarri
 ATP_C_67_Somagatta ,ATP_C_67_SOMAGATTA-MB,Chowdireddipalli,Chowdireddipalle
ATP_C_63_Parigi ,ATP_C_63_PARIGI-MB,Chowluru,Chowlur
ATP_C_67_Nallamada,ATP_C_67_NALLAMADA-MB,Chowtakuntapalli,Chowtakuntapalle
ATP_C_65_Gudipadu ,ATP_C_65_GUDIPADU_NC_PART KNL-MB,Chukkaluru,Chukkalur
ATP_D_46_Kanekal,ATP_D_46_KANEKAL-MB,D. Kondapuram,D.Kondapuram
ATP_C_67_Ravulachervu,ATP_C_67_RAVULACHERUVU-MB,D.Cherlopalli,D.Cherlopalle
ATP_D_46_D.Hirehal,ATP_D_46_D. HIREHAL-MB,D.Hirehal,D.Hirehal
ATP-D-46-Havalgi ,ATP_D_46_HAVALIGI (PART-MB,D.Honnur,D.Honnur
ATP_C_67_Kondakamarla,ATP_C_67_KONDAKAMARLA-MB,Daburuvaripalli,Daburuvaripalle
ATP_C_67_Kunuthuru,ATP_C_67_KUNUTHURU-MB,Dadaluru,Dadalur
ATP_C_59_Amadaguru,ATP_C_67_AMADAGURU-MB,Dademvaripalli,Dademvaripalle
ATP_C_67_Thimmampalli,ATP_C_67_THIMMAMPALLI (PART)-MB,Dadithota,Dadithota-1
ATP_C_66_Narpala,ATP_C_66_NARPALA-MB,Daggumarri,Duggumarri
ATP_C_67_Ravulachervu,ATP_C_67_RAVULACHERUVU-MB,Dampetla,Dampetla
ATP_C_65_Midthuru,ATP_C_65_MIDTHURU-MB,Dancherla,Dancherla
 ATP_C_67_Cheekatimanapalli,ATP_C_69_CHEEKATIMANIPALLI (PAR-MB,Danduvaripalle,Danduvaripalle-1
ATP_C_66_Narpala,ATP_C_66_NARPALA-MB,Danduvaripalli,Danduvaripalle
ATP_C_67_Ravulachervu,ATP_C_67_RAVULACHERUVU-MB,Darisimala,Darsimala
ATP_C_63_Lepakshi,ATP_C_63_LEPAKSHI-MB,Demakethapalli,Demakethepalle
ATP_C_67_Dorigallu,ATP_C_67_DORIGALLU-MB,Devaaragudipalli,Devaragudipalle
ATP_C_65_Puppala,ATP_C_65_PUPPALA-MB,Devanuppalapadu,Devanuppalapadu
ATP_C_65_Kaderpet ,ATP_C_65_KADERPET-MB,Devarapalli,Devarapalle-1
 ATP_C_63_Hindupur ,ATP_C_63_HINDUPUR-MB,Devarapalli,Devarapalle-2
 ATP_C_67_Chilmathur,ATP_C_67_CHILAMATHUR-MB,Devulacheruvu,Devulacheruvu
ATP_C_69_N.P. Kunta,ATP_C_69_N.P. KUNTA (PART)-MB,Dhaniyanicheruvu,Dhaniyanicheruvu
ATP_C_65_Puppala,ATP_C_65_PUPPALA-MB,Dharmapuram,Dharmapuram-2
ATP_C_65_Ubicherla,ATP_C_65_UBICHERLA (PART)-MB,Dharmapuram ,Dharmapuram-1
ATP_C_67_Kunuthuru,ATP_C_67_KUNUTHURU-MB,Dharmavaram ,Dharmavaram (M)
 ATP_C_69_Kokkanti ,ATP_C_69_KOKKANTI-MB,Diguvamandlapalli,Diguvamandalapalle
