,,,,CA,NCA,PQA,,,,,,,,,,,,,,,
,,,,Industrial,Industrial,Industrial,,,,,,,,,,,,,,,
Sr.no,Watershed code,GW watershed name,village name,Industrial Wells,Industrial Wells,Industrial Wells,Total,,,,,,,,,,,,,,
143,12_C_65_02,ATP_C_65_Kaderpet,Gajarampalli,,,,0,,,,,,,,,,,,,,
144,12_C_65_02,ATP_C_65_Kaderpet,Pogaruru,,,,0,,,,,,,,,,,,,,
145,12_C_65_02,ATP_C_65_Kaderpet,Gulimikondla,,,,0,,,,,,,,,,,,,,
146,12_C_65_02,ATP_C_65_Kaderpet,Kalapuram,,,,0,,,,,,,,,,,,,,
147,12_C_65_02,ATP_C_65_Kaderpet,Pamidi,,,,0,,,,,,,,,,,,,,
148,12_C_65_02,ATP_C_65_Kaderpet,Neeluru,,,,0,,,,,,,,,,,,,,
149,12_C_65_02,ATP_C_65_Kaderpet,Tamballapalli,,,,0,,,,,,,,,,,,,,
150,12_C_65_02,ATP_C_65_Kaderpet,Konduru,,,,0,,,,,,,,,,,,,,
151,12_C_65_02,ATP_C_65_Kaderpet,Ayyavaripalli,,,,0,,,,,,,,,,,,,,
152,12_C_65_02,ATP_C_65_Kaderpet,Ragulapadu,,,,0,,,,,,,,,,,,,,
153,12_C_65_01,ATP_C_65_Midthuru,Dancherla,,,,0,,,,,,,,,,,,,,
154,12_C_65_01,ATP_C_65_Midthuru,Y.T.Cheruvu,,0,,0,,,,,,,,,,,,,,
155,12_C_65_01,ATP_C_65_Midthuru,Nagasamudram,,,,0,,,,,,,,,,,,,,
156,12_C_65_01,ATP_C_65_Midthuru,Eswarapalli,,,,0,,,,,,,,,,,,,,
157,12_C_65_01,ATP_C_65_Midthuru,Mamadur,,,,0,,,,,,,,,,,,,,
158,12_C_65_01,ATP_C_65_Midthuru,Kamalapadu,,,,0,,,,,,,,,,,,,,
159,12_C_65_01,ATP_C_65_Midthuru,Miduthur,,,,0,,,,,,,,,,,,,,
160,12_C_65_01,ATP_C_65_Midthuru,Penakalapadu,,,,0,,,,,,,,,,,,,,
161,12_C_65_02,ATP_C_65_Tarimala,Kanampalli,0,,,0,,,,,,,,,,,,,,
162,12_C_65_02,ATP_C_65_Tarimala,Illuru,0,,,0,,,,,,,,,,,,,,
163,12_C_65_02,ATP_C_65_Tarimala,Kallur,0,,,0,,,,,,,,,,,,,,
164,12_C_65_02,ATP_C_65_Tarimala,Kallumadi,0,,,0,,,,,,,,,,,,,,
165,12_C_65_02,ATP_C_65_Tarimala,Tarimela,0,,,0,,,,,,,,,,,,,,
166,12_C_65_02,ATP_C_65_Tarimala,Nidhanawada,0,,,0,,,,,,,,,,,,,,
167,12_C_65_02,ATP_C_65_Tarimala,Anandaraopeta,0,,,0,,,,,,,,,,,,,,
168,12_C_65_02,ATP_C_65_Tarimala,Rachepalli,0,,,0,,,,,,,,,,,,,,
169,12_C_65_02,ATP_C_65_Tarimala,Buddepalli,0,,,0,,,,,,,,,,,,,,
170,12_C_66_14,ATP_C_66_Ananthapuramu,Siddrampuram,0,,,0,,,,,,,,,,,,,,
171,12_C_66_14,ATP_C_66_Ananthapuramu,Janthaluru,,10,,10,,,,,,,,,,,,,,
172,12_C_66_14,ATP_C_66_Ananthapuramu,Govindampalli,,1,,1,,,,,,,,,,,,,,
173,12_C_66_14,ATP_C_66_Ananthapuramu,B.K.Samudram,,,,0,,,,,,,,,,,,,,
174,12_C_66_14,ATP_C_66_Ananthapuramu,Reddipalli,0,,,0,,,,,,,,,,,,,,
175,12_C_66_14,ATP_C_66_Ananthapuramu,Somaladoddi,0,,,0,,,,,,,,,,,,,,
176,12_C_66_14,ATP_C_66_Ananthapuramu,Narayanapuram,0,,,0,,,,,,,,,,,,,,
177,12_C_66_14,ATP_C_66_Ananthapuramu,Kodimi,0,,,0,,,,,,,,,,,,,,
178,12_C_66_14,ATP_C_66_Ananthapuramu,Alamur,0,,,0,,,,,,,,,,,,,,
179,12_C_66_14,ATP_C_66_Ananthapuramu,Kakkalapalli,0,,,0,,,,,,,,,,,,,,
180,12_C_66_14,ATP_C_66_Ananthapuramu,Anantapur,0,21,,21,,,,,,,,,,,,,,
181,12_C_66_14,ATP_C_66_Ananthapuramu,Bukkacherla,0,,,0,,,,,,,,,,,,,,
182,12_C_66_14,ATP_C_66_Ananthapuramu,Katiganikaluva,0,,,0,,,,,,,,,,,,,,
183,12_C_66_04,ATP_C_66_Narpala,Chiyyedu,,,,0,,,,,,,,,,,,,,
184,12_C_66_04,ATP_C_66_Narpala,Chennampalli,,,,0,,,,,,,,,,,,,,
185,12_C_66_04,ATP_C_66_Narpala,K.Agragharam,,,,0,,,,,,,,,,,,,,
186,12_C_66_04,ATP_C_66_Narpala,Danduvaripalli,,,,0,,,,,,,,,,,,,,
187,12_C_66_04,ATP_C_66_Narpala,Chamaluru,,,,0,,,,,,,,,,,,,,
188,12_C_66_04,ATP_C_66_Narpala,Narpala,,,,0,,,,,,,,,,,,,,
189,12_C_66_04,ATP_C_66_Narpala,Daggumarri,,,,0,,,,,,,,,,,,,,
190,12_C_66_04,ATP_C_66_Narpala,Bondalavada,,,,0,,,,,,,,,,,,,,
191,12_C_66_04,ATP_C_66_Narpala,Siddaracherla,,,,0,,,,,,,,,,,,,,
192,12_C_66_04,ATP_C_66_Narpala,Durgam,,,,0,,,,,,,,,,,,,,
193,12_C_66_04,ATP_C_66_Narpala,Bandlapalli,,,,0,,,,,,,,,,,,,,
194,12_C_66_04,ATP_C_66_Narpala,B.Pappur,,,,0,,,,,,,,,,,,,,
195,12_C_66_04,ATP_C_66_Narpala,Venkatampalli,0,,,0,,,,,,,,,,,,,,
196,12_C_66_04,ATP_C_66_Narpala,Nadimidoddi,,,,0,,,,,,,,,,,,,,
197,12_C_66_04,ATP_C_66_Narpala,Korivipalli,,,,0,,,,,,,,,,,,,,
198,12_C_66_04,ATP_C_66_Narpala,Julakalva,,,,0,,,,,,,,,,,,,,
199,12_C_66_04,ATP_C_66_Narpala,Peravali,,,,0,,,,,,,,,,,,,,
200,12_C_66_06,ATP_C_66_Rotarypuram,Peddajalalpuram,0,,,0,,,,,,,,,,,,,,
201,12_C_66_06,ATP_C_66_Rotarypuram,Channavaram,0,10,,10,,,,,,,,,,,,,,
202,12_C_66_06,ATP_C_66_Rotarypuram,Narasapuram,0,,,0,,,,,,,,,,,,,,
203,12_C_66_06,ATP_C_66_Rotarypuram,Akuledu,0,,,0,,,,,,,,,,,,,,
204,12_C_66_06,ATP_C_66_Rotarypuram,Loluru,2,,,2,,,,,,,,,,,,,,
205,12_C_66_06,ATP_C_66_Rotarypuram,Karnatakampalli,0,,,0,,,,,,,,,,,,,,
206,12_C_66_06,ATP_C_66_Rotarypuram,Podaralla,0,,,0,,,,,,,,,,,,,,
