,,,,Command Area,,,,,,,,Non-Command Area,,,,,,,,Poor GW quality area,,,,,,,,,,,,,,,,,,,,,,
,,,,Irrigated,,,,,,,,Irrigated,,,,,,,,Irrigated,,,,,,,,,,,,,,,,,,,,,,
Sr.no,Watershed code,GW watershed name,village name,DW,DW PS,BW,STW,MTW,DTW,FP,Total,DW,DW PS,BW,STW,MTW,DTW,FP,Total,DW,DW PS,BW,STW,MTW,DTW,FP,Total,,,,,,,,,,,,,,,
65,12_D_46_10,ATP_D_46_Kanekal,D. Kondapuram,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,144,,,,,,,,0,,,,,,,,,,,,,,,
66,12_D_46_10,ATP_D_46_Kanekal,Vadrahonnur,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,102,,,,,,,,0,,,,,,,,,,,,,,,
67,12_D_46_10,ATP_D_46_Kanekal,Gramadatla,0,0,0,0,0,0,0,0,0,0,316,0,0,0,0,316,,,,,,,,0,,,,,,,,,,,,,,,
68,12_C_65_03,ATP_C_65_Ubicherla,G.Anantapur,0,0,0,0,,0,0,0,0,0,12,0,,0,0,12,,,,,,,,0,,,,,,,,,,,,,,,
69,12_C_65_03,ATP_C_65_Ubicherla,Virupapuram,0,0,0,0,,0,0,0,0,0,17,0,,0,0,17,,,,,,,,0,,,,,,,,,,,,,,,
70,12_C_65_03,ATP_C_65_Ubicherla,G.Venkatampalli,0,0,0,0,,0,0,0,0,0,21,0,,0,0,21,,,,,,,,0,,,,,,,,,,,,,,,
71,12_C_65_03,ATP_C_65_Ubicherla,Avulampalli,0,0,0,0,,0,0,0,0,0,17,0,,0,0,17,,,,,,,,0,,,,,,,,,,,,,,,
72,12_C_65_03,ATP_C_65_Ubicherla,Peddavadugur,0,0,49,0,,0,0,49,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,
73,12_C_65_03,ATP_C_65_Ubicherla,Medimakulapalli,0,0,0,0,,0,0,0,0,0,40,0,,0,0,40,,,,,,,,0,,,,,,,,,,,,,,,
74,12_C_65_03,ATP_C_65_Ubicherla,Teliki,0,0,0,0,,0,0,0,0,0,32,0,,0,0,32,,,,,,,,0,,,,,,,,,,,,,,,
75,12_C_65_03,ATP_C_65_Ubicherla,C.Vadugur,0,0,9,0,,0,0,9,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,
76,12_C_65_03,ATP_C_65_Ubicherla,Nagalapuram,0,0,0,0,,0,0,0,0,0,38,0,,0,0,38,,,,,,,,0,,,,,,,,,,,,,,,
77,12_C_65_03,ATP_C_65_Ubicherla,Dimmagudi,0,0,23,0,0,0,0,23,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,
78,12_C_65_03,ATP_C_65_Ubicherla,Chittoor,0,0,117,0,0,,0,117,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,
79,12_C_65_03,ATP_C_65_Ubicherla,Kandla Gudur,0,0,51,0,,0,0,51,0,0,0,0,,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,
80,12_C_65_03,ATP_C_65_Ubicherla,Chitrachedu,0,0,0,0,,0,0,0,0,0,137,0,,0,0,137,,,,,,,,0,,,,,,,,,,,,,,,
81,12_C_65_03,ATP_C_65_Ubicherla,Mulakatalla,0,0,0,0,,0,0,0,0,0,99,0,,0,0,99,,,,,,,,0,,,,,,,,,,,,,,,
82,12_C_65_03,ATP_C_65_Ubicherla,Ubicherla,0,0,0,0,,0,0,0,0,0,60,0,,0,0,60,,,,,,,,0,,,,,,,,,,,,,,,
83,12_C_65_03,ATP_C_65_Ubicherla,Karidikonda,0,0,0,0,,0,0,0,0,0,28,0,,0,0,28,,,,,,,,0,,,,,,,,,,,,,,,
84,12_C_65_03,ATP_C_65_Ubicherla,Dharmapuram,0,0,0,0,,0,0,0,0,0,32,0,,0,0,32,,,,,,,,0,,,,,,,,,,,,,,,
85,12_C_65_03,ATP_C_65_Ubicherla,Chetnepalli,0,0,0,0,,0,0,0,0,0,8,0,,0,0,8,,,,,,,,0,,,,,,,,,,,,,,,
86,12_C_65_03,ATP_C_65_Ubicherla,Kojjepalli,0,0,0,0,,0,0,0,0,0,76,0,,0,0,76,,,,,,,,0,,,,,,,,,,,,,,,
87,12_C_65_03,ATP_C_65_Ubicherla,Turakapalli,0,0,12,0,,0,0,12,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,
88,12_C_65_03,ATP_C_65_Ubicherla,Gooty(R),0,0,0,0,,0,0,0,0,0,148,0,,0,0,148,,,,,,,,0,,,,,,,,,,,,,,,
89,12_C_65_03,ATP_C_65_Ubicherla,Kothapeta,0,0,0,0,,0,0,0,0,0,172,0,,0,0,172,,,,,,,,0,,,,,,,,,,,,,,,
90,12_C_65_03,ATP_C_65_Ubicherla,Engilibanda,0,0,0,0,,0,0,0,0,0,39,0,,0,0,39,,,,,,,,0,,,,,,,,,,,,,,,
91,12_C_65_03,ATP_C_65_Ubicherla,Obulapuram,0,0,0,0,,0,0,0,0,0,117,0,,0,0,117,,,,,,,,0,,,,,,,,,,,,,,,
92,12_C_65_15,ATP_C_65_Budedu,Penakacherla,0,0,284,0,0,0,0,284,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,
93,12_C_65_15,ATP_C_65_Budedu,Koppalakonda,0,0,273,0,0,0,0,273,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,
94,12_C_65_15,ATP_C_65_Budedu,Kesavapuram,0,0,191,0,0,0,0,191,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,
95,12_C_65_15,ATP_C_65_Budedu,Muntimadugu,0,0,189,0,0,0,0,189,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,
96,12_C_65_15,ATP_C_65_Budedu,K.Agraharam,0,0,68,0,0,0,0,68,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,
97,12_C_65_15,ATP_C_65_Budedu,Ankampeta,0,0,102,0,0,0,0,102,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,
98,12_C_65_15,ATP_C_65_Budedu,Sirivaram,0,0,176,0,0,0,0,176,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,
