,,7,Command area,,,,,,,,,,,,Non-Command area,,,,,,,,,,,,Poor quality,,,,,,,,,,,
Sr.No,Watershed name,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,,,,,Industrial,,,
,,Type of well,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,,,,,yield,No.of ,Days of operation of wells          ,
,,,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,,,,,lph,wells,Monsoon,Non - Monsoon
43,VSP_F_15_C_VARAHA-3_S.RAYAVARAM,DW,828.5714285714,241,40,90,82.8571428571,177,120,240,1035.7142857143,3,120,240,828.5714285714,219,40,90,828.5714285714,151,120,240,0,,120,240,1118.5714285714,0,40,90,,,,,1035.7142857143,0,120,240
44,VSP_F_15_C_VARAHA-3_S.RAYAVARAM,DW+PS/DCB,828.5714285714,193,40,90,0,,120,240,828.5714285714,,120,240,828.5714285714,199,40,90,0,,120,240,0,,120,240,2071.4285714286,0,40,90,,,,,2071.4285714286,0,120,240
45,VSP_F_15_C_VARAHA-3_S.RAYAVARAM,BWs,1035.7142857143,2,40,90,1035.7142857143,19,120,240,2071.4285714286,,120,240,1035.7142857143,5,40,90,1035.7142857143,18,120,240,2071.4285714286,1,120,240,4142.8571428572,0,40,90,,,,,2071.4285714286,0,120,240
46,VSP_F_15_C_VARAHA-3_S.RAYAVARAM,STW,1657.1428571429,0,40,90,0,,120,240,2071.4285714286,,120,240,1657.1428571429,0,40,90,0,,120,240,0,,120,240,6380,0,40,90,,,,,2071.4285714286,0,120,240
47,VSP_F_15_C_VARAHA-3_S.RAYAVARAM,MTW,0,0,40,90,0,,120,240,2071.4285714286,,120,240,0,0,40,90,0,,120,240,0,,120,240,13050,0,40,90,,,,,2071.4285714286,0,120,240
48,VSP_F_15_C_VARAHA-3_S.RAYAVARAM,Deep TW,0,0,40,90,0,,120,240,4142.8571428572,,120,240,0,0,40,90,0,,120,240,0,,120,240,18642.8571428571,0,40,90,,,,,4142.8571428572,0,120,240
49,VSP_F_15_C_VARAHA-3_S.RAYAVARAM,Filter Points,2071.4285714286,557,40,90,0,,120,240,2071.4285714286,,120,240,2071.4285714286,414,40,90,0,,120,240,0,,120,240,2071.4285714286,0,40,90,,,,,2071.4285714286,0,120,240
50,VSP_F_15_C_VARAHA-SARPA_RAVIKAMATAM,DW,828.5714285714,180,40,90,82.8571428571,164,120,240,1035.7142857143,,120,240,828.5714285714,646,40,90,82.8571428571,786,120,240,0,,120,240,1118.5714285714,0,40,90,,,,,1035.7142857143,0,120,240
51,VSP_F_15_C_VARAHA-SARPA_RAVIKAMATAM,DW+PS/DCB,828.5714285714,85,40,90,0,,120,240,828.5714285714,,120,240,828.5714285714,438,40,90,0,,120,240,0,,120,240,828.5714285714,0,40,90,,,,,828.5714285714,0,120,240
52,VSP_F_15_C_VARAHA-SARPA_RAVIKAMATAM,BWs,1035.7142857143,48,40,90,1035.7142857143,19,120,240,2071.4285714286,,120,240,1035.7142857143,199,40,90,1035.7142857143,75,120,240,2071.4285714286,2,120,240,4142.8571428572,0,40,90,,,,,2071.4285714286,0,120,240
53,VSP_F_15_C_VARAHA-SARPA_RAVIKAMATAM,STW,1657.1428571429,0,40,90,0,,120,240,2071.4285714286,,120,240,1657.1428571429,0,40,90,0,,120,240,0,,120,240,6380,0,40,90,,,,,2071.4285714286,0,120,240
54,VSP_F_15_C_VARAHA-SARPA_RAVIKAMATAM,MTW,0,0,40,90,0,,120,240,2071.4285714286,,120,240,0,0,40,90,0,,120,240,0,,120,240,13050,0,40,90,,,,,2071.4285714286,0,120,240
55,VSP_F_15_C_VARAHA-SARPA_RAVIKAMATAM,Deep TW,0,0,40,90,0,,120,240,4142.8571428572,,120,240,0,0,40,90,0,,120,240,0,,120,240,18642.8571428571,0,40,90,,,,,4142.8571428572,0,120,240
56,VSP_F_15_C_VARAHA-SARPA_RAVIKAMATAM,Filter Points,2071.4285714286,32,40,90,0,,120,240,2071.4285714286,,120,240,2071.4285714286,240,40,90,0,,120,240,0,,120,240,2071.4285714286,0,40,90,,,,,2071.4285714286,0,120,240
57,VSP_F_16_C_TANDAVA-1_NAKKAPALLI,DW,828.5714285714,37,40,90,82.8571428571,92,120,240,1035.7142857143,10,120,240,828.5714285714,531,40,90,82.8571428571,551,120,240,0,,120,240,1118.5714285714,0,40,90,,,,,1035.7142857143,0,120,240
58,VSP_F_16_C_TANDAVA-1_NAKKAPALLI,DW+PS/DCB,828.5714285714,46,40,90,0,,120,240,828.5714285714,,120,240,828.5714285714,427,40,90,0,,120,240,0,,120,240,828.5714285714,0,40,90,,,,,828.5714285714,0,120,240
59,VSP_F_16_C_TANDAVA-1_NAKKAPALLI,BWs,1035.7142857143,0,40,90,1035.7142857143,12,120,240,2071.4285714286,,120,240,1035.7142857143,68,40,90,1035.7142857143,49,120,240,2071.4285714286,2,120,240,4142.8571428572,0,40,90,,,,,2071.4285714286,0,120,240
60,VSP_F_16_C_TANDAVA-1_NAKKAPALLI,STW,1657.1428571429,0,40,90,0,,120,240,2071.4285714286,,120,240,1657.1428571429,5,40,90,0,,120,240,0,,120,240,6380,0,40,90,,,,,2071.4285714286,0,120,240
61,VSP_F_16_C_TANDAVA-1_NAKKAPALLI,MTW,0,0,40,90,0,,120,240,2071.4285714286,,120,240,0,0,40,90,0,,120,240,0,,120,240,13050,0,40,90,,,,,2071.4285714286,0,120,240
62,VSP_F_16_C_TANDAVA-1_NAKKAPALLI,Deep TW,0,0,40,90,0,,120,240,4142.8571428572,,120,240,0,0,40,90,0,,120,240,0,,120,240,18642.8571428571,0,40,90,,,,,4142.8571428572,0,120,240
63,VSP_F_16_C_TANDAVA-1_NAKKAPALLI,Filter Points,2071.4285714286,228,40,90,0,,120,240,2071.4285714286,,120,240,2071.4285714286,371,40,90,0,,120,240,0,,120,240,2071.4285714286,0,40,90,,,,,2071.4285714286,0,120,240
64,VSP_F_16_C_TANDAVA-2_PAYAKARAOPETA,DW,828.5714285714,44,40,90,82.8571428571,119,120,240,0,,120,240,828.5714285714,,40,90,82.8571428571,,120,240,1035.7142857143,,120,240,1118.5714285714,0,40,90,,,,,1035.7142857143,0,120,240
