Sr.No,watershed code,gw watershed name,Village code,village name,Population [command area],Population [non command area],total Population,LPCD,,,,,,,,,,,,,,
68,11_C_65_09,KDP_C_65_09_Khajipet,11,Nandyalampet,11457,,11457,630135,,,PENNA,65_PENNA,Vakkileru,11_C_65_09,KDP_C_65_09_Khajipet,11,YSR Kadapa,6,Mydukur,11156060110112,11,Nandyalampet
69,11_C_65_09,KDP_C_65_09_Khajipet,12,Somayajulapalli,624,,624,34320,,,PENNA,65_PENNA,Vakkileru,11_C_65_09,KDP_C_65_09_Khajipet,11,YSR Kadapa,6,Mydukur,11156060120115,12,Somayajulapalli
70,11_C_65_09,KDP_C_65_09_Khajipet,13,Annaluru,2426,,2426,133430,,,PENNA,65_PENNA,Vakkileru,11_C_65_09,KDP_C_65_09_Khajipet,11,YSR Kadapa,6,Mydukur,11156060130115,13,Annaluru
71,11_C_65_09,KDP_C_65_09_Khajipet,14,Sivapuram,1287,,1287,70785,,,PENNA,65_PENNA,Vakkileru,11_C_65_09,KDP_C_65_09_Khajipet,11,YSR Kadapa,6,Mydukur,11156060140116,14,Sivapuram
72,11_C_65_09,KDP_C_65_09_Khajipet,15,S.Mydukur,24843,,24843,1366365,,,PENNA,65_PENNA,Vakkileru,11_C_65_09,KDP_C_65_09_Khajipet,11,YSR Kadapa,6,Mydukur,11156060150117,15,S.Mydukur
73,11_C_65_09,KDP_C_65_09_Khajipet,1,Bhumayapalli,5246,,5246,288530,,,PENNA,65_PENNA,Vakkileru,11_C_65_09,KDP_C_65_09_Khajipet,11,YSR Kadapa,13,Khajipet,11156130010101,1,Bhumayapalli
74,11_C_65_09,KDP_C_65_09_Khajipet,2,Buddayapalli,0,,0,0,,,PENNA,65_PENNA,Vakkileru,11_C_65_09,KDP_C_65_09_Khajipet,11,YSR Kadapa,13,Khajipet,11156130020103,2,Buddayapalli
75,11_C_65_09,KDP_C_65_09_Khajipet,3,Pulluru,5383,,5383,296065,,,PENNA,65_PENNA,Vakkileru,11_C_65_09,KDP_C_65_09_Khajipet,11,YSR Kadapa,13,Khajipet,11156130030104,3,Pulluru
76,11_C_65_09,KDP_C_65_09_Khajipet,4,Nagasanipalli,1555,,1555,85525,,,PENNA,65_PENNA,Vakkileru,11_C_65_09,KDP_C_65_09_Khajipet,11,YSR Kadapa,13,Khajipet,11156130040106,4,Nagasanipalli
77,11_C_65_09,KDP_C_65_09_Khajipet,5,Machupalli,0,,0,0,,,PENNA,65_PENNA,Vakkileru,11_C_65_09,KDP_C_65_09_Khajipet,11,YSR Kadapa,13,Khajipet,11156130050106,5,Machupalli
78,11_C_65_09,KDP_C_65_09_Khajipet,6,Pathuru,7965,,7965,438075,,,PENNA,65_PENNA,Vakkileru,11_C_65_09,KDP_C_65_09_Khajipet,11,YSR Kadapa,13,Khajipet,11156130060107,6,Pathuru
79,11_C_65_09,KDP_C_65_09_Khajipet,7,K.Sunkesula,11658,,11658,641190,,,PENNA,65_PENNA,Vakkileru,11_C_65_09,KDP_C_65_09_Khajipet,11,YSR Kadapa,13,Khajipet,11156130070103,7,K.Sunkesula
80,11_C_65_09,KDP_C_65_09_Khajipet,8,Tudumuladinne,2040,,2040,112200,,,PENNA,65_PENNA,Vakkileru,11_C_65_09,KDP_C_65_09_Khajipet,11,YSR Kadapa,13,Khajipet,11156130080109,8,Tudumuladinne
81,11_C_65_09,KDP_C_65_09_Khajipet,12,Kommaluru,688,,688,37840,,,PENNA,65_PENNA,Vakkileru,11_C_65_09,KDP_C_65_09_Khajipet,11,YSR Kadapa,13,Khajipet,11156130120114,12,Kommaluru
82,11_C_65_09,KDP_C_65_09_Khajipet,13,Thavvaripalli,1349,,1349,74195,,,PENNA,65_PENNA,Vakkileru,11_C_65_09,KDP_C_65_09_Khajipet,11,YSR Kadapa,13,Khajipet,11156130130115,13,Thavvaripalli
83,11_C_65_09,KDP_C_65_09_Khajipet,14,Ravulapalli,1740,,1740,95700,,,PENNA,65_PENNA,Vakkileru,11_C_65_09,KDP_C_65_09_Khajipet,11,YSR Kadapa,13,Khajipet,11156130140116,14,Ravulapalli
84,11_C_65_09,KDP_C_65_09_Khajipet,3,Kotlur,3798,,3798,208890,,,PENNA,65_PENNA,Vakkileru,11_C_65_09,KDP_C_65_09_Khajipet,11,YSR Kadapa,26,Vallur,11159260030103,3,Kotlur
85,11_C_65_09,KDP_C_65_09_Khajipet,Z,RF,,0,0,0,,,PENNA,65_PENNA,Vakkileru,11_C_65_09,KDP_C_65_09_Khajipet,11,YSR Kadapa,Z,RF,,Z,RF
86,11_C_65_11,KDP_C_65_11_CHENNURU,9,Thollaganganapalli,1153,,1153,63415,,,PENNA,65_PENNA,Chinthalavanka,11_C_65_11,KDP_C_65_11_CHENNURU,11,YSR Kadapa,26,Vallur,11154260090106,9,Thollaganganapalli
