S.No,Watershed code,Watershed Name, Village Name,Artificial recharge structure [comand area],,,,,,,,,,Artificial recharge structure [Non-comand area],,,,,,,,,,Artificial recharge structure [Poor-comand area],,,,,,,,,
,,,,Number PTs,"Storage 
ha-m",Number mini PTs,"Storage 
ha-m",Number CDs,"Storage 
ha-m",Number dop/ farm ponds,"Storage 
ha-m",other structures,Storage [ha.m],Number PTs,"Storage 
ha-m",Number mini PTs,"Storage 
ha-m",Number CDs,"Storage 
ha-m",Number dop/ farm ponds,"Storage 
ha-m",other structures,Storage [ha.m],Number PTs,"Storage 
ha-m",Number mini PTs,"Storage 
ha-m",Number CDs,"Storage 
ha-m",Number dop/ form ponds,"Storage 
ha-m",other structures,Storage [ha.m]
113,11_C_65_11,KDP_C_65_11_CHENNURU,K.Giriyampalli,,,,,,,,,,,,,1,0.3,,,,,1.8,,,,,,,,,,,
114,11_C_65_12,KDP_C_65_12_KADAPA,Guduru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,11_C_65_12,KDP_C_65_12_KADAPA,Pathacuddapah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,11_C_65_12,KDP_C_65_12_KADAPA,Ukkayapalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,11_C_65_12,KDP_C_65_12_KADAPA,Chemmumiyapet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,11_C_65_12,KDP_C_65_12_KADAPA,Akkyapalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,11_C_65_12,KDP_C_65_12_KADAPA,Palempalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,11_C_65_12,KDP_C_65_12_KADAPA,Chinnachowk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,11_C_65_12,KDP_C_65_12_KADAPA,Ramarajupalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,11_C_65_12,KDP_C_65_12_KADAPA,Nagarajupet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,11_C_65_12,KDP_C_65_12_KADAPA,Cuddapah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,11_C_65_12,KDP_C_65_12_KADAPA,Putlampalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,11_C_65_12,KDP_C_65_12_KADAPA,Chintakommadinne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,11_C_65_12,KDP_C_65_12_KADAPA,Utukuru,,,,,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,
127,11_C_65_12,KDP_C_65_12_KADAPA,Viswanathapuram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,11_C_65_12,KDP_C_65_12_KADAPA,Mamillapalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,11_C_65_12,KDP_C_65_12_KADAPA,Buggalapalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,11_C_65_12,KDP_C_65_12_KADAPA,Rudraiahgaripalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,11_C_65_12,KDP_C_65_12_KADAPA,Buggaletipalli,,,,,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,
132,11_C_65_12,KDP_C_65_12_KADAPA,Kolumulapalli,,,,,4,1.2,1,0.03,,,,,,,,,,,,,,,,,,,,,,
133,11_C_65_12,KDP_C_65_12_KADAPA,Jamalpalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,11_C_65_12,KDP_C_65_12_KADAPA,Chinnakampalli,,,,,,,9,0.27,,,,,,,,,,,,,,,,,,,,,,
135,11_C_65_12,KDP_C_65_12_KADAPA,Peddakampalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,11_C_65_12,KDP_C_65_12_KADAPA,Ippenta,,,,,5,1.5,,,,,,,,,,,,,,,,,,,,,,,,
137,11_C_65_12,KDP_C_65_12_KADAPA,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,11_C_65_16,KDP_C_67_16_KONDAPURAM,Kondapuram,,,,,4,1.2,,,,,,,,,,,,,,,,,,,,,,,,
139,11_C_65_16,KDP_C_67_16_KONDAPURAM,Obannapet,,,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
140,11_C_65_16,KDP_C_67_16_KONDAPURAM,Anantapuram,,,1,0.3,2,0.6,,,,,,,,,,,,,,,,,,,,,,,,
141,11_C_65_16,KDP_C_67_16_KONDAPURAM,Penujuvvi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,11_C_65_16,KDP_C_67_16_KONDAPURAM,Pottipadu,,,,,3,0.9,7,0.21,,,,,,,,,,,,,,,,,,,,,,
143,11_C_65_16,KDP_C_67_16_KONDAPURAM,Donkupalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,11_C_65_16,KDP_C_67_16_KONDAPURAM,S.Timmapuram,,,,,4,1.2,,,,,,,,,,,,,,,,,,,,,,,,
145,11_C_65_16,KDP_C_67_16_KONDAPURAM,Lavanur,,,,,,,,,,,,,,,6,1.8,,,,,,,,,,,,,,
146,11_C_65_16,KDP_C_67_16_KONDAPURAM,Chinnamanenipalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,11_C_65_16,KDP_C_67_16_KONDAPURAM,Lingamanenipalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
