,,,,Command Area,,Non command Area,,Poor quality area,,,,,
,,,,Residential,,Residential,,Residential,,,,,
Sr.no,Watershed code,GW watershed name,village name,DWDW/HP,DW PWS,DWDW/HP,DW PWS,DWDW/HP,DW PWS,Total,,,
153,11_C_65_17,KDP_C_67_17_ETURU,Yeturu,16,1,,,,,17,,,
154,11_C_65_17,KDP_C_67_17_ETURU,Beduduru,21,2,,,,,23,,,
155,11_C_65_17,KDP_C_67_17_ETURU,Yanamalachintala,11,0,,,,,11,,,
156,11_C_65_17,KDP_C_67_17_ETURU,Sivapuram,0,0,,,,,0,,,
157,11_C_65_18,KDP_C_67_18_PARNAPALLI,Komanutala,14,5,,,,,19,,,
158,11_C_65_18,KDP_C_67_18_PARNAPALLI,Velidandla,20,2,,,,,22,,,
159,11_C_65_18,KDP_C_67_18_PARNAPALLI,Parnapalli,7,2,,,,,9,,,
160,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Chinnaventurla,,,3,1,,,4,,,
161,11_C_65_19,KDP_C_68_19_T.M.PATNAM,B. Venkatapuram,,,0,0,,,0,,,
162,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Bestavemula,,,6,3,,,9,,,
163,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Kallutla,,,9,3,,,12,,,
164,11_C_65_19,KDP_C_68_19_T.M.PATNAM,A.Kambaladinne,,,4,1,,,5,,,
165,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Nawabpet,,,6,1,,,7,,,
166,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Chinnakomerla,22,3,,,,,25,,,
167,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Dugganapalli,,,2,0,,,2,,,
168,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Talamanchipatnam,,,6,1,,,7,,,
169,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Madhavaram,,,3,1,,,4,,,
170,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Golla Uppalapadu,,,4,1,,,5,,,
171,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Gollapalli,,,6,2,,,8,,,
172,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Vaddiralla,,,10,3,,,13,,,
173,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Dhannavada,,,4,1,,,5,,,
174,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Murapandi,,,5,2,,,7,,,
175,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Nakkavanipalli,,,1,1,,,2,,,
176,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Dhodium,,,6,3,,,9,,,
