sr.no,,,village name,No. M.I.Tanks command area,,Number of M.I.Tanks [Non command area],,"Number of M.I.Tanks PQ Area
[Poor GW Quality area]",
,Watershed code ,GW watershed name,,Number,spread ha,Number,spread ha,Number,spread ha
189,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Gundlakunta,0,0,,,,
190,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Medidinne,0,0,,,,
191,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Chadipiralladinne,0,0,,,,
192,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Chinnapasupula,,,,,,
193,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Salevariuppaluru,1,11,,,,
194,11_C_65_20,KDP_C_68_20_DIGUVAKALVATALA,Kondasunkesula,,,,,,
195,11_C_65_20,KDP_C_68_20_DIGUVAKALVATALA,Diguvakalvatala,,,,,,
196,11_C_65_20,KDP_C_68_20_DIGUVAKALVATALA,Papayapalli,,,,,,
197,11_C_65_20,KDP_C_68_20_DIGUVAKALVATALA,Nagireddypalli,,,,,,
198,11_C_65_20,KDP_C_68_20_DIGUVAKALVATALA,Nagarajupalli,,,,,,
199,11_C_65_20,KDP_C_68_20_DIGUVAKALVATALA,Paluru,,,,,,
200,11_C_65_20,KDP_C_68_20_DIGUVAKALVATALA,Gopalapuram,,,,,,
201,11_C_65_20,KDP_C_68_20_DIGUVAKALVATALA,B.Venkatapuram,,,,,,
202,11_C_65_21,KDP_C_68_21_PEDDAMUDIUM,Peddamudium,1,6,,,,
203,11_C_65_21,KDP_C_68_21_PEDDAMUDIUM,Suddapalli,0,0,,,,
204,11_C_65_21,KDP_C_68_21_PEDDAMUDIUM,Jangalapalli,1,5,,,,
205,11_C_65_21,KDP_C_68_21_PEDDAMUDIUM,J.Kothapalli,0,0,,,,
206,11_C_65_21,KDP_C_68_21_PEDDAMUDIUM,Uppaluru,1,7,,,,
207,11_C_65_21,KDP_C_68_21_PEDDAMUDIUM,Balapanagudur,0,0,,,,
208,11_C_65_21,KDP_C_68_21_PEDDAMUDIUM,Gopayapalli,0,0,,,,
209,11_C_65_22,KDP_C_68_22_RAJUPALEM,Nemalladinne,,,,,,
210,11_C_65_22,KDP_C_68_22_RAJUPALEM,N.Kottalapalli,,,,,,
211,11_C_65_22,KDP_C_68_22_RAJUPALEM,Peddapasupala,1,11,,,,
212,11_C_65_22,KDP_C_68_22_RAJUPALEM,Ulavapalli,,,,,,
213,11_C_65_22,KDP_C_68_22_RAJUPALEM,Vellala,,,,,,
214,11_C_65_22,KDP_C_68_22_RAJUPALEM,Paidala,,,,,,
215,11_C_65_22,KDP_C_68_22_RAJUPALEM,Daddanala,,,,,,
216,11_C_65_22,KDP_C_68_22_RAJUPALEM,Kulluru,,,,,,
217,11_C_65_22,KDP_C_68_22_RAJUPALEM,Gadeguduru,,,,,,
218,11_C_65_22,KDP_C_68_22_RAJUPALEM,Tangaturu,,,,,,
219,11_C_65_22,KDP_C_68_22_RAJUPALEM,Arkatavemula,,,,,,
220,11_C_65_22,KDP_C_68_22_RAJUPALEM,Parlapadu,,,,,,
221,11_C_65_22,KDP_C_68_22_RAJUPALEM,Rajupalem,,,,,,
222,11_C_65_22,KDP_C_68_22_RAJUPALEM,Thondaladinne,,,,,,
223,11_C_65_22,KDP_C_68_22_RAJUPALEM,Eruvupalem,,,,,,
224,11_C_65_22,KDP_C_68_22_RAJUPALEM,Chinnajonnavaram,,,,,,
225,11_C_65_22,KDP_C_68_22_RAJUPALEM,Velavali,,,,,,
226,11_C_65_23,KDP_C_68_23_CHAPADU,G.Kothapalli,,,,,,
227,11_C_65_23,KDP_C_68_23_CHAPADU,Chinnasettipalli,1,12,,,,
228,11_C_65_23,KDP_C_68_23_CHAPADU,Pottipadu,,,,,,
229,11_C_65_23,KDP_C_68_23_CHAPADU,Korrapadu,,,,,,
230,11_C_65_23,KDP_C_68_23_CHAPADU,Chapadu,,,,,,
231,11_C_65_23,KDP_C_68_23_CHAPADU,Pallavolu,,,,,,
232,11_C_65_23,KDP_C_68_23_CHAPADU,Thummalapadu,,,,,,
233,11_C_65_23,KDP_C_68_23_CHAPADU,Budidepadu,,,,,,
234,11_C_65_23,KDP_C_68_23_CHAPADU,Anantapuram,,,,,,
235,11_C_65_23,KDP_C_68_23_CHAPADU,Kutchupapa,,,,,,
236,11_C_65_23,KDP_C_68_23_CHAPADU,Vedururu,,,,,,
237,11_C_65_23,KDP_C_68_23_CHAPADU,Bollavaram,,,,,,
238,11_C_65_23,KDP_C_68_23_CHAPADU,Proddatur,,,,,,
239,11_C_65_23,KDP_C_68_23_CHAPADU,Gopavaram,,,,,,
240,11_C_65_23,KDP_C_68_23_CHAPADU,Kamanuru,,,,,,
241,11_C_65_23,KDP_C_68_23_CHAPADU,Sarvireddypalli,,,,,,
242,11_C_65_23,KDP_C_68_23_CHAPADU,Upparapalli,,,,,,
243,11_C_65_23,KDP_C_68_23_CHAPADU,Tallamapuram,,,,,,
244,11_C_65_23,KDP_C_68_23_CHAPADU,Yerraguntapalli,,,,,,
245,11_C_65_24,KDP_C_68_24_DUVVURU,Idamadaka,,,,,,
246,11_C_65_24,KDP_C_68_24_DUVVURU,Kanagudur,,,,,,
247,11_C_65_24,KDP_C_68_24_DUVVURU,Ramachandrapuram,,,,,,
248,11_C_65_24,KDP_C_68_24_DUVVURU,Dasaripalli,,,,,,
249,11_C_65_24,KDP_C_68_24_DUVVURU,Neelapuram,,,,,,
250,11_C_65_24,KDP_C_68_24_DUVVURU,Jillella,,,,,,
251,11_C_65_24,KDP_C_68_24_DUVVURU,Peddajonnavaram,,,,,,
252,11_C_65_24,KDP_C_68_24_DUVVURU,Duvvur,,,,,,
253,11_C_65_24,KDP_C_68_24_DUVVURU,Madirepalli,1,234,,,,
254,11_C_65_24,KDP_C_68_24_DUVVURU,Chinnasinganapalli,,,,,,
255,11_C_65_24,KDP_C_68_24_DUVVURU,Manerampalli,,,,,,
256,11_C_65_24,KDP_C_68_24_DUVVURU,Rajupalem,,,,,,
257,11_C_65_24,KDP_C_68_24_DUVVURU,Nelatur,,,,,,
258,11_C_65_24,KDP_C_68_24_DUVVURU,Balakkivaripalli,,,,,,
259,11_C_65_24,KDP_C_68_24_DUVVURU,Machanapalli,,,,,,
260,11_C_65_24,KDP_C_68_24_DUVVURU,Annapusastrulapalli,,,,,,
261,11_C_65_24,KDP_C_68_24_DUVVURU,Maduru,,,,,,
262,11_C_65_24,KDP_C_68_24_DUVVURU,Vengannagaripalli,,,,,,
