IWM_Village_Name,Location_ID
Atchutapuratrayam-1,20109
Athalapalem,15566
Athava,28335
Athinatham,17329
Athiralladinne,12844
Athivaram,15450
Athivaram Kothapalem,15498
Athota,18124
Athur,16815
Athuru,16381
Atikivaripalem,19152
Atisurikaviti,25155
Atkuru,21073
Atlapadu,20315
Atlapragada,17522
Atlur-1,13924
Atmakur (Rural),17989
Atmakur-1,12423
Atmakur-2,13659
Atmakur-3,13684
Atmakur-4,17053
Atmakur-5,17961
Atmakur-6,28929
Atmaramuni Agraharam,27997
Atreyapuram-1,20402
Attada,28209
Attalasiddavaram,15082
Attali,25998
Attalur,17853
Attikalu,22096
Attikuppam,17289
Attili-1,20756
Atukuru,17715
Audi Pudi,28898
Audimurthipuram,12923
Audireddipalle,13258
Auranga Bad,11551
Avagudem,27080
Avakuru,21372
Avalangi,25768
Avalangi-1,26227
Avanigadda,21862
Avapadu,20254
Avatarabad,26608
Avethi,19135
Avidi,20794
AVILALA,16292
Avisanavaripalem,11091
Avuladatla-1,13503
Avulamanda,18557
Avulampalle,12699
Avulanatham,17456
Avulapalle,16604
Avulathimmanapalle,17346
Avulenna,13579
Avurupudi,21698
Avuruvada,23708
Avuvaripalle,16081
Ayanavedu,17061
Ayinada,28245
Ayinada-1,29113
Ayinamukkala,28882
Ayodhya,21856
Ayodhyapuram,25983
Ayyagari Palle,18350
Ayyagaripalem,14324
Ayyagarlapalle,14185
Ayyala Krishna Reddipalle,16607
Ayyalur (Rural),11824
Ayyamreddi Palle,17128
Ayyanapalem,12100
Ayyanapalle,13325
Ayyanki,21682
Ayyanna Agraharam,27847
Ayyannagaripalle,16455
Ayyannakota,12506
Ayyannapalem,18045
Ayyannapalem-1,28614
Ayyapalem,15949
Ayyaparaju Palem,12046
Ayyaparajugudem,20325
Ayyapareddipalem,15443
Ayyavandlapalle,16283
Ayyavari Kambala Dinne,12839
Ayyavari Kodur,11673
Ayyavari Palle,11375
Ayyavari Rudravaram,21258
Ayyavarigudem,18725
Ayyavaripalem,15084
Ayyavaripalem-1,16166
