Sr.No,watershed code,gw watershed name,Village code,village name,Population [command area],Population [non command area],total Population,LPCD
214,13_c_68_31(a),Ku_c_kd_Panyam(a),56,Kolumulapalli,,6663,6663,366465
215,13_c_68_31(a),Ku_c_kd_Panyam(a),58,Bethamcherla,,38994,38994,2144670
216,13_C_68_31(B),KU_C_KD_PANYAM(B),14,Alamuru,3958,0,3958,217690
217,13_C_68_31(B),KU_C_KD_PANYAM(B),8,Konidedu,2721,0,2721,149655
218,13_C_68_31(B),KU_C_KD_PANYAM(B),15,Gonavaram,1739,0,1739,95645
219,13_C_68_31(B),KU_C_KD_PANYAM(B),0,RF(Panyam),,0,0,0
220,13_c_68_37(a),Ku_C_kd_Rudravaram (a),17,Mandaluru,2041,,2041,112255
221,13_c_68_37(a),Ku_C_kd_Rudravaram (a),16,Muthuluru,3755,,3755,206525
222,13_c_68_37(a),Ku_C_kd_Rudravaram (a),12,Chandaluru,1239,,1239,68145
223,13_c_68_37(a),Ku_C_kd_Rudravaram (a),18,Narasapuram,3270,,3270,179850
224,13_c_68_37(a),Ku_C_kd_Rudravaram (a),15,T.Lingamdinne,1354,,1354,74470
225,13_c_68_37(a),Ku_C_kd_Rudravaram (a),7,Velagalapall,325,,325,17875
226,13_c_68_37(a),Ku_C_kd_Rudravaram (a),14,Rudravaram,8740,,8740,480700
227,13_c_68_37(a),Ku_C_kd_Rudravaram (a),8,Kondamayapalli,829,,829,45595
228,13_c_68_37(a),Ku_C_kd_Rudravaram (a),13,R.Nagulavaram,1371,,1371,75405
229,13_c_68_37(a),Ku_C_kd_Rudravaram (a),,RF,,,0,0
230,13_c_68_37-Nc- (b),Ku_C_Kd_Rudravaram (b),2,Kotakonda,2302,0,2302,126610
231,13_c_68_37-Nc- (b),Ku_C_Kd_Rudravaram (b),3,Sreerangapuram,2873,0,2873,158015
232,13_c_68_37-Nc- (b),Ku_C_Kd_Rudravaram (b),4,Yellavathulla,2104,0,2104,115720
233,13_c_68_37-Nc- (b),Ku_C_Kd_Rudravaram (b),5,Chinnakambaluru,2698,0,2698,148390
234,13_c_68_37-Nc- (b),Ku_C_Kd_Rudravaram (b),6,Peddakambaluru,2894,0,2894,159170
235,13_c_68_37-Nc- (b),Ku_C_Kd_Rudravaram (b),9,Perur,2324,0,2324,127820
236,13_c_68_37-Nc- (b),Ku_C_Kd_Rudravaram (b),10,Erragudidinna,1943,0,1943,106865
237,13_c_68_37-Nc- (b),Ku_C_Kd_Rudravaram (b),11,Chilakaluru,773,0,773,42515
238,13_c_68_37-Nc- (b),Ku_C_Kd_Rudravaram (b),,Reserve Forest,,0,0,0
239,13_C_68_45(a),KU_C_KD_Sanjamala(a),33,Rallakothur,720,0,720,39600
240,13_C_68_45(a),KU_C_KD_Sanjamala(a),34,Thammadapalli,825,0,825,45375
241,13_C_68_45(a),KU_C_KD_Sanjamala(a),36,Illurukothapeta,3720,0,3720,204600
242,13_C_68_45(a),KU_C_KD_Sanjamala(a),37,Jambuladinne,272,0,272,14960
243,13_C_68_45(a),KU_C_KD_Sanjamala(a),38,Niluvugondla,160,0,160,8800
244,13_C_68_45(a),KU_C_KD_Sanjamala(a),39,Gulamnabipeta,269,0,269,14795
245,13_C_68_45(a),KU_C_KD_Sanjamala(a),11,Amadala,1668,0,1668,91740
246,13_C_68_45(a),KU_C_KD_Sanjamala(a),12,Soudaradinne,1542,0,1542,84810
