,,,,"Command Area",,,,,,,"Non-Command Area",,,,,,,"Poor GW quality area",,,,,,
,,,,"Irrigated",,,,,,,"Irrigated",,,,,,,"Irrigated",,,,,,
"Sr.no","Watershed code","GW watershed name","village name","DW","DW PS","BW","STW","MTW","DTW","FP","DW","DW PS","BW","STW","MTW","DTW","FP","DW","DW PS","BW","STW","MTW","DTW","FP"
80,"05_I_37","WG_I_Chityala_Tallapudi","Chityala",0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0
81,"05_I_38","WG_I_Chityala_Tallapudi","Gangolu",0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0
82,"05_I_39","WG_I_Chityala_Tallapudi","Gopalapuram",0,0,0,0,0,0,0,0,81,175,52,0,0,0,0,0,0,0,0,0,0
83,"05_I_40","WG_I_Chityala_Tallapudi","Guddigudem",0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0
84,"05_I_41","WG_I_Chityala_Tallapudi","Karagapadu",0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0
85,"05_I_42","WG_I_Chityala_Tallapudi","Karicherlagudem",0,0,0,0,0,0,0,0,0,73,24,0,0,0,0,0,0,0,0,0,0
86,"05_I_43","WG_I_Chityala_Tallapudi","Komatikunta ",0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0
87,"05_I_44","WG_I_Chityala_Tallapudi","Kovvurupadu",0,0,0,0,0,0,0,0,36,0,22,0,0,0,0,0,0,0,0,0,0
88,"05_I_45","WG_I_Chityala_Tallapudi","Nandigudem ",0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0
89,"05_I_46","WG_I_Chityala_Tallapudi","Saggonda",0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
