S.No,Watershed code,Watershed Name, Village Name,Length ,Design depth of flow,Bed width,Side Slopes,WettedPerimeter,Wetted area,Canal seepage factor, No.of operating days of canal,, Recharge from canal (ha.m),,Annual Recharge
,,,,mts,mts,mts,( degrees ),mts,( m.sq mts.),( ha.m/d/m.sq.m ),Monsoon ,N-Monsoon,Monsoon ,Non-Monsoon,( ha.m )
26,05_I_40_26,WG_I_Tammileru_Chintalapudi,T.Ch.R.Palem,3000,2,2,45,5.3941125497,0.0161823376,3.4,90,45,4.9517953206,2.4758976603,7.4276929809
27,05_I_40_27,WG_I_Tammileru_Chintalapudi,Mulagapalampadu,0,0,0,0,0,0,3.4,90,45,0,0,0
28,05_I_40_28,WG_I_Tammileru_Chintalapudi,Yadavalli,9000,2,20,45,23.3941125497,0.2105470129,3.4,90,45,64.4273859619,32.2136929809,96.6410789428
29,05_I_40_29,WG_I_Tammileru_Chintalapudi,Bapirajugudem,0,0,0,0,0,0,3.4,0,0,0,0,0
30,05_I_40_30,WG_I_Tammileru_Chintalapudi,Nadipalli,0,0,0,0,0,0,3.4,0,0,0,0,0
31,05_I_40_31,WG_I_Tammileru_Chintalapudi,Rajampalem,0,0,0,0,0,0,3.4,0,0,0,0,0
32,05_I_37_03,WG_I_Yerrakalva 2_Devulapalli,Ch.potepalli,0,0,0,0,0,0,0,0,0,0,0,0
33,05_I_37_04,WG_I_Yerrakalva 2_Devulapalli,Dorasanipadu,0,0,0,0,0,0,0,0,0,0,0,0
34,05_I_37_05,WG_I_Yerrakalva 2_Devulapalli,G.Kothapali,0,0,0,0,0,0,0,0,0,0,0,0
35,05_I_37_06,WG_I_Yerrakalva 2_Devulapalli,IS Jagannadhaprm,0,0,0,0,0,0,0,0,0,0,0,0
36,05_I_37_07,WG_I_Yerrakalva 2_Devulapalli,IS Raghavaprm ,0,0,0,0,0,0,0,0,0,0,0,0
37,05_I_37_08,WG_I_Yerrakalva 2_Devulapalli,Kodigudem,0,0,0,0,0,0,0,0,0,0,0,0
38,05_I_37_09,WG_I_Yerrakalva 2_Devulapalli,Gundagolanukunta,0,0,0,0,0,0,0,0,0,0,0,0
39,05_I_37_10,WG_I_Yerrakalva 2_Devulapalli,Malleswaram,0,0,0,0,0,0,0,0,0,0,0,0
40,05_I_37_11,WG_I_Yerrakalva 2_Devulapalli,Kommara (N),0,0,0,0,0,0,0,0,0,0,0,0
41,05_I_37_12,WG_I_Yerrakalva 2_Devulapalli,Kommara [S],0,0,0,0,0,0,0,0,0,0,0,0
42,05_I_37_13,WG_I_Yerrakalva 2_Devulapalli,Ammapalem,0,0,0,0,0,0,0,0,0,0,0,0
43,05_I_37_14,WG_I_Yerrakalva 2_Devulapalli,Devulapalli,0,0,0,0,0,0,0,0,0,0,0,0
44,05_I_37_15,WG_I_Yerrakalva 2_Devulapalli,Lakkavaram ,0,0,0,0,0,0,0,0,0,0,0,0
45,05_I_37_16,WG_I_Yerrakalva 2_Devulapalli,Nimmalagudem,0,0,0,0,0,0,0,0,0,0,0,0
46,05_I_37_17,WG_I_Yerrakalva 2_Devulapalli,KamavarapuKota  ,0,0,0,0,0,0,0,0,0,0,0,0
47,05_I_37_18,WG_I_Yerrakalva 2_Devulapalli,Kondagudem,0,0,0,0,0,0,0,0,0,0,0,0
48,05_I_37_19,WG_I_Yerrakalva 2_Devulapalli,Ramannapalem,0,0,0,0,0,0,0,0,0,0,0,0
49,05_I_37_20,WG_I_Yerrakalva 2_Devulapalli,Ravikampadu,0,0,0,0,0,0,0,0,0,0,0,0
50,05_I_37_21,WG_I_Yerrakalva 2_Devulapalli,Uppalapadu,0,0,0,0,0,0,0,0,0,0,0,0
51,05_I_37_22,WG_I_Yerrakalva 2_Devulapalli,Yadavalli ,0,0,0,0,0,0,0,0,0,0,0,0
52,05_I_37_23,WG_I_Yerrakalva 2_Devulapalli,Veerampalem,2000,2,20,45,23.3941125497,0.0467882251,3.4,120,90,19.0895958406,14.3171968804,33.406792721
53,05_I_37_24,WG_I_Yerrakalva 2_Devulapalli,Kunavaram,2000,2,20,45,23.3941125497,0.0467882251,3.4,120,90,19.0895958406,14.3171968804,33.406792721
54,05_I_37_25,WG_I_Yerrakalva 2_Devulapalli,Kommugudem,2500,2,20,45,23.3941125497,0.0584852814,3.4,120,90,23.8619948007,17.8964961005,41.7584909012
55,05_I_37_26,WG_I_Yerrakalva 2_Devulapalli,Dubacherla,0,0,0,0,0,0,0,0,0,0,0,0
56,05_I_37_27,WG_I_Yerrakalva 2_Devulapalli,Amumonilanka,0,0,0,0,0,0,0,0,0,0,0,0
57,05_I_37_28,WG_I_Yerrakalva 2_Devulapalli,Nallajerla,0,0,0,0,0,0,0,0,0,0,0,0
58,05_I_37_29,WG_I_Yerrakalva 2_Devulapalli,Marellamudi,0,0,0,0,0,0,0,0,0,0,0,0
59,05_I_37_30,WG_I_Yerrakalva 2_Devulapalli,Ananthapalli,0,0,0,0,0,0,0,0,0,0,0,0
60,05_I_37_31,WG_I_Yerrakalva 2_Devulapalli,Cheepurugudem,0,0,0,0,0,0,0,0,0,0,0,0
61,05_I_37_32,WG_I_Yerrakalva 2_Devulapalli,Gundepalli,0,0,0,0,0,0,0,0,0,0,0,0
62,05_I_37_33,WG_I_Yerrakalva 2_Devulapalli,Chodavaram,0,0,0,0,0,0,0,0,0,0,0,0
63,05_I_37_34,WG_I_Yerrakalva 2_Devulapalli,Prakasaraopalem,0,0,0,0,0,0,0,0,0,0,0,0
64,05_I_37_35,WG_I_Yerrakalva 2_Devulapalli,Telikacherla,0,0,0,0,0,0,0,0,0,0,0,0
65,05_E_29_09,WG_E_Kondrukota (Polavaram),Cheeduru,2000,1.5,15,45,17.5455844123,0.0350911688,3.4,210,60,25.0550945407,7.1585984402,32.2136929809
66,05_E_29_10,WG_E_Kondrukota (Polavaram),Chegondapalli,0,0,0,0,0,0,3.4,0,0,0,0,0
67,05_E_29_11,WG_E_Kondrukota (Polavaram),Kondrukota,0,0,0,0,0,0,3.4,0,0,0,0,0
68,05_E_29_12,WG_E_Kondrukota (Polavaram),Koruturu,0,0,0,0,0,0,3.4,0,0,0,0,0
69,05_E_29_13,WG_E_Kondrukota (Polavaram),Pydipaka,0,0,0,0,0,0,3.4,0,0,0,0,0
70,05_E_29_14,WG_E_Kondrukota (Polavaram),Ravigudem,0,0,0,0,0,0,3.4,0,0,0,0,0
71,05_E_29_15,WG_E_Kondrukota (Polavaram),Singanapalli,2500,2,15,45,18.3941125497,0.0459852814,3.4,210,60,32.8334909012,9.3809974003,42.2144883016
72,05_E_29_16,WG_E_Kondrukota (Polavaram),Sirivaka,0,0,0,0,0,0,3.4,0,0,0,0,0
73,05_E_29_17,WG_E_Kondrukota (Polavaram),Sivagiri,2500,2,15,45,18.3941125497,0.0459852814,3.4,210,60,32.8334909012,9.3809974003,42.2144883016
74,05_E_29_18,WG_E_Kondrukota (Polavaram),Tekuru,0,0,0,0,0,0,3.4,0,0,0,0,0
75,05_E_29_19,WG_E_Kondrukota (Polavaram),Tutugunta,2000,2,15,45,18.3941125497,0.0367882251,3.4,210,60,26.266792721,7.5047979203,33.7715906412
76,05_I_33,WG_I_Chityala_Tallapudi,Bandapuram,900,2,80,45,83.3941125497,0.0750547013,3.4,210,60,53.5890567244,15.3111590641,68.9002157886
77,05_I_34,WG_I_Chityala_Tallapudi,Duddukuru,600,2,80,45,83.3941125497,0.0500364675,3.4,210,60,35.7260378163,10.2074393761,45.9334771924
78,05_I_35,WG_I_Chityala_Tallapudi,Bhimolu,1200,2,80,45,83.3941125497,0.1000729351,3.4,210,60,71.4520756326,20.4148787522,91.8669543847
79,05_I_36,WG_I_Chityala_Tallapudi,Cherukumilli,0,0,0,0,0,0,3.4,210,60,0,0,0
80,05_I_37,WG_I_Chityala_Tallapudi,Chityala,400,2,80,45,83.3941125497,0.033357645,3.4,210,60,23.8173585442,6.8049595841,30.6223181282
81,05_I_38,WG_I_Chityala_Tallapudi,Gangolu,300,2,80,45,83.3941125497,0.0250182338,3.4,210,60,17.8630189081,5.103719688,22.9667385962
82,05_I_39,WG_I_Chityala_Tallapudi,Gopalapuram,500,2,80,45,83.3941125497,0.0416970563,3.4,210,60,29.7716981802,8.5061994801,38.2778976603
83,05_I_40,WG_I_Chityala_Tallapudi,Guddigudem,200,2,80,45,83.3941125497,0.0166788225,3.4,210,60,11.9086792721,3.402479792,15.3111590641
84,05_I_41,WG_I_Chityala_Tallapudi,Karagapadu,0,0,0,0,0,0,3.4,210,60,0,0,0
85,05_I_42,WG_I_Chityala_Tallapudi,Karicherlagudem,200,2,80,45,83.3941125497,0.0166788225,3.4,210,60,11.9086792721,3.402479792,15.3111590641
86,05_I_43,WG_I_Chityala_Tallapudi,Komatikunta ,0,0,0,0,0,0,3.4,210,60,0,0,0
87,05_I_44,WG_I_Chityala_Tallapudi,Kovvurupadu,150,2,80,45,83.3941125497,0.0125091169,3.4,210,60,8.9315094541,2.551859844,11.4833692981
88,05_I_45,WG_I_Chityala_Tallapudi,Nandigudem ,0,0,0,0,0,0,3.4,210,60,0,0,0
89,05_I_46,WG_I_Chityala_Tallapudi,Saggonda,300,2,80,45,83.3941125497,0.0250182338,3.4,210,60,17.8630189081,5.103719688,22.9667385962
90,05_I_47,WG_I_Chityala_Tallapudi,Sagipadu,0,0,0,0,0,0,3.4,210,60,0,0,0
