,,7,Command area,,,,,,,,,,,,Non-Command area,,,,,,,,,,,,Poor quality,,,,,,,,,,,
Sr.No,Watershed name,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,,,,,Industrial,,,
,,Type of well,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,,,,,yield,No.of ,Days of operation of wells          ,
,,,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,,,,,lph,wells,Monsoon,Non - Monsoon
58,WG_I_Gunderu_Pedavegi,DW+PS/DCB,7714.2857142857,,30,90,4285.7142857143,,120,240,7142.8571428572,,120,240,3571.4285714286,,90,90,714.2857142857,,180,185,714.2857142857,,120,120,7142.8571428572,,40,90,,,,,7142.8571428572,,120,240
59,WG_I_Gunderu_Pedavegi,BWs,12571.4285714286,,30,90,5142.8571428572,,120,240,7142.8571428572,,120,240,5000,,40,120,1428.5714285714,,180,185,1428.5714285714,,120,120,14285.7142857143,,40,90,,,,,7142.8571428572,,120,240
60,WG_I_Gunderu_Pedavegi,STW,15428.5714285714,,30,90,5142.8571428572,,120,240,7142.8571428572,,120,240,10000,,40,120,3571.4285714286,,180,185,3571.4285714286,,120,120,22000,,40,90,,,,,7142.8571428572,,120,240
61,WG_I_Gunderu_Pedavegi,MTW,21428.5714285714,,30,90,10285.7142857143,,120,240,7142.8571428572,,120,240,15000,,40,120,3571.4285714286,,180,185,3571.4285714286,,120,120,45000,,40,90,,,,,7142.8571428572,,120,240
62,WG_I_Gunderu_Pedavegi,Deep TW,28571.4285714286,,30,90,10285.7142857143,,120,240,14285.7142857143,,120,240,20000,,40,120,7142.8571428572,,180,185,7142.8571428572,,120,120,64285.7142857143,,40,90,,,,,14285.7142857143,,120,240
63,WG_I_Gunderu_Pedavegi,Filter Points,14285.7142857143,,30,90,5142.8571428572,,120,240,7142.8571428572,,120,240,6000,,40,90,1428.5714285714,,180,185,1428.5714285714,,120,120,7142.8571428572,,40,90,,,,,7142.8571428572,,120,240
64,WG_I_Tammileru South_Eluru,DW,0,,40,90,857.1428571429,,120,240,3571.4285714286,,120,240,1428.5714285714,,90,90,714.2857142857,,180,185,714.2857142857,,120,120,3857.1428571429,,40,90,,,,,3571.4285714286,,120,240
65,WG_I_Tammileru South_Eluru,DW+PS/DCB,7714.2857142857,,30,90,4285.7142857143,,120,240,7142.8571428572,,120,240,3571.4285714286,,90,90,714.2857142857,,180,185,714.2857142857,,120,120,7142.8571428572,,40,90,,,,,7142.8571428572,,120,240
66,WG_I_Tammileru South_Eluru,BWs,12571.4285714286,,30,90,5142.8571428572,,120,240,7142.8571428572,,120,240,5000,,40,120,1428.5714285714,,180,185,1428.5714285714,,120,120,14285.7142857143,,40,90,,,,,7142.8571428572,,120,240
67,WG_I_Tammileru South_Eluru,STW,15428.5714285714,,30,90,5142.8571428572,,120,240,7142.8571428572,,120,240,10000,,40,120,3571.4285714286,,180,185,3571.4285714286,,120,120,22000,,40,90,,,,,7142.8571428572,,120,240
68,WG_I_Tammileru South_Eluru,MTW,21428.5714285714,,30,90,10285.7142857143,,120,240,7142.8571428572,,120,240,15000,,40,120,3571.4285714286,,180,185,3571.4285714286,,120,120,45000,,40,90,,,,,7142.8571428572,,120,240
69,WG_I_Tammileru South_Eluru,Deep TW,28571.4285714286,,30,90,10285.7142857143,,120,240,14285.7142857143,,120,240,20000,,40,120,7142.8571428572,,180,185,7142.8571428572,,120,120,64285.7142857143,,40,90,,,,,14285.7142857143,,120,240
70,WG_I_Tammileru South_Eluru,Filter Points,14285.7142857143,,30,90,5142.8571428572,,120,240,7142.8571428572,,120,240,6000,,40,90,1428.5714285714,,180,185,1428.5714285714,,120,120,7142.8571428572,,40,90,,,,,7142.8571428572,,120,240
71,WG_I_Pedapadu,DW,0,,40,90,857.1428571429,,120,240,3571.4285714286,,120,240,1428.5714285714,,90,90,714.2857142857,,180,185,714.2857142857,,120,120,3857.1428571429,,40,90,,,,,3571.4285714286,,120,240
