,,7,"Command area",,0.3,,,,,,,,,,"Non-Command area",,,,,,,,,,,,"Poor quality",,,,,,,,,,,
"Sr.No","Watershed name",,"Agriculture",,,,"Domestic",,,,"Industrial",,,,"Agriculture",,,,"Domestic",,,,"Industrial",,,,"Agriculture",,,,,,,,"Industrial",,,
,,"Type of well","yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,,,,,"yield","No.of ","Days of operation of wells          ",
,,,"lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon",,,,,"lph","wells","Monsoon","Non - Monsoon"
86,"Ctr-Papa-Peddaeru east- Bandrevu","DW+PS/DCB",,,,,,,,,,,,,1125,,60,120,1350,,120,240,2250,,120,240,,,,,,,,,2250,,,
87,"Ctr-Papa-Peddaeru east- Bandrevu","BWs",,,,,,,,,,,,,2250,,60,120,2700,,120,240,2250,,120,240,,,,,,,,,2250,,,
88,"Ctr-Papa-Peddaeru east- Bandrevu","STW",,,,,,,,,,,,,6930,,60,120,1620,,120,240,2250,,120,240,,,,,,,,,2250,,,
89,"Ctr-Papa-Peddaeru east- Bandrevu","MTW",,,,,,,,,,,,,14175,,60,120,3240,,120,240,2250,,120,240,,,,,,,,,2250,,,
90,"Ctr-Papa-Peddaeru east- Bandrevu","Deep TW",,,,,,,,,,,,,20250,,60,120,3240,,120,240,4500,,120,240,,,,,,,,,4500,,,
91,"Ctr-Papa-Peddaeru east- Bandrevu","Filter Points",,,,,,,,,,,,,3600,,60,120,1620,,120,240,2250,,120,240,,,,,,,,,2250,,,
92,"Ctr-Papa-Mudivedu","DW",,,,,,,,,,,,,1215,,50,100,180,,120,240,1125,,120,240,,,,,,,,,1125,,,
93,"Ctr-Papa-Mudivedu","DW+PS/DCB",,,,,,,,,,,,,1125,,50,100,1350,,120,240,2250,,120,240,,,,,,,,,2250,,,
94,"Ctr-Papa-Mudivedu","BWs",,,,,,,,,,,,,2475,,50,100,2700,,120,240,2250,,120,240,,,,,,,,,2250,,,
95,"Ctr-Papa-Mudivedu","STW",,,,,,,,,,,,,6930,,50,100,1620,,120,240,2250,,120,240,,,,,,,,,2250,,,
96,"Ctr-Papa-Mudivedu","MTW",,,,,,,,,,,,,14175,,50,100,3240,,120,240,2250,,120,240,,,,,,,,,2250,,,
97,"Ctr-Papa-Mudivedu","Deep TW",,,,,,,,,,,,,20250,,50,100,3240,,120,240,4500,,120,240,,,,,,,,,4500,,,
98,"Ctr-Papa-Mudivedu","Filter Points",,,,,,,,,,,,,3600,,50,100,1620,,120,240,2250,,120,240,,,,,,,,,2250,,,
