,,,,Irrigated with surface water,,,,,,,,,,,
S.No,Watershed code,Watershed Name,Village Name,command area,,,,Non command area,,,,Poor GW quality area,,,
,,,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,
,,,,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi
125,10-C-76-45,Ctr_Kalangi_Nirpakota,Rajagopalapuram,,,,,,,,,,,,
126,10-C-76-45,Ctr_Kalangi_Nirpakota,Forest,,,,,,,,,,,,
127,10-C-76-45,Ctr_Kalangi_Nirpakota,Tripuranthakapuram kota,,,,,,,,,,,,
128,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Ramapuram,0,0,0,0,,,,,,,,
129,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Rajanagaram,,0,,,,,,,,,,
130,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Appambattu,,0,,,,,,,,,,
131,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Ramagiri,,0,,,,,,,,,,
132,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Kadivedu,,0,,,,,,,,,,
133,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,SS Puram,,0,,,,,,,,,,
134,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Velluru,0,0,0,0,,,,,,,,
135,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Krishnapuram,,0,,,,,,,,,,
136,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Kalangeri,,0,,,,,,,,,,
137,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Nagalapuam,,0,,,,,,,,,,
138,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Vembakkam,,0,,,,,,,,,,
139,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Baitakodiyambedu,,0,,,,,,,,,,
140,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Karani,0,0,0,0,,,,,,,,
141,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Surutupalli,,0,,,,,,,,,,
142,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Kothamarikuppam,,0,,,,,,,,,,
143,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,NR Agraharam,,0,,,,,,,,,,
144,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Dalavayi Agraharam,,0,,,,,,,,,,
145,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Satyavedu,,0,,,,,,,,,,
146,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Venkatarajulakandriga,0,0,0,0,,,,,,,,
147,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Madanambedu,,0,,,,,,,,,,
148,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Peradam,,0,,,,,,,,,,
149,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Sirunambuduru,,0,,,,,,,,,,
150,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Madanamjeri,,0,,,,,,,,,,
151,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Ambakam,,0,,,,,,,,,,
152,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Thaondukuli,0,0,0,0,,,,,,,,
153,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Pudukuppam,,0,,,,,,,,,,
154,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Chenneri,,0,,,,,,,,,,
155,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Dasukupam,,0,,,,,,,,,,
156,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Vanellur,,0,,,,,,,,,,
157,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Rallakuppam,,0,,,,,,,,,,
158,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Kolladam,0,0,0,0,,,,,,,,
159,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Chervi,,0,,,,,,,,,,
160,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Gollavaripalem,,0,,,,,,,,,,
161,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Madavapalem,,0,,,,,,,,,,
162,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Irugulam,,0,,,,,,,,,,
163,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Mallavaripalem,,0,,,,,,,,,,
164,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Chengambakam,0,0,0,0,,,,,,,,
165,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Chilamathuru,,0,,,,,,,,,,
166,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Karepakam,,0,,,,,,,,,,
167,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Chedullapakam,,0,,,,,,,,,,
168,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Mopuram palle,,0,,,,,,,,,,
169,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Kadir vedu,,0,,,,,,,,,,
