sr.no,,,village name,No. M.I.Tanks command area,,Number of M.I.Tanks [Non command area],,"Number of M.I.Tanks PQ Area
[Poor GW Quality area]",
,Watershed code ,GW watershed name,,Number,spread ha,Number,spread ha,Number,spread ha
134,10-C-76-45,Ctr_Kalangi_Nirpakota,388 Arur,,,,,,
135,10-C-76-45,Ctr_Kalangi_Nirpakota,Appaiahpalem,,,,,,
136,10-C-76-45,Ctr_Kalangi_Nirpakota,Pedda Etipakam,,,4,10,,
137,10-C-76-45,Ctr_Kalangi_Nirpakota,Chinna Etipakam,,,4,8,,
138,10-C-76-45,Ctr_Kalangi_Nirpakota,P.V.Puram,,,8,18,,
139,10-C-76-45,Ctr_Kalangi_Nirpakota,Rajagopalapuram,2,23,,,,
140,10-C-76-45,Ctr_Kalangi_Nirpakota,Kannavaram,,,7,120,,
141,10-C-76-45,Ctr_Kalangi_Nirpakota,Forest,15,361,,,,
142,10-C-76-45,Ctr_Kalangi_Nirpakota,Birakuppam,,,5,98,,
143,10-C-76-45,Ctr_Kalangi_Nirpakota,Tripuranthakapuram kota,,,7,95,,
144,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Nagalapuam,12,102,,,,
145,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Vembakkam,,,7,117,,
146,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Baitakodiyambedu,,,5,94,,
147,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Karani,,,3,100,,
148,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Surutupalli,,,,,,
149,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Kothamarikuppam,,,3,86,,
150,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,NR Agraharam,,,5,94,,
151,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Dalavayi Agraharam,,,4,19,,
152,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Satyavedu,,,5,6,,
153,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Venkatarajulakandriga,,,,,,
154,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Madanambedu,4,18,,,,
155,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Peradam,,,1,3,,
156,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Sirunambuduru,,,3,6,,
157,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Madanamjeri,4,13,,,,
158,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Ambakam,,,1,10,,
159,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Thaondukuli,,,5,31,,
160,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Pudukuppam,,,,,,
161,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Chenneri,,,5,47,,
162,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Dasukupam,4,30,,,,
163,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Vanellur,,,5,9,,
164,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Rallakuppam,,,3,16,,
165,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Kolladam,,,3,6,,
166,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Chervi,,,,,,
167,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Gollavaripalem,,,5,7,,
168,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Madavapalem,,,9,26,,
169,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Irugulam,3,3,,,,
170,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Mallavaripalem,,,2,2,,
171,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Chengambakam,7,52,,,,
172,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Chilamathuru,,,5,27,,
173,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Karepakam,,,,,,
174,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Chedullapakam,,,3,41,,
175,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Mopuram palle,10,23,,,,
176,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,Kadir vedu,,,,,,
177,0,0,0,5,71,,,,
178,0,0,0,6,54,,,,
179,0,0,0,8,184,,,,
180,0,0,0,,,2,18,,
181,0,0,0,,,,,,
182,10-C-69-1,CTR_C_69_PAPAGHNI_KANDUKURU,Kandukur,,,15,40,,
183,10-C-69-1,CTR_C_69_PAPAGHNI_KANDUKURU,Pattemvandla palle,,,15,341,,
184,10-C-69-1,CTR_C_69_PAPAGHNI_KANDUKURU,T.Sadum,,,6,102,,
185,10-C-69-1,CTR_C_69_PAPAGHNI_KANDUKURU,Anantapuram,,,,,,
186,10-C-69-1,CTR_C_69_PAPAGHNI_KANDUKURU,Chinna Pongupalli,,,3,18,,
187,10-C-69-2,Ctr_Papa_K Kota,Kadirinaduni Kota,,,1,33,,
188,10-C-69-2,Ctr_Papa_K Kota,Nayuni Cheruvu Palle,,,1,41,,
189,10-C-69-2,Ctr_Papa_K Kota,Marellagadda,,,,,,
190,10-C-69-2,Ctr_Papa_K Kota,Forest,,,2,2,,
191,10-C-69-2,Ctr_Papa_K Kota,Pulikallu,,,6,131,,
192,10-C-69-2,Ctr_Papa_K Kota,Katnagallu,,,7,120,,
193,10-C-69-2,Ctr_Papa_K Kota,Jagadamvari Palle,,,1,4,,
194,10-C-69-3,Ctr-Papa-PTM,Pedda Thippa Samudram,,,9,268,,
195,10-C-69-3,Ctr-Papa-PTM,Maddaiahgaripalli,,,6,25,,
196,10-C-69-3,Ctr-Papa-PTM,Mallela,,,8,37,,
197,10-C-69-3,Ctr-Papa-PTM,Amalla Banda Kota,,,2,3,,
198,10-C-69-3,Ctr-Papa-PTM,Sampathi Kota,,,3,8,,
199,10-C-69-3,Ctr-Papa-PTM,Buchi Palle,,,4,36,,
200,10-C-69-3,Ctr-Papa-PTM,Tummara Kunta,,,18,131,,
201,10-C-69-3,Ctr-Papa-PTM,Chennappagaripalli,,,,,,
202,10-C-69-3,Ctr-Papa-PTM,Chennaiahgaripalli,,,,,,
203,10-C-69-4,Ctr_Papa_Gummasamudram,B.Kothakota,,,23,254,,
204,10-C-69-4,Ctr_Papa_Gummasamudram,Badikayalapalle,,,38,228,,
205,10-C-69-4,Ctr_Papa_Gummasamudram,Boyyappagaripalle,,,22,70,,
206,10-C-69-4,Ctr_Papa_Gummasamudram,Beerangi,,,13,110,,
207,10-C-69-4,Ctr_Papa_Gummasamudram,Gattu,,,24,144,,
208,10-C-69-4,Ctr_Papa_Gummasamudram,Gollapalle,,,15,68,,
209,10-C-69-4,Ctr_Papa_Gummasamudram,Gummasamudram,,,9,98,,
210,10-C-69-4,Ctr_Papa_Gummasamudram,Kotavooru,,,10,24,,
211,10-C-69-4,Ctr_Papa_Gummasamudram,Thummanagutta,,,12,37,,
212,10-C-69-4,Ctr_Papa_Gummasamudram,Forest,,,,23,,
213,10-C-69-4,Ctr_Papa_Gummasamudram,Burakaykota,,,46,178,,
214,10-C-69-4,Ctr_Papa_Gummasamudram,Devalacheruvu,,,10,146,,
215,10-C-69-4,Ctr_Papa_Gummasamudram,Devarapalli,,,1,0,,
216,10-C-69-4,Ctr_Papa_Gummasamudram,M.Nayanipalli,,,19,164,,
217,10-C-69-4,Ctr_Papa_Gummasamudram,Nadigadda Timmapalli,,,,,,
218,10-C-69-4,Ctr_Papa_Gummasamudram,Peddapalem,,,4,24,,
219,10-C-69-4,Ctr_Papa_Gummasamudram,Vepurikota,,,9,113,,
220,10-C-69-5,Ctr_Papa_Gummasamudram,Forest,,,,,,
221,10-C-69-4,Ctr_Papa_Gummasamudram,Boorlapalle,,,68,241,,
222,10-C-69-4,Ctr_Papa_Gummasamudram,Kamsala vandla palle,,,,,,
223,10-C-69-4,Ctr_Papa_Gummasamudram,Madumuru,,,4,63,,
224,10-C-69-4,Ctr_Papa_Gummasamudram,Rangasamudram,,,5,84,,
225,10-C-69-5,Ctr-Papa-Molakalacheruvu,Forest,,,2,2,,
226,10-C-69-5,Ctr-Papa-Molakalacheruvu,Molakacheruvu,,,2,36,,
227,10-C-69-5,Ctr-Papa-Molakalacheruvu,Gudupalle,,,4,112,,
228,10-C-69-5,Ctr-Papa-Molakalacheruvu,Kalva Palle,,,9,33,,
229,10-C-69-6,Ctr-Papa-Sompalle-Sompalle,Diguvapalli,,,17,27,,
230,10-C-69-6,Ctr-Papa-Sompalle-Sompalle,Junjurupenta,,,6,16,,
231,10-C-69-6,Ctr-Papa-Sompalle-Sompalle,Gangireddipalli,,,3,14,,
232,10-C-69-6,Ctr-Papa-Sompalle-Sompalle,Kotlapalli,,,1,1,,
233,10-C-69-6,Ctr-Papa-Sompalle-Sompalle,Forest,,,,,,
234,10-C-69-6,Ctr-Papa-Sompalle-Sompalle,Sompalli,,,16,201,,
235,10-C-69-6,Ctr-Papa-Sompalle-Sompalle,Chowdasamudram,,,4,30,,
236,10-C-69-7,Ctr-Papa-Peddaeru east- Bandrevu,Gopidinne,,,26,113,,
237,10-C-69-7,Ctr-Papa-Peddaeru east- Bandrevu,Kotala,,,20,73,,
238,10-C-69-7,Ctr-Papa-Peddaeru east- Bandrevu,Forest,,,,,,
239,10-C-69-7,Ctr-Papa-Peddaeru east- Bandrevu,Musalikunta,,,31,86,,
240,10-C-69-7,Ctr-Papa-Peddaeru east- Bandrevu,Bandrevu,,,16,63,,
241,10-C-69-8,Ctr-Papa-Mudivedu,Pitchandlapalli,,,10,28,,
242,10-C-69-8,Ctr-Papa-Mudivedu,Mudivedu,,,45,161,,
243,10-C-69-8,Ctr-Papa-Mudivedu,Forest,,,,,,
244,10-C-69-8,Ctr-Papa-Mudivedu,Tamballapalli,,,18,54,,
245,10-C-69-8,Ctr-Papa-Mudivedu,Kannemadugu,,,11,108,,
246,10-C-69-8,Ctr-Papa-Mudivedu,Errasanipalli,,,,,,
247,10-C-69-8,Ctr-Papa-Mudivedu,Eddulavaripalli,,,9,105,,
