GW Watershed Name,Iwm basin names,GW Village Name,iwm village names
Ctr-Swarna-Poli-Poli,CTR_SWARNA__POLI_POLI-MB,Bahudur venkatapuram,Bahadur Venkatapuram
Ctr-pa-Palar east,CTR_PALAR__PALAREAST_RAJUPETA-MB,Baippareddla palle,Krishnapuram Dinne
Ctr-pa-Kaigaleru,CTR_PALAR__KAIGALERU_BAIREDDIPALLE-MB,Baireddipalle,Baireddipalle
Ctr-pa-kuppam vanka,CTR_PALAR__KUPPAMVANKA_KUPPAM-MB,Bairuganipalli,Bairaganipalle (Rural)
Ctr-pa-Duggamma eru,CTR_PALAR__DUGGAMMAERU_V.KOTA-MB,Bairupalli,Bairupalle
Ctr-Arani-Nagalapuram-Nagalapuram,CTR_ARANI__ARANI_NARAYANAVANAM-MB,Baitakodiyambedu,Baitakodiambedu
ctr-pa-Gargeyavanka-Irala,CTR_PALAR__GARGEYAVANKA_IRALA-MB,Baitapalli,Baitapalle
Ctr-Ch-CG Gallu Vanka-Rompicherla,CTR_CH__CG GALLU VANKA_ROMPICHERLA-MB,Bakarapeta,Bhakarapet
Ctr-Kalangi-KVB Puram-KVB Puram,CTR_KALANGI__KVB PURAM_KVB PURAM-MB,Bakkapotukunta,Bakkapatugunta
ctr_pa_GDNellore_GDNellore,CTR_PALAR__G.D.NELLORE_G.D.NELLORE-MB,Balakrishnapuram,Balakrishnapuram
Ctr-pa-Thotlachruvu vanka,CTR_PALAR__THOTLACHERUVUVANKA_RAMAKUPPAM-MB,Balaobanapalli,Balaobanapalle
Ctr-pa-Thotlachruvu vanka,CTR_PALAR__THOTLACHERUVUVANKA_RAMAKUPPAM-MB,Balla,Balla
Ctr-Swarna-Kalyani_Tiruchanuru,CTR_SWARNA__KALYANI_TIRUCHANURU-MB,Balupalli,Balupalle-1
Ctr-Ch-CG Gallu Vanka-Rompicherla,CTR_CH__CG GALLU VANKA_ROMPICHERLA-MB,Bandakindapalli,Bandakindapalle
Ctr-Ch-Regadakalva-Madanapalle,CTR_CH_REGADAKALVA_MADANAPALLE-MB,Bandamidakampalli,BADAMEEDAKAMMAPALLE
ctr-pa-Gudipala-Gudipala,CTR_PALAR__GUDIPALA_GUDIPALA-MB,Bandapalli,Bandapalle-1
ctr-pa-Gudipala-Gudipala,CTR_PALAR__GUDIPALA_GUDIPALA-MB,Bandarlapalli,Bandarlapalle-1
Ctr-pa-Thotlachruvu vanka,CTR_PALAR__THOTLACHERUVUVANKA_RAMAKUPPAM-MB,Bandarlapalli,Bandarlapalle-1
Ctr-pa-kuppam vanka,CTR_PALAR__KUPPAMVANKA_KUPPAM-MB,Bandasettipalli,Bandasettipalle (Rural)
ctr-pa-Niva-Chittoor,CTR_PALAR__NIVA_CHITTOOR-MB,Bandlapalli,Bandapalle
ctr-pa-Ramasamudram,CTR_PALAR__RAMASAMUDRAM_RAMASAMUDRAM-MB,Bandlapalli,Bandapalle
Ctr-Ch-Regadakalva-Madanapalle,CTR_CH_REGADAKALVA_MADANAPALLE-MB,Bandlapayi,Bandlapai
Ctr-Papa-Peddaeru east- Bandrevu,CTR_PAPA_PEDDAERU EAST _BANDREVU-MB,Bandrevu,Bandrevu
ctr-pa-Mangalampetavanka-puthalapattu,CTR_PALAR__M.C.VANKA_PUTHALAPATTU-MB,Bandrlapalli,Bandaruvaripalle
Ctr-pa-palar west,CTR_PALAR__PALARWEST_THUMSI-MB,Bantimadugu Gollapalli,Banthimadugu Gollapalle
Ctr-Swarna-Sri Kalahasti-Thottambedu,CTR_SWARNA__SRIKALAHASTI_THOTTAMBEDU-MB,Basavaiahpalem,Basavaiahpalem
ctr-pa-Gudipala-Gudipala,CTR_PALAR__GUDIPALA_GUDIPALA-MB,Basavapalli,Basavapalle
Ctr-Ch-Regadakalva-Madanapalle,CTR_CH_REGADAKALVA_MADANAPALLE-MB,Basinikonda,Basinikonda (Rural)
ctr_pa_GDNellore_GDNellore,CTR_PALAR__G.D.NELLORE_G.D.NELLORE-MB,Basireddipalli,48 Basivireddipalle
Ctr-Kor-S R Puram,CTR_KORATLIAR__S.R.PURAM_S.R.PURAM-MB,Basivireddipalli,50 Basivireddipalle
Ctr-pa-Chinnaeru,CTR_PALAR__CHINNAERU_NADIMURU-MB,Bathalapalli,Bevanapalle
Ctr-pa-Peddapanjani,CTR_PALAR__PEDDAPANJANIVANKA_PEDDAPANJANI-MB,Battamdoddi,Battamdoddi
Ctr-Kor-Kundetivanka,CTR_KORATLIAR__KUNDETIVANKA_VEDURUKUPPAM-MB,Battuvaripalli,Battuvaripalle
Ctr-pa-Thotlachruvu vanka,CTR_PALAR__THOTLACHERUVUVANKA_RAMAKUPPAM-MB,Battuvaripalli,Battuvaripalle-1
Ctr-pa-Kaundinya p1,CTR_PALAR__KOUNDINYA P1_BAIPAGARIPALLE-MB,Bayyappagaripalli,Baippagari Palle
Ctr_Papa_Gummasamudram,CTR_PAPA_GUMMASAMUDRAM-MB,Beerangi,Beerangi
Ctr-pa-kuppam vanka,CTR_PALAR__KUPPAMVANKA_KUPPAM-MB,Beggilapalli,Beggilipalle
Ctr-pa-palar west,CTR_PALAR__PALARWEST_THUMSI-MB,Bellakogila,Bellakogila
Ctr-pa-Kaundinya p1,CTR_PALAR__KOUNDINYA P1_BAIPAGARIPALLE-MB,Belupalli,Belupalle
Ctr-pa-palar west,CTR_PALAR__PALARWEST_THUMSI-MB,Bendanakuppam,Bendanakuppam
Ctr-pa-palar west,CTR_PALAR__PALARWEST_THUMSI-MB,Bennayanuru,Bennayanuru
ctr-pa-kaundinya -Gangavaram,CTR_PALAR__KOUNDINYA P2_GANGAVARAM-MB,Beripalli,Beripalle
Ctr-pa-Chinnaeru,CTR_PALAR__CHINNAERU_NADIMURU-MB,Bevanapalli,Bevanapalle
Ctr-Kalangi-Katuru-Katuru,CTR_KALANGI__KATURU_KATURU-MB,Bhavani sankarapuram,Bhavanisankarapuram
ctr-pa-Laddigamvanka-Chowdepalli,CTR_PALAR__LADDIGAMVANKA_CHOWDEPALLE-MB,Bhimaganipalle,Bheemaganipalle
Ctr-Swarna-Poli-Poli,CTR_SWARNA__POLI_POLI-MB,Bhimavaram,Bheemavaram-6
Ctr-Swarna-Bheema-Kotala,CTR_SWARNA__BHEEMA_KOTALA-MB,Bhimavaram,Bheemavaram-6
ctr-pa-Niva-Chittoor,CTR_PALAR__NIVA_CHITTOOR-MB,Bhumireddipalli,Bhoomireddipalle
Ctr-pa-kuppam vanka,CTR_PALAR__KUPPAMVANKA_KUPPAM-MB,Bijjiganipalle,Bijiganipalle
Ctr-Arani-Arani-Narayana vanam,CTR_ARANI__NAGALAPURAM_NAGALAPURAM-MB,Bimunicheruvu,Bheemunicheruvu
Ctr_Kalangi_Nirpakota,CTR_KALANGI__RALLAERU_NIRPAKOTA-MB,Birakuppam,Beera Kuppam
Ctr-ponniar-Bisanatham,CTR_PONNIAR__BISANATHAM_ADAVIBODUGURU-MB,Bisanatham,Bisanatham
ctr-pa-Gudipala-Gudipala,CTR_PALAR__GUDIPALA_GUDIPALA-MB,BNR Peta,Bakara Narasinga Rayani Peta
ctr-pa-Niva-Chittoor,CTR_PALAR__NIVA_CHITTOOR-MB,Bodabandla,Bodabandla
Ctr-pa-Chinnaeru,CTR_PALAR__CHINNAERU_NADIMURU-MB,Bodaguttapalli,Bodaguttapalle-1
Ctr-Swarna-Valagalamanda-Muchuvolu,CTR_SWARNA__VALAGALAMANDA_MUCHUVOLU-MB,Bodavaripalli,Bodavaripalle
