S.no,GW watershed  name,IWM Micro basin,NCA pre monsoon depth to water level ,NCA post monsoon depth to water level,NCA pre monsoon depth to water level ,NCA post monsoon depth to water level,CA pre monsoon depth to water level ,CA post monsoon depth to water level,CA pre monsoon depth to water level ,CA post monsoon depth to water level,Dependancy factor nca,Dependancy factor ca,Normal annual rainfall mm,Normal Monsoon rainfall mm,Normal Non-monsoon rainfall mm,Annual rainfall for the year of assessment mm,Monsoon rainfall for the year of assessment mm,Non-monsoon rainfall for the year of assessment mm
60,ctr-pa-Gudipala-Gudipala,CTR_PALAR__GUDIPALA_GUDIPALA-MB,21.14,5.45,14.56,8.66,,,,,1,,952.5,845.5,107,1073.8,923.4,150.4
61,ctr-pa-kaundinya -Gangavaram,CTR_PALAR__KOUNDINYA P2_GANGAVARAM-MB,14.38,7.05,16.17,9.91,,,,,1,,860.7,751.9,108.8,878.2,797,81.2
62,ctr_pa_Penrevula peddavanka,CTR_PALAR__PP.VANKA_MOGILI-MB,8.89,4.71,10.72,6.13,,,,,1,,987.5,872.7,114.8,915.4,794.8,120.6
63,ctr-pa-Laddigamvanka-Chowdepalli,CTR_PALAR__LADDIGAMVANKA_CHOWDEPALLE-MB,19.38,16.39,20.33,16.71,,,,,1,,868.2,759.6,108.6,517.8,505.4,12.4
64,ctr-pa-Ramasamudram,CTR_PALAR__RAMASAMUDRAM_RAMASAMUDRAM-MB,28.29,19.79,29.09,26.17,,,,,1,,736.3,637,99.3,540.4,415,125.4
65,Ctr-pa-Peddapanjani,CTR_PALAR__PEDDAPANJANIVANKA_PEDDAPANJANI-MB,26.4,21.03,29.45,23.2,,,,,1,,736.3,641.4,94.9,848.8,725,123.8
66,Ctr-pa-Kaundinya p1,CTR_PALAR__KOUNDINYA P1_BAIPAGARIPALLE-MB,18.35,12.08,20.37,13.73,,,,,1,,860.7,751.9,108.8,880.2,830.2,50
67,Ctr-pa-Kaigaleru,CTR_PALAR__KAIGALERU_BAIREDDIPALLE-MB,14.88,8.41,15.89,10.6,,,,,1,,890.1,757.8,132.3,964.8,806.8,158
68,Ctr-pa-Duggamma eru,CTR_PALAR__DUGGAMMAERU_V.KOTA-MB,17.94,11.02,19.37,13.37,,,,,1,,817.8,713.3,104.5,1021.6,887,134.6
69,Ctr-pa-Thotlachruvu vanka,CTR_PALAR__THOTLACHERUVUVANKA_RAMAKUPPAM-MB,15.72,10.52,18.03,13.81,,,,,1,,773.1,659.2,113.9,782,662,120
70,Ctr-pa-Palar east,CTR_PALAR__PALAREAST_RAJUPETA-MB,9.47,4.34,9.29,6.59,,,,,1,,1062.6,964.7,97.9,656.2,431.2,225
71,Ctr-pa-palar west,CTR_PALAR__PALARWEST_THUMSI-MB,26.91,20.35,28.48,24.19,,,,,1,,813.1,710,103.1,736.2,569.2,167
72,Ctr-pa-kuppam vanka,CTR_PALAR__KUPPAMVANKA_KUPPAM-MB,28.72,21.53,29.91,25.96,,,,,1,,855.5,721.2,134.3,590.4,418.2,172.2
73,Ctr-pa-Chinnaeru,CTR_PALAR__CHINNAERU_NADIMURU-MB,23.94,17.42,26.33,22.04,,,,,1,,864.7,733.5,131.2,656.2,431.2,225
74,Ctr-ponniar-Bisanatham,CTR_PONNIAR__BISANATHAM_ADAVIBODUGURU-MB,32.97,30.54,32.75,30.69,,,,,1,,855.5,721.2,134.3,590.4,418.2,172.2
75,Ctr-Pa-Adavibuduguru,CTR_PONNIAR__ADAVIBODUGURU_ADAVIBODUGURU-MB,32.97,30.54,32.75,30.69,,,,,1,,864.7,733.5,131.2,656.2,431.2,225
