,,,,CA,NCA,PQA,
,,,,Industrial,Industrial,Industrial,
Sr.no,Watershed code,GW watershed name,village name,Industrial Wells,Industrial Wells,Industrial Wells,Total 
115,10-C-76-45,Ctr_Kalangi_Nirpakota,Vittaiah Palem,1,,,1
116,10-C-76-45,Ctr_Kalangi_Nirpakota,Maruduvada,1,,,1
117,10-C-76-45,Ctr_Kalangi_Nirpakota,Amburu,1,,,1
118,10-C-76-45,Ctr_Kalangi_Nirpakota,Ayyavaripalem,1,,,1
119,10-C-76-45,Ctr_Kalangi_Nirpakota,Santavelur,1,,,1
120,10-C-76-45,Ctr_Kalangi_Nirpakota,Satambedu,1,,,1
121,10-C-76-45,Ctr_Kalangi_Nirpakota,Isukapalem,,0,,0
122,10-C-76-45,Ctr_Kalangi_Nirpakota,Kuvvakolli,1,,,1
123,10-C-76-45,Ctr_Kalangi_Nirpakota,Racherla,1,,,1
124,10-C-76-45,Ctr_Kalangi_Nirpakota,Yanadivettu,1,,,1
125,10-C-76-45,Ctr_Kalangi_Nirpakota,Padirikuppam,1,,,1
126,10-C-76-45,Ctr_Kalangi_Nirpakota,Panduru,1,,,1
127,10-C-76-45,Ctr_Kalangi_Nirpakota,Kovurpadu,1,,,1
128,10-C-76-45,Ctr_Kalangi_Nirpakota,Thowdambattu,1,,,1
129,10-C-76-45,Ctr_Kalangi_Nirpakota,Chinnapandur,1,,,1
130,10-C-76-45,Ctr_Kalangi_Nirpakota,Aruduru,1,,,1
131,10-C-76-45,Ctr_Kalangi_Nirpakota,Chavali Lingamanaidupalli,1,,,1
132,10-C-76-45,Ctr_Kalangi_Nirpakota,Kurinjalem,,1,,1
133,10-C-76-45,Ctr_Kalangi_Nirpakota,Forest,,,,0
134,10-C-76-45,Ctr_Kalangi_Nirpakota,388 Arur,,1,,1
135,10-C-76-45,Ctr_Kalangi_Nirpakota,Appaiahpalem,,1,,1
136,10-C-76-45,Ctr_Kalangi_Nirpakota,Pedda Etipakam,,1,,1
137,10-C-76-45,Ctr_Kalangi_Nirpakota,Chinna Etipakam,,1,,1
138,10-C-76-45,Ctr_Kalangi_Nirpakota,P.V.Puram,,2,,2
139,10-C-76-45,Ctr_Kalangi_Nirpakota,Rajagopalapuram,1,,,1
140,10-C-76-45,Ctr_Kalangi_Nirpakota,Kannavaram,,1,,1
141,10-C-76-45,Ctr_Kalangi_Nirpakota,Forest,,,,0
142,10-C-76-45,Ctr_Kalangi_Nirpakota,Birakuppam,,1,,1
143,10-C-76-45,Ctr_Kalangi_Nirpakota,Tripuranthakapuram kota,,1,,1
144,10-C-69-1,CTR_C_69_PAPAGHNI_KANDUKURU,Kandukur,,0,,0
145,10-C-69-1,CTR_C_69_PAPAGHNI_KANDUKURU,Pattemvandla palle,,0,,0
146,10-C-69-1,CTR_C_69_PAPAGHNI_KANDUKURU,T.Sadum,,0,,0
147,10-C-69-1,CTR_C_69_PAPAGHNI_KANDUKURU,Anantapuram,,0,,0
148,10-C-69-1,CTR_C_69_PAPAGHNI_KANDUKURU,Chinna Pongupalli,,0,,0
149,10-C-69-2,Ctr_Papa_K Kota,Kadirinaduni Kota,,,,0
150,10-C-69-2,Ctr_Papa_K Kota,Nayuni Cheruvu Palle,,,,0
151,10-C-69-2,Ctr_Papa_K Kota,Marellagadda,,,,0
152,10-C-69-2,Ctr_Papa_K Kota,Forest,,,,0
153,10-C-69-2,Ctr_Papa_K Kota,Pulikallu,,,,0
154,10-C-69-2,Ctr_Papa_K Kota,Katnagallu,,,,0
155,10-C-69-2,Ctr_Papa_K Kota,Jagadamvari Palle,,,,0
156,10-C-69-3,Ctr-Papa-PTM,Pedda Thippa Samudram,,0,,0
157,10-C-69-3,Ctr-Papa-PTM,Maddaiahgaripalli,,0,,0
158,10-C-69-3,Ctr-Papa-PTM,Mallela,,0,,0
159,10-C-69-3,Ctr-Papa-PTM,Amalla Banda Kota,,0,,0
160,10-C-69-3,Ctr-Papa-PTM,Sampathi Kota,,0,,0
161,10-C-69-3,Ctr-Papa-PTM,Buchi Palle,,0,,0
162,10-C-69-3,Ctr-Papa-PTM,Tummara Kunta,,0,,0
163,10-C-69-3,Ctr-Papa-PTM,Chennappagaripalli,,0,,0
164,10-C-69-3,Ctr-Papa-PTM,Chennaiahgaripalli,,0,,0
165,10-C-69-4,Ctr_Papa_Gummasamudram,B.Kothakota,,,,0
166,10-C-69-4,Ctr_Papa_Gummasamudram,Badikayalapalle,,,,0
167,10-C-69-4,Ctr_Papa_Gummasamudram,Boyyappagaripalle,,,,0
168,10-C-69-4,Ctr_Papa_Gummasamudram,Beerangi,,,,0
169,10-C-69-4,Ctr_Papa_Gummasamudram,Gattu,,,,0
170,10-C-69-4,Ctr_Papa_Gummasamudram,Gollapalle,,,,0
171,10-C-69-4,Ctr_Papa_Gummasamudram,Gummasamudram,,,,0
172,10-C-69-4,Ctr_Papa_Gummasamudram,Kotavooru,,,,0
173,10-C-69-4,Ctr_Papa_Gummasamudram,Thummanagutta,,,,0
174,10-C-69-4,Ctr_Papa_Gummasamudram,Forest,,,,0
175,10-C-69-4,Ctr_Papa_Gummasamudram,Burakaykota,,,,0
176,10-C-69-4,Ctr_Papa_Gummasamudram,Devalacheruvu,,,,0
177,10-C-69-4,Ctr_Papa_Gummasamudram,Devarapalli,,,,0
178,10-C-69-4,Ctr_Papa_Gummasamudram,M.Nayanipalli,,,,0
179,10-C-69-4,Ctr_Papa_Gummasamudram,Nadigadda Timmapalli,,,,0
180,10-C-69-4,Ctr_Papa_Gummasamudram,Peddapalem,,,,0
181,10-C-69-4,Ctr_Papa_Gummasamudram,Vepurikota,,,,0
182,10-C-69-4,Ctr_Papa_Gummasamudram,Forest,,,,0
183,10-C-69-4,Ctr_Papa_Gummasamudram,Boorlapalle,,,,0
184,10-C-69-4,Ctr_Papa_Gummasamudram,Kamsala vandla palle,,,,0
185,10-C-69-4,Ctr_Papa_Gummasamudram,Madumuru,,,,0
186,10-C-69-4,Ctr_Papa_Gummasamudram,Rangasamudram,,,,0
187,10-C-69-5,Ctr-Papa-Molakalacheruvu,Forest,,,,0
188,10-C-69-5,Ctr-Papa-Molakalacheruvu,Molakacheruvu,,,,0
189,10-C-69-5,Ctr-Papa-Molakalacheruvu,Gudupalle,,,,0
190,10-C-69-5,Ctr-Papa-Molakalacheruvu,Kalva Palle,,,,0
191,10-C-69-6,Ctr-Papa-Sompalle-Sompalle,Diguvapalli,,,,0
192,10-C-69-6,Ctr-Papa-Sompalle-Sompalle,Junjurupenta,,,,0
193,10-C-69-6,Ctr-Papa-Sompalle-Sompalle,Gangireddipalli,,,,0
194,10-C-69-6,Ctr-Papa-Sompalle-Sompalle,Kotlapalli,,,,0
195,10-C-69-6,Ctr-Papa-Sompalle-Sompalle,Forest,,,,0
196,10-C-69-6,Ctr-Papa-Sompalle-Sompalle,Sompalli,,,,0
197,10-C-69-6,Ctr-Papa-Sompalle-Sompalle,Chowdasamudram,,,,0
198,10-C-69-7,Ctr-Papa-Peddaeru east- Bandrevu,Gopidinne,,1,,1
199,10-C-69-7,Ctr-Papa-Peddaeru east- Bandrevu,Kotala,,1,,1
200,10-C-69-7,Ctr-Papa-Peddaeru east- Bandrevu,Forest,,,,0
201,10-C-69-7,Ctr-Papa-Peddaeru east- Bandrevu,Musalikunta,,1,,1
202,10-C-69-7,Ctr-Papa-Peddaeru east- Bandrevu,Bandrevu,,1,,1
203,10-C-69-8,Ctr-Papa-Mudivedu,Pitchandlapalli,,,,0
204,10-C-69-8,Ctr-Papa-Mudivedu,Mudivedu,,,,0
205,10-C-69-8,Ctr-Papa-Mudivedu,Forest,,,,0
206,10-C-69-8,Ctr-Papa-Mudivedu,Tamballapalli,,,,0
207,10-C-69-8,Ctr-Papa-Mudivedu,Kannemadugu,,,,0
208,10-C-69-8,Ctr-Papa-Mudivedu,Errasanipalli,,,,0
209,10-C-69-8,Ctr-Papa-Mudivedu,Eddulavaripalli,,,,0
210,10-C-69-8,Ctr-Papa-Mudivedu,Panchalamari,,,,0
211,10-C-69-8,Ctr-Papa-Mudivedu,Marri makulapalli,,,,0
212,10-C-69-8,Ctr-Papa-Mudivedu,Renu makulapalli,,,,0
213,10-C-69-8,Ctr-Papa-Mudivedu,Kosuvaripalli,,,,0
214,10-C-69-8,Ctr-Papa-Mudivedu,Gundlapalli,,,,0
215,10-C-69-8,Ctr-Papa-Mudivedu,Diguvapalem,,,,0
216,10-C-69-9,Ctr_Papa_Kush_Pedda,Kandriga,,,,0
