"Sr.no",,,"Village name","T.Area (ha)","Watershed command area ",,,,"Watershed Non command Area",,,,"Watershed poor quality Area",,,,,,,,,,,,,,,,,
,"Water shed code","Watershed name",,,"Recghare","Hilly","Forest","Total","Recghare","Hilly","Forest","Total","Recghare","Hilly","Forest","Total",,,,,,,,,,,,,,
44,"09_C_62_9","NLR_C_62_BOGOLE","Graddagunta",365,365,,,365,0,,,,0,,,,,,"Penna",,"Chippaleru","09_C_62_9","NLR_C_62_BOGOLE",9,"Nellore",15,"Allur ",9126150070107,7,"Graddagunta"
45,"09_C_62_9","NLR_C_62_BOGOLE","Batrakagollu",1233,0,,,,1233,,650,1233,0,,,,,,"Penna",,"Chippaleru","09_C_62_9","NLR_C_62_BOGOLE",9,"Nellore",15,"Allur ",9126150080108,8,"Batrakagollu"
47,"09_C_62_7","NLR_C_62_JALADANKI","Gattupalli",4179,0,,,,4155,24,248.2,4179,0.01,,,0.01,,,"Penna",,"Chippaleru","09_C_62_7","NLR_C_62_JALADANKI",9,"Nellore",4,"Jaladanki ",9125040030103,3,"Gattupalli"
48,"09_C_62_7","NLR_C_62_JALADANKI","Jaladanki",5492,5492,,551.25,5492,0,,,,0,,,0,,,"Penna",,"Chippaleru","09_C_62_7","NLR_C_62_JALADANKI",9,"Nellore",4,"Jaladanki ",9125040050105,5,"Jaladanki"
49,"09_C_62_7","NLR_C_62_JALADANKI","Rajovari Chintalapalem",1512,0,,,,1392,120,142,1512,0,,,0,,,"Penna",,"Chippaleru","09_C_62_7","NLR_C_62_JALADANKI",9,"Nellore",5,"Kavali",9125050020203,2,"Rajovari Chintalapalem"
51,"09_C_62_8","NLR_C_62_KAVALI","Jammalapalem",1166,0,,,,1166,,386,1166,0.01,,,0.01,,,"Penna",,"Chippaleru","09_C_62_8","NLR_C_62_KAVALI",9,"Nellore",4,"Jaladanki",9125040040104,4,"Jammalapalem"
52,"09_C_62_8","NLR_C_62_KAVALI","Chelamcherla",5121,0,,,,4777,344,2883,5121,0,,,0,,,"Penna",,"Chippaleru","09_C_62_8","NLR_C_62_KAVALI",9,"Nellore",5,"Kavali",9125050010103,1,"Chelamcherla"
53,"09_C_62_8","NLR_C_62_KAVALI","Kottapalli",1443,0,,,,1443,,337,1443,0,,,0,,,"Penna",,"Chippaleru","09_C_62_8","NLR_C_62_KAVALI",9,"Nellore",5,"Kavali",9125050030104,3,"Kottapalli"
54,"09_C_62_8","NLR_C_62_KAVALI","Maddurupadu",2053,0,,,,2053,,700,2053,0,,,0,,,"Penna",,"Chippaleru","09_C_62_8","NLR_C_62_KAVALI",9,"Nellore",5,"Kavali",9125050040105,4,"Maddurupadu"
55,"09_C_62_8","NLR_C_62_KAVALI","Rudrakota",1673,0,,,,1673,,486,1673,0,,,0,,,"Penna",,"Chippaleru","09_C_62_8","NLR_C_62_KAVALI",9,"Nellore",5,"Kavali",9125050050107,5,"Rudrakota"
56,"09_C_62_8","NLR_C_62_KAVALI","Chennayapalem",1267,0,,,,1267,,142,1267,0,,,0,,,"Penna",,"Chippaleru","09_C_62_8","NLR_C_62_KAVALI",9,"Nellore",5,"Kavali",9125050060108,6,"Chennayapalem"
57,"09_C_62_8","NLR_C_62_KAVALI","Anemadugu",1064,0,,,,1064,,0,1064,0,,,0,,,"Penna",,"Chippaleru","09_C_62_8","NLR_C_62_KAVALI",9,"Nellore",5,"Kavali",9125050070110,7,"Anemadugu"
58,"09_C_62_8","NLR_C_62_KAVALI","Tummalapenta",5250,0,,,,5250,,1745,5250,0,,,0,,,"Penna",,"Chippaleru","09_C_62_8","NLR_C_62_KAVALI",9,"Nellore",5,"Kavali",9125050080111,8,"Tummalapenta"
59,"09_C_62_8","NLR_C_62_KAVALI","Kavali  II ",2476,2459.1,16.9,1851,2476,0,,,,0,,,0,,,"Penna",,"Chippaleru","09_C_62_8","NLR_C_62_KAVALI",9,"Nellore",5,"Kavali",9125050090113,9,"Kavali  II "
60,"09_C_62_8","NLR_C_62_KAVALI","Kavali I (U)",1962,1962,,,1962,0,,,,0,,,0,,,"Penna",,"Chippaleru","09_C_62_8","NLR_C_62_KAVALI",9,"Nellore",5,"Kavali",9125050100114,10,"Kavali I (U)"
61,"09_C_62_8","NLR_C_62_KAVALI","Budamgunta",1883,0,,,,1883,,141,1883,0,,,0,,,"Penna",,"Chippaleru","09_C_62_8","NLR_C_62_KAVALI",9,"Nellore",5,"Kavali",9125050110115,11,"Budamgunta"
62,"09_C_62_8","NLR_C_62_KAVALI","Musanuru",1960,0,,,,1960,,,1960,0,,,0,,,"Penna",,"Chippaleru","09_C_62_8","NLR_C_62_KAVALI",9,"Nellore",5,"Kavali",9125050120117,12,"Musanuru"
63,"09_C_62_8","NLR_C_62_KAVALI","Mannangidinne",371,0,,,,371,,,371,0,,,0,,,"Penna",,"Chippaleru","09_C_62_8","NLR_C_62_KAVALI",9,"Nellore",5,"Kavali",9125050130119,13,"Mannangidinne"
64,"09_C_62_8","NLR_C_62_KAVALI","Tallapalem",2540,0,,,,2540,,,2540,0,,,0,,,"Penna",,"Chippaleru","09_C_62_8","NLR_C_62_KAVALI",9,"Nellore",5,"Kavali",9125050080211,14,"Tallapalem"
66,"09_C_76_42","NLR_C_76_TADA","Mizuru",1824,0.01,,,0.01,1824,,,1824,0,,,,,,"Penna",,"Kalangi","09_C_76_42","NLR_C_76_TADA",9,"Nellore",44,"D.V.Satram ",9133440450106,45,"Mizuru"
67,"09_C_76_42","NLR_C_76_TADA","Krishna reddi tagelu",49,0,,,0,49,,,49,0,,,,,,"Penna",,"Kalangi","09_C_76_42","NLR_C_76_TADA",9,"Nellore",45,"Sullurupeta ",9133450150109,15,"Krishna reddi tagelu"
68,"09_C_76_42","NLR_C_76_TADA","Davidagunta",35,0,,,0,35,,,35,0,,,,,,"Penna",,"Kalangi","09_C_76_42","NLR_C_76_TADA",9,"Nellore",45,"Sullurupeta ",9133450170110,17,"Davidagunta"
69,"09_C_76_42","NLR_C_76_TADA","Pandalagunta",38,0,,,0,38,,,38,0,,,,,,"Penna",,"Kalangi","09_C_76_42","NLR_C_76_TADA",9,"Nellore",45,"Sullurupeta ",9133450220109,22,"Pandalagunta"
70,"09_C_76_42","NLR_C_76_TADA","Jangalapalli",167,0,,,0,167,,,167,0,,,,,,"Penna",,"Kalangi","09_C_76_42","NLR_C_76_TADA",9,"Nellore",45,"Sullurupeta ",9133450290113,29,"Jangalapalli"
71,"09_C_76_42","NLR_C_76_TADA","Mannemutturu",707,0,,,0,707,,,707,0,,,,,,"Penna",,"Kalangi","09_C_76_42","NLR_C_76_TADA",9,"Nellore",45,"Sullurupeta ",9133450320115,32,"Mannemutturu"
72,"09_C_76_42","NLR_C_76_TADA","Degapalem",268,0,,,0,268,,,268,0,,,,,,"Penna",,"Kalangi","09_C_76_42","NLR_C_76_TADA",9,"Nellore",45,"Sullurupeta ",9133450330110,33,"Degapalem"
73,"09_C_76_42","NLR_C_76_TADA","K.C.N.gunta",407,0,,,0,407,,,407,0,,,,,,"Penna",,"Kalangi","09_C_76_42","NLR_C_76_TADA",9,"Nellore",45,"Sullurupeta ",9133450340110,34,"K.C.N.gunta"
74,"09_C_76_42","NLR_C_76_TADA","Gopala reddy palem",308,0,,,0,308,,,308,0,,,,,,"Penna",,"Kalangi","09_C_76_42","NLR_C_76_TADA",9,"Nellore",45,"Sullurupeta ",9133450350116,35,"Gopala reddy palem"
75,"09_C_76_42","NLR_C_76_TADA","Kudiri ",530,0,,,0,530,,,530,0,,,,,,"Penna",,"Kalangi","09_C_76_42","NLR_C_76_TADA",9,"Nellore",45,"Sullurupeta ",9133450360117,36,"Kudiri "
76,"09_C_76_42","NLR_C_76_TADA","Kudiritippa kandriga",620,0,,,0,620,,,620,0,,,,,,"Penna",,"Kalangi","09_C_76_42","NLR_C_76_TADA",9,"Nellore",45,"Sullurupeta ",9133450370117,37,"Kudiritippa kandriga"
77,"09_C_76_42","NLR_C_76_TADA","Pulivendra",220,0,,,0,220,,,220,0,,,,,,"Penna",,"Kalangi","09_C_76_42","NLR_C_76_TADA",9,"Nellore",46,"Tada ",9133460030103,3,"Pulivendra"
78,"09_C_76_42","NLR_C_76_TADA","Konduru",620,0,,,0,620,,,620,0,,,,,,"Penna",,"Kalangi","09_C_76_42","NLR_C_76_TADA",9,"Nellore",46,"Tada ",9133460040103,4,"Konduru"
79,"09_C_76_42","NLR_C_76_TADA","GOLLAMULUVU",117,0,,,0,117,,,117,0,,,,,,"Penna",,"Kalangi","09_C_76_42","NLR_C_76_TADA",9,"Nellore",46,"Tada ",9133460060103,6,"GOLLAMULUVU"
80,"09_C_76_42","NLR_C_76_TADA","VELAGALA VAGU",71,0,,,0,71,,,71,0,,,,,,"Penna",,"Kalangi","09_C_76_42","NLR_C_76_TADA",9,"Nellore",46,"Tada ",9133460070100,7,"VELAGALA VAGU"
81,"09_C_76_42","NLR_C_76_TADA","PALLEPALEM",75,0,,,0,75,,,75,0,,,,,,"Penna",,"Kalangi","09_C_76_42","NLR_C_76_TADA",9,"Nellore",46,"Tada ",9133460170211,17,"PALLEPALEM"
82,"09_C_76_42","NLR_C_76_TADA","THOPU KHANDRIKA",45,0,,,0,45,,,45,0,,,,,,"Penna",,"Kalangi","09_C_76_42","NLR_C_76_TADA",9,"Nellore",46,"Tada ",9133460090100,9,"THOPU KHANDRIKA"
83,"09_C_76_42","NLR_C_76_TADA","KARIJATHA",1172,0,,,0,1172,,,1172,0,,,,,,"Penna",,"Kalangi","09_C_76_42","NLR_C_76_TADA",9,"Nellore",46,"Tada ",9133460100106,10,"KARIJATHA"
84,"09_C_76_42","NLR_C_76_TADA","VATAMBEDU",1023,0,,,0,1023,,,1023,0,,,,,,"Penna",,"Kalangi","09_C_76_42","NLR_C_76_TADA",9,"Nellore",46,"Tada ",9133460110105,11,"VATAMBEDU"
85,"09_C_76_42","NLR_C_76_TADA","DEVUNI KHANDRIKA",298,0,,,0,298,,,298,0,,,,,,"Penna",,"Kalangi","09_C_76_42","NLR_C_76_TADA",9,"Nellore",46,"Tada ",9133460120100,12,"DEVUNI KHANDRIKA"
86,"09_C_76_42","NLR_C_76_TADA","AKKAMPETA",260,0,,,0,260,,,260,0,,,,,,"Penna",,"Kalangi","09_C_76_42","NLR_C_76_TADA",9,"Nellore",46,"Tada ",9133460130107,13,"AKKAMPETA"
87,"09_C_76_42","NLR_C_76_TADA","GRADDAGUNTA",671,0,,,0,671,,,671,0,,,,,,"Penna",,"Kalangi","09_C_76_42","NLR_C_76_TADA",9,"Nellore",46,"Tada ",9133460140107,14,"GRADDAGUNTA"
88,"09_C_76_42","NLR_C_76_TADA","ANDAGUNDALA",1103,0,,,0,1103,,,1103,0,,,,,,"Penna",,"Kalangi","09_C_76_42","NLR_C_76_TADA",9,"Nellore",46,"Tada ",9133460150108,15,"ANDAGUNDALA"
89,"09_C_76_42","NLR_C_76_TADA","TADA KHANDRIKA",688,0,,,0,688,,,688,0,,,,,,"Penna",,"Kalangi","09_C_76_42","NLR_C_76_TADA",9,"Nellore",46,"Tada ",9133460160110,16,"TADA KHANDRIKA"
90,"09_C_76_42","NLR_C_76_TADA","TADA",378,0,,,0,378,,,378,0,,,,,,"Penna",,"Kalangi","09_C_76_42","NLR_C_76_TADA",9,"Nellore",46,"Tada ",9133460170111,17,"TADA"
91,"09_C_76_42","NLR_C_76_TADA","Poodi",317,0,,,0,317,,,317,0,,,,,,"Penna",,"Kalangi","09_C_76_42","NLR_C_76_TADA",9,"Nellore",46,"Tada ",9133460180112,18,"Poodi"
