Sr.No,watershed code,gw watershed name,Village code,village name,Population [command area],Population [non command area],total Population,LPCD,,
269,09_C_72_13,NLR_C_72_KOVUR,2,Chowkicherla,2804,,2804,154220,,
270,09_C_72_13,NLR_C_72_KOVUR,3,Dampuru,2369,,2369,130295,,
271,09_C_72_13,NLR_C_72_KOVUR,4,Vavilla,2342,,2342,128810,,
272,09_C_72_13,NLR_C_72_KOVUR,5,Dandigunta,2319,,2319,127545,,
273,09_C_72_13,NLR_C_72_KOVUR,7,Utukur,8016,,8016,440880,,
274,09_C_72_13,NLR_C_72_KOVUR,8,Alaganipadu,1922,,1922,105710,,
275,09_C_72_13,NLR_C_72_KOVUR,9,Vidavalur ,8177,,8177,449735,,
276,09_C_72_13,NLR_C_72_KOVUR,10,Mudivarti,6685,,6685,367675,,
277,09_C_72_13,NLR_C_72_KOVUR,12,Allurpadu,1459,,1459,80245,,
278,09_C_72_13,NLR_C_72_KOVUR,13,Ramannapalem,1756,,1756,96580,,
279,09_C_72_13,NLR_C_72_KOVUR,14,North rajupalem,6612,,6612,363660,,
280,09_C_72_13,NLR_C_72_KOVUR,15,Yellayapalem,8855,,8855,487025,,
281,09_C_72_13,NLR_C_72_KOVUR,16,Maneguntapadu,638,,638,35090,,
282,09_C_72_13,NLR_C_72_KOVUR,1,Munulapudi,2085,,2085,114675,,
283,09_C_72_13,NLR_C_72_KOVUR,2,Vavveru,33803,,33803,1859165,,
284,09_C_72_13,NLR_C_72_KOVUR,3,Nagamambapuram,2271,,2271,124905,,
285,09_C_72_13,NLR_C_72_KOVUR,4,Rebala,7710,,7710,424050,,
286,09_C_72_13,NLR_C_72_KOVUR,5,Iskapalem,9306,,9306,511830,,
287,09_C_72_13,NLR_C_72_KOVUR,6,Chellayapalem,2294,,2294,126170,,
288,09_C_72_13,NLR_C_72_KOVUR,7,Kavetipalem,7,,7,385,,
289,09_C_72_13,NLR_C_72_KOVUR,8,Panchedu,1917,,1917,105435,,
290,09_C_72_13,NLR_C_72_KOVUR,9,Minagallu,3502,,3502,192610,,
291,09_C_72_13,NLR_C_72_KOVUR,10,Jonnawada,2507,,2507,137885,,
292,09_C_72_13,NLR_C_72_KOVUR,11,Penuballe,3107,,3107,170885,,
293,09_C_72_13,NLR_C_72_KOVUR,12,Kalayakagolu,2234,,2234,122870,,
294,09_C_72_13,NLR_C_72_KOVUR,13,Srirangarajapuram,433,,433,23815,,
295,09_C_72_13,NLR_C_72_KOVUR,14,Damaramadugu,7294,,7294,401170,,
296,09_C_72_13,NLR_C_72_KOVUR,4,Korimerla kandriga,,0,0,0,,
297,09_C_72_13,NLR_C_72_KOVUR,5,Talupurupadu,,974,974,53570,,
298,09_C_72_13,NLR_C_72_KOVUR,6,Chennavarappadu,803,,803,44165,,
299,09_C_72_13,NLR_C_72_KOVUR,7,Marripadu,3155,,3155,173525,,
300,09_C_72_13,NLR_C_72_KOVUR,8,Jangala khandrika,761,,761,41855,,
301,09_C_72_13,NLR_C_72_KOVUR,9,Kaligirikonduru,1,,1,55,,
