S.No,Watershed code,Watershed Name, Village Name,Length ,Design depth of flow,Bed width,Side Slopes,WettedPerimeter,Wetted area,Canal seepage factor, No.of operating days of canal,, Recharge from canal (ha.m),,Annual Recharge,,,,,,,,,
,,,,mts,mts,mts,( degrees ),mts,( m.sq mts.),( ha.m/d/m.sq.m ),Monsoon ,N-Monsoon,Monsoon ,Non-Monsoon,( ha.m ),,,,,,,,,
109,09_C_72_12,NLR_C_72_A.S.PETA,Nellorepalem,1000,1,3,45,4.7,0.005,,,,0,0,0,,,,,,,,,
110,09_C_72_12,NLR_C_72_A.S.PETA,Atmakur,,,,45,0,0,,,,0,0,0,,,,,,,,,
111,09_C_72_12,NLR_C_72_A.S.PETA,Vasili,,,,45,0,0,,,,0,0,0,,,,,,,,,
112,09_C_72_12,NLR_C_72_A.S.PETA,Dubagunta,,,,45,0,0,,,,0,0,0,,,,,,,,,
113,09_C_72_12,NLR_C_72_A.S.PETA,Chowtabheemavaram,,,,45,0,0,,,,0,0,0,,,,,,,,,
114,09_C_72_12,NLR_C_72_A.S.PETA,Gudipadu,,,,45,0,0,,,,0,0,0,,,,,,,,,
115,09_C_72_12,NLR_C_72_A.S.PETA,Gumparlapadu,,,,45,0,0,,,,0,0,0,,,,,,,,,
116,09_C_72_12,NLR_C_72_A.S.PETA,Pandipadu,,,,45,0,0,,,,0,0,0,,,,,,,,,
117,09_C_72_12,NLR_C_72_A.S.PETA,Peddaabbipuram,,,,45,0,0,,,,0,0,0,,,,,,,,,
118,09_C_72_12,NLR_C_72_A.S.PETA,Rajavolu,,,,45,0,0,,,,0,0,0,,,,,,,,,
119,09_C_72_12,NLR_C_72_A.S.PETA,Ponugodu,,,,45,0,0,,,,0,0,0,,,,,,,,,
120,09_C_72_12,NLR_C_72_A.S.PETA,Anumasamudrampeta,500,1,3,45,4.7,0.002,,,,0,0,0,,,,,,,,,
121,09_C_72_12,NLR_C_72_A.S.PETA,Kakarlapadu,,,,45,0,0,,,,0,0,0,,,,,,,,,
122,09_C_72_12,NLR_C_72_A.S.PETA,Zammavaram,,,,45,0,0,,,,0,0,0,,,,,,,,,
123,09_C_72_12,NLR_C_72_A.S.PETA,Kavali yadavalli,3500,2,6,45,9.4,0.033,,,,0,0,0,,,,,,,,,
124,09_C_72_12,NLR_C_72_A.S.PETA,Velpulagunta,,,,45,0,0,,,,0,0,0,,,,,,,,,
125,09_C_72_12,NLR_C_72_A.S.PETA,Akbarabad,,,,45,0,0,,,,0,0,0,,,,,,,,,
126,09_C_72_12,NLR_C_72_A.S.PETA,Chiramana,,,,45,0,0,,,,0,0,0,,,,,,,,,
127,09_C_72_12,NLR_C_72_A.S.PETA,Chandalurupadu,,,,45,0,0,,,,0,0,0,,,,,,,,,
128,09_C_72_12,NLR_C_72_A.S.PETA,Anumasamudram,,,,45,0,0,,,,0,0,0,,,,,,,,,
129,09_C_72_12,NLR_C_72_A.S.PETA,Kuppurupadu,,,,45,0,0,,,,0,0,0,,,,,,,,,
130,09_C_72_12,NLR_C_72_A.S.PETA,Kondameedikonduru,,,,45,0,0,,,,0,0,0,,,,,,,,,
131,09_C_72_12,NLR_C_72_A.S.PETA,Peramana,,,,45,0,0,,,,0,0,0,,,,,,,,,
132,09_C_72_12,NLR_C_72_A.S.PETA,Neelayapalem,,,,45,0,0,,,,0,0,0,,,,,,,,,
133,09_C_72_12,NLR_C_72_A.S.PETA,Kolagatla,,,,45,0,0,,,,0,0,0,,,,,,,,,
134,09_c_72_15,NLR_C_72_ANANTASAGARAM,Yerrakonda hills,,,,45,0,0,3.5,90,90,0,0,0,,,,,,,,,
135,09_c_72_15,NLR_C_72_ANANTASAGARAM,Velikonda hills,,,,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
136,09_c_72_15,NLR_C_72_ANANTASAGARAM,Naginenigunta,,,,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
137,09_c_72_15,NLR_C_72_ANANTASAGARAM,Singannapalle,,,,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
138,09_c_72_15,NLR_C_72_ANANTASAGARAM,Padamatinaidupalle,,,,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
139,09_c_72_15,NLR_C_72_ANANTASAGARAM,Chunchuluru,,,,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
140,09_c_72_15,NLR_C_72_ANANTASAGARAM,Pallavolu,,,,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
141,09_c_72_15,NLR_C_72_ANANTASAGARAM,Ponguru,,,,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
142,09_c_72_15,NLR_C_72_ANANTASAGARAM,Bandarupalli,,,,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
143,09_c_72_15,NLR_C_72_ANANTASAGARAM,Kanupurupalli,1500,2,6,45,9.4,0.014,3.5,30,90,1.48,4.44,5.92,,,,,,,,,
144,09_c_72_15,NLR_C_72_ANANTASAGARAM,Velikonda hills,,,,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
145,09_c_72_15,NLR_C_72_ANANTASAGARAM,Chapuralllapalle,,,,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
146,09_c_72_15,NLR_C_72_ANANTASAGARAM,Bommavaram,,,,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
147,09_c_72_15,NLR_C_72_ANANTASAGARAM,Tholijapuram,,,,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
148,09_c_72_15,NLR_C_72_ANANTASAGARAM,Gowravaram,,,,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
149,09_c_72_15,NLR_C_72_ANANTASAGARAM,Amanichiruvella,15750,3,10,45,15.1,0.238,3.5,30,90,24.96,74.87,99.83,,,,,,,,,
150,09_c_72_15,NLR_C_72_ANANTASAGARAM,Inagalur,4500,2.5,8,45,12.2,0.055,3.5,30,90,5.78,17.35,23.14,,,,,,,,,
151,09_c_72_15,NLR_C_72_ANANTASAGARAM,Anantasagaram,8250,4,12,45,18.8,0.155,3.5,30,90,16.28,48.83,65.1,,,,,,,,,
152,09_c_72_15,NLR_C_72_ANANTASAGARAM,Kamereddipadu,,,,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
153,09_c_72_15,NLR_C_72_ANANTASAGARAM,Mangupalle,,,,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
154,09_c_72_15,NLR_C_72_ANANTASAGARAM,Patalapalle,2500,3,8,45,13.1,0.033,3.5,30,90,3.44,10.31,13.75,,,,,,,,,
155,09_c_72_15,NLR_C_72_ANANTASAGARAM,Padamatikambhampadu,6000,3,8,45,13.1,0.079,3.5,30,90,8.25,24.74,32.99,,,,,,,,,
156,09_c_72_15,NLR_C_72_ANANTASAGARAM,Somasila,4500,3,8,45,13.1,0.059,3.5,30,90,6.19,18.56,24.74,,,,,,,,,
157,09_c_72_15,NLR_C_72_ANANTASAGARAM,Uppalapadu,1750,1.5,3,45,5.5,0.01,3.5,30,90,1.02,3.06,4.08,,,,,,,,,
158,09_c_72_15,NLR_C_72_ANANTASAGARAM,Varikuntapadu,,,,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
159,09_c_72_15,NLR_C_72_ANANTASAGARAM,Bedusupalli,,,,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
160,09_c_72_15,NLR_C_72_ANANTASAGARAM,Devarayapalli-1,,,,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
161,09_c_72_15,NLR_C_72_ANANTASAGARAM,Devarayapalli-II,5000,1.75,3.5,45,6.5,0.032,3.5,30,90,3.4,10.19,13.59,,,,,,,,,
162,09_c_72_15,NLR_C_72_ANANTASAGARAM,Revuru,500,1.75,3.5,45,6.5,0.003,3.5,30,90,0.34,1.02,1.36,,,,,,,,,
163,09_C_72_17,NLR_C_72_CHEJARLA,Yanamadala,,,,45,0,0,3.5,90,90,0,0,0,,,,,,,,,
164,09_C_72_17,NLR_C_72_CHEJARLA,Chejarla,7250,2.5,4,45,8.2,0.06,3.5,30,90,6.27,18.82,25.1,,,,,,,,,
165,09_C_72_17,NLR_C_72_CHEJARLA,Timmayapalem,6000,2.5,5,45,9.2,0.055,3.5,30,90,5.82,17.47,23.29,,,,,,,,,
166,09_C_72_17,NLR_C_72_CHEJARLA,Kalayapalem,1250,2,3,45,6.4,0.008,3.5,30,90,0.84,2.52,3.36,,,,,,,,,
167,09_C_72_17,NLR_C_72_CHEJARLA,Nagulavellaturu,1500,2,3.5,45,6.9,0.01,3.5,30,90,1.09,3.26,4.34,,,,,,,,,
168,09_C_72_17,NLR_C_72_CHEJARLA,Billupadu,3750,2,3.5,45,6.9,0.026,3.5,30,90,2.71,8.14,10.86,,,,,,,,,
169,09_C_72_17,NLR_C_72_CHEJARLA,Kakivoya,750,2,4,45,6.9,0.005,3.5,30,90,0.54,1.63,2.17,,,,,,,,,
170,09_C_72_17,NLR_C_72_CHEJARLA,Topugunta,,,,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
171,09_C_72_17,NLR_C_72_CHEJARLA,Cheepinapi,,,,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
172,09_C_72_17,NLR_C_72_CHEJARLA,Chintalatmakur,,,,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
173,09_C_72_17,NLR_C_72_CHEJARLA,Pallakonda,,,,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
174,09_C_72_17,NLR_C_72_CHEJARLA,Kesamanenipalle,,,,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
175,09_C_72_17,NLR_C_72_CHEJARLA,Chinagopavaram,,,,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
176,09_C_72_17,NLR_C_72_CHEJARLA,Kanupurupalle,,,,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
177,09_C_72_11,NLR_C_72_GANDLAVEEDU,Gundemadakala,,,,45,0,0,3.5,90,90,0,0,0,,,,,,,,,
178,09_C_72_11,NLR_C_72_GANDLAVEEDU,Shankavaram,,,,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
179,09_C_72_11,NLR_C_72_GANDLAVEEDU,Nallakonda,,,,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
180,09_C_72_11,NLR_C_72_GANDLAVEEDU,Kistipuram A,,,,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
181,09_C_72_11,NLR_C_72_GANDLAVEEDU,Duttalur,,,,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
182,09_C_72_11,NLR_C_72_GANDLAVEEDU,Brahmeswaram,,,,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
183,09_C_72_11,NLR_C_72_GANDLAVEEDU,Yerukollu,0,0,0,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
184,09_C_72_11,NLR_C_72_GANDLAVEEDU,Rachavaripalle,0,0,0,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
185,09_C_72_11,NLR_C_72_GANDLAVEEDU,Bhyravaram,0,0,0,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
186,09_C_72_11,NLR_C_72_GANDLAVEEDU,Nandavaram,0,0,0,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
187,09_C_72_11,NLR_C_72_GANDLAVEEDU,Dharmarao Cheruvupalli,0,0,0,45,0,0,3.5,30,90,0,0,0,,,,,,,,,
188,09_C_72_11,NLR_C_72_GANDLAVEEDU,Gandlaveedu,,,,45,0,0,,,,0,0,0,,,,,,,,,
189,09_C_72_11,NLR_C_72_GANDLAVEEDU,Bottikarlapadu,,,,45,0,0,,,,0,0,0,,,,,,,,,
190,09_C_72_11,NLR_C_72_GANDLAVEEDU,Padakandla,,,,45,0,0,,,,0,0,0,,,,,,,,,
191,09_C_72_11,NLR_C_72_GANDLAVEEDU,Araveedu,5750,3,10,45,15.1,0.087,,,,0,0,0,,,,,,,,,
192,09_C_72_11,NLR_C_72_GANDLAVEEDU,Karatampadu,2500,1,3,45,4.7,0.012,,,,0,0,0,,,,,,,,,
