sr.no,,,village name,No. M.I.Tanks command area,,Number of M.I.Tanks [Non command area],,"Number of M.I.Tanks PQ Area
[Poor GW Quality area]",
,Watershed code ,GW watershed name,,Number,spread ha,Number,spread ha,Number,spread ha
293,09_C_72_13,NLR_C_72_KOVUR,Kalayakagolu,0,20,,,,
294,09_C_72_13,NLR_C_72_KOVUR,Srirangarajapuram,0,0,,,,
295,09_C_72_13,NLR_C_72_KOVUR,Damaramadugu,0,0,,,,
296,09_C_72_13,NLR_C_72_KOVUR,Korimerla kandriga,,,0,0,,
297,09_C_72_13,NLR_C_72_KOVUR,Talupurupadu,,,,,,
298,09_C_72_13,NLR_C_72_KOVUR,Chennavarappadu,1,20,,,,
299,09_C_72_13,NLR_C_72_KOVUR,Marripadu,1,10,,,,
300,09_C_72_13,NLR_C_72_KOVUR,Jangala khandrika,1,40,,,,
301,09_C_72_13,NLR_C_72_KOVUR,Kaligirikonduru,,,,,,
302,09_C_72_13,NLR_C_72_KOVUR,Vangallu,1,130,,,,
303,09_C_72_13,NLR_C_72_KOVUR,Tarunavai,1,190,,,,
304,09_C_72_13,NLR_C_72_KOVUR,Sangam,1,50,,,,
305,09_C_72_13,NLR_C_72_KOVUR,Korimerla,,,1,30,,
306,09_C_72_13,NLR_C_72_KOVUR,Padamatipalem,,,,,,
307,09_C_72_13,NLR_C_72_KOVUR,Duvvuru,1,320,,,,
308,09_C_72_13,NLR_C_72_KOVUR,Makthapuram,0,0,,,,
309,09_C_72_13,NLR_C_72_KOVUR,Annareddipalem,,,,,,
310,09_C_72_13,NLR_C_72_KOVUR,Patur,0,0,,,,
311,09_C_72_13,NLR_C_72_KOVUR,Gangavaram,0,0,,,,
312,09_C_72_13,NLR_C_72_KOVUR,Pothireddipalem,,,,,,
313,09_C_72_13,NLR_C_72_KOVUR,Padugupadu,1,80,,,,
314,09_C_72_13,NLR_C_72_KOVUR,Kovur,,,,,,
315,09_C_72_13,NLR_C_72_KOVUR,Modegunta,0,,,,,
316,09_C_72_13,NLR_C_72_KOVUR,Veguru,1,210,,,,
317,09_C_72_13,NLR_C_72_KOVUR,Leguntapadu,1,920,,,,
318,09_C_72_13,NLR_C_72_KOVUR,Inamadugu,0,0,,,,
319,09_C_72_13,NLR_C_72_KOVUR,Cherlopalem,1,200,,,,
320,09_C_72_13,NLR_C_72_KOVUR,Total,27,5112,4,220,1,3
321,09_C_72_19,NLR_C_72_NELLORE,Ayyavaripalem,,,1,70,,
322,09_C_72_19,NLR_C_72_NELLORE,Toderu,,,1,110,,
323,09_C_72_19,NLR_C_72_NELLORE,Marupuru,1,170,,,,
324,09_C_72_19,NLR_C_72_NELLORE,Kandamur,1,80,,,,
325,09_C_72_19,NLR_C_72_NELLORE,Sajjapuram,1,150,,,,
326,09_C_72_19,NLR_C_72_NELLORE,Vellanti,2,260,,,,
327,09_C_72_19,NLR_C_72_NELLORE,Mulumudi,2,450,,,,
