,,,,CA,NCA,PQA,
,,,,Industrial,Industrial,Industrial,
Sr.no,Watershed code,GW watershed name,village name,Industrial Wells,Industrial Wells,Industrial Wells,Total 
196,09_C_72_16,NLR_C_72_KALUVOYA,Koturupalle,,,,0
197,09_C_72_16,NLR_C_72_KALUVOYA,Yerraballe,,,,0
198,09_C_72_16,NLR_C_72_KALUVOYA,Tegacherla,,,,0
199,09_C_72_14,NLR_C_72_KODAVALUR,Dundigum,,,,0
200,09_C_72_14,NLR_C_72_KODAVALUR,Marellapadu,,,,0
201,09_C_72_14,NLR_C_72_KODAVALUR,Katrayapadu,,,,0
202,09_C_72_14,NLR_C_72_KODAVALUR,Lingalapadu,,,,0
203,09_C_72_14,NLR_C_72_KODAVALUR,Rangasamudram,,,,0
204,09_C_72_14,NLR_C_72_KODAVALUR,Itampadu,,,,0
205,09_C_72_14,NLR_C_72_KODAVALUR,Chennuru,,,,0
206,09_C_72_14,NLR_C_72_KODAVALUR,Velupodu,,,,0
207,09_C_72_14,NLR_C_72_KODAVALUR,Dagadarti,,,,0
208,09_C_72_14,NLR_C_72_KODAVALUR,Turimerla,,,,0
209,09_C_72_14,NLR_C_72_KODAVALUR,Yelamanchipadu,,,,0
210,09_C_72_14,NLR_C_72_KODAVALUR,Pedaputtedu,,,,0
211,09_C_72_14,NLR_C_72_KODAVALUR,Chawataputtedu,,,,0
212,09_C_72_14,NLR_C_72_KODAVALUR,Uchaguntapalem,,,,0
213,09_C_72_14,NLR_C_72_KODAVALUR,North Amuluru,,,,0
214,09_C_72_14,NLR_C_72_KODAVALUR,North Mopuru,,,,0
215,09_C_72_14,NLR_C_72_KODAVALUR,Indupuru,,,,0
216,09_C_72_14,NLR_C_72_KODAVALUR,Purini,,,,0
217,09_C_72_14,NLR_C_72_KODAVALUR,Beeramgunta,,,,0
218,09_C_72_14,NLR_C_72_KODAVALUR,Kalambotlavarikhandra,,,,0
219,09_C_72_14,NLR_C_72_KODAVALUR,Anantabatlavarikandriga,,,,0
220,09_C_72_14,NLR_C_72_KODAVALUR,Varini,,,,0
221,09_C_72_14,NLR_C_72_KODAVALUR,Talamanchi,,,,0
222,09_C_72_14,NLR_C_72_KODAVALUR,Damegunta,,,,0
223,09_C_72_14,NLR_C_72_KODAVALUR,Basavaipalem,,,,0
224,09_C_72_14,NLR_C_72_KODAVALUR,Venkannapuram,,,,0
225,09_C_72_14,NLR_C_72_KODAVALUR,Gundalammapalem,,,,0
226,09_C_72_14,NLR_C_72_KODAVALUR,Naidupalem,,,,0
227,09_C_72_14,NLR_C_72_KODAVALUR,Bodduvaripalem,,,,0
228,09_C_72_14,NLR_C_72_KODAVALUR,Gotlapalem,,,,0
229,09_C_72_14,NLR_C_72_KODAVALUR,Kothavangallu,,,,0
230,09_C_72_14,NLR_C_72_KODAVALUR,Gandavaram,,,,0
231,09_C_72_14,NLR_C_72_KODAVALUR,Kodavalur,,,,0
232,09_C_72_13,NLR_C_72_KOVUR,Kunalammapadu,,,,0
233,09_C_72_13,NLR_C_72_KOVUR,Hasanapuram,,,,0
234,09_C_72_13,NLR_C_72_KOVUR,Zuvvalaguntapalle,,,,0
235,09_C_72_13,NLR_C_72_KOVUR,Srikolanu,,,,0
236,09_C_72_13,NLR_C_72_KOVUR,Thiruveedipadu,,,,0
237,09_C_72_13,NLR_C_72_KOVUR,Parlapalli,,,,0
