Sr.no,,,Village name,T.Area (ha),Watershed command area ,,,,Watershed Non command Area,,,,Watershed poor quality Area,,,,,,,,,,,,,,,,,
,Water shed code,Watershed name,,,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total,Water shed code,Watershed name,DIS code,district,mandal code,mandal,janmaboomi code,village code,,,,,,
42,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Gowdamala,343,343,,0,343,0,0,0,0,,,,,,,Kalangi,Katuru,,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,10,Chittoor,15,Thottambedu,10136150310121,,Gowdamala
43,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Routhusuramala,1139,1139,,0,1139,0,0,0,0,,,,,,,Kalangi,Katuru,,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,10,Chittoor,15,Thottambedu,10136150300120,,Routhusuramala
44,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Forest,231,0,0,0,0,231,0,231,231,,,,,,,Kalangi,Katuru,,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,10,Chittoor,,Nagalapuram,,,Forest
45,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Parlapalli,346,346,,0,346,0,0,0,0,,,,,,,Kalangi,Katuru,,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,10,Chittoor,16,B N Kandriga,10136160030102,,Parlapalli
46,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Pallemala,758,758,,0,758,0,0,0,0,,,,,,,Kalangi,Katuru,,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,10,Chittoor,16,B N Kandriga,10136160120101,,Pallemala
47,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Katuru,4687,4602,85,3840,4687,0,0,0,0,,,,,,,Kalangi,Katuru,,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,10,Chittoor,16,B N Kandriga,10136160130111,,Katuru
48,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Bhavani sankarapuram,276,276,,0,276,0,0,0,0,,,,,,,Kalangi,Katuru,,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,10,Chittoor,16,B N Kandriga,10136160050104,,Bhavani sankarapuram
49,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Alathuru,2042,2042,,0,2042,0,0,0,0,,,,,,,Kalangi,Katuru,,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,10,Chittoor,16,B N Kandriga,10136160060104,,Alathuru
50,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Taripedu,158,158,,0,158,0,0,0,0,,,,,,,Kalangi,Katuru,,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,10,Chittoor,16,B N Kandriga,10136160080107,,Taripedu
51,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Chinnagunta,260,260,,0,260,0,0,0,0,,,,,,,Kalangi,Katuru,,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,10,Chittoor,16,B N Kandriga,10136160090108,,Chinnagunta
