,,,,"Command Area",,,,,,,,"Non-Command Area",,,,,,,,"Poor GW quality area",,,,,,,
,,,,"Irrigated",,,,,,,,"Irrigated",,,,,,,,"Irrigated",,,,,,,
"Sr.no","Watershed code","GW watershed name","village name","DW","DW PS","BW","STW","MTW","DTW","FP","Total","DW","DW PS","BW","STW","MTW","DTW","FP","Total","DW","DW PS","BW","STW","MTW","DTW","FP","Total"
189,"10-C-69-2","Ctr_Papa_K Kota","Kadirinaduni Kota",736,736,1366,0,77,659,,3574,,2,52,0,0,0,0,54,,,,,,,,0
190,"10-C-69-2","Ctr_Papa_K Kota","Nayuni Cheruvu Palle",713,713,1218,0,0,713,,3357,,2,48,0,0,0,0,50,,,,,,,,0
191,"10-C-69-2","Ctr_Papa_K Kota","Marellagadda",120,120,153,0,0,120,,513,,0,8,0,0,0,0,8,,,,,,,,0
192,"10-C-69-2","Ctr_Papa_K Kota","Forest",0,0,,,,0,,0,,,,,,,,0,,,,,,,,0
193,"10-C-69-2","Ctr_Papa_K Kota","Pulikallu",920,920,2284,6,0,920,,5050,,24,149,0,0,0,0,173,,,,,,,,0
194,"10-C-69-2","Ctr_Papa_K Kota","Katnagallu",1212,1212,2209,17,7,1205,,5862,,36,93,0,0,0,,129,,,,,,,,0
195,"10-C-69-2","Ctr_Papa_K Kota","Jagadamvari Palle",65,65,12,0,0,65,,207,,2,13,0,0,0,,15,,,,,,,,0
196,"10-C-69-3","Ctr-Papa-PTM","Pedda Thippa Samudram",951,951,6443,28,167,784,,9324,,7,103,0,0,0,3,113,,,,,,,,0
197,"10-C-69-3","Ctr-Papa-PTM","Maddaiahgaripalli",1204,1204,2538,0,0,1204,,6150,0,15,95,0,0,0,0,110,,,,,,,,0
198,"10-C-69-3","Ctr-Papa-PTM","Mallela",1686,1686,3174,5,374,1312,,8237,0,14,100,0,0,0,10,124,,,,,,,,0
199,"10-C-69-3","Ctr-Papa-PTM","Amalla Banda Kota",239,239,123,0,11,228,,840,0,1,23,0,0,0,1,25,,,,,,,,0
200,"10-C-69-3","Ctr-Papa-PTM","Sampathi Kota",1206,1206,1621,0,12,1194,,5239,0,18,110,0,0,0,5,133,,,,,,,,0
201,"10-C-69-3","Ctr-Papa-PTM","Buchi Palle",871,871,1371,0,0,871,,3984,0,12,93,0,0,0,3,108,,,,,,,,0
202,"10-C-69-3","Ctr-Papa-PTM","Tummara Kunta",2342,2342,5644,12,0,2342,,12682,0,31,160,0,0,0,41,232,,,,,,,,0
203,"10-C-69-3","Ctr-Papa-PTM","Chennappagaripalli",91,91,0,0,0,91,,273,0,0,0,0,0,0,0,0,,,,,,,,0
204,"10-C-69-3","Ctr-Papa-PTM","Chennaiahgaripalli",127,127,181,0,0,127,,562,0,0,13,0,0,0,0,13,,,,,,,,0
205,"10-C-69-4","Ctr_Papa_Gummasamudram","B.Kothakota",3815,3815,26191,0,205,3610,,37636,0,15,175,0,0,0,17,207,,,,,,,,0
206,"10-C-69-4","Ctr_Papa_Gummasamudram","Badikayalapalle",3940,3940,5743,812,709,3231,,18375,0,7,65,0,0,0,20,92,,,,,,,,0
207,"10-C-69-4","Ctr_Papa_Gummasamudram","Boyyappagaripalle",2328,2328,3835,0,345,1983,,10819,0,32,260,0,0,0,21,313,,,,,,,,0
208,"10-C-69-4","Ctr_Papa_Gummasamudram","Beerangi",2378,2378,4741,0,152,2226,,11875,0,8,198,0,0,0,10,216,,,,,,,,0
209,"10-C-69-4","Ctr_Papa_Gummasamudram","Gattu",3068,3068,8237,0,807,2261,,17441,0,17,350,0,0,0,48,415,,,,,,,,0
210,"10-C-69-4","Ctr_Papa_Gummasamudram","Gollapalle",2084,2084,3146,0,554,1530,,9398,0,7,165,0,0,0,14,186,,,,,,,,0
211,"10-C-69-4","Ctr_Papa_Gummasamudram","Gummasamudram",2568,2568,3513,0,9,2559,,11217,0,11,173,0,0,0,14,198,,,,,,,,0
212,"10-C-69-4","Ctr_Papa_Gummasamudram","Kotavooru",7022,7022,1964,5733,183,6839,,28763,0,7,96,0,0,0,9,112,,,,,,,,0
213,"10-C-69-4","Ctr_Papa_Gummasamudram","Thummanagutta",1584,1584,2095,211,117,1467,,7058,0,6,72,0,0,0,17,95,,,,,,,,0
214,"10-C-69-4","Ctr_Papa_Gummasamudram","Forest",0,0,0,0,0,0,,0,,,,,,,,0,,,,,,,,0
215,"10-C-69-4","Ctr_Papa_Gummasamudram","Burakaykota",3288,3288,5355,257,1210,2078,,15476,0,1,101,0,0,0,43,145,,,,,,,,0
216,"10-C-69-4","Ctr_Papa_Gummasamudram","Devalacheruvu",3027,3027,4683,423,2,3025,,14187,0,6,164,0,0,0,8,178,,,,,,,,0
217,"10-C-69-4","Ctr_Papa_Gummasamudram","Devarapalli",59,59,98,0,14,45,,275,0,0,13,0,0,0,0,13,,,,,,,,0
218,"10-C-69-4","Ctr_Papa_Gummasamudram","M.Nayanipalli",3391,3391,5184,342,156,3235,,15699,0,5,234,0,0,0,14,253,,,,,,,,0
219,"10-C-69-4","Ctr_Papa_Gummasamudram","Nadigadda Timmapalli",89,89,4,0,0,89,,271,0,0,11,0,0,0,0,11,,,,,,,,0
220,"10-C-69-4","Ctr_Papa_Gummasamudram","Peddapalem",1265,1265,2505,0,8,1257,,6300,0,2,63,0,0,0,8,73,,,,,,,,0
221,"10-C-69-4","Ctr_Papa_Gummasamudram","Vepurikota",1131,1131,2974,69,136,995,,6436,0,6,138,0,0,0,13,157,,,,,,,,0
222,"10-C-69-4","Ctr_Papa_Gummasamudram","Forest",0,0,,,0,0,,0,,,,,,,,0,,,,,,,,0
223,"10-C-69-4","Ctr_Papa_Gummasamudram","Boorlapalle",1919,1919,3702,88,171,1748,,9547,0,11,140,0,0,0,4,155,,,,,,,,0
224,"10-C-69-4","Ctr_Papa_Gummasamudram","Kamsala vandla palle",806,806,821,100,0,806,,3339,0,1,55,0,0,0,0,56,,,,,,,,0
225,"10-C-69-4","Ctr_Papa_Gummasamudram","Madumuru",1421,1421,1337,39,0,1421,,5639,0,5,83,0,0,0,2,90,,,,,,,,0
226,"10-C-69-4","Ctr_Papa_Gummasamudram","Rangasamudram",2222,2222,7506,0,8,2214,,14172,0,6,300,0,0,0,5,311,,,,,,,,0
227,"10-C-69-5","Ctr-Papa-Molakalacheruvu","Forest",334,334,,,334,0,,1002,,,,,,,,0,,,,,,,,0
228,"10-C-69-5","Ctr-Papa-Molakalacheruvu","Molakacheruvu",869,869,8216,52,0,869,,10875,,2,80,,,,2,84,,,,,,,,0
229,"10-C-69-5","Ctr-Papa-Molakalacheruvu","Gudupalle",1444,1444,2163,0,212,1232,,6495,,2,52,,,,4,58,,,,,,,,0
230,"10-C-69-5","Ctr-Papa-Molakalacheruvu","Kalva Palle",2032,2032,2124,0,885,1147,,8220,,9,63,,,,4,76,,,,,,,,0
231,"10-C-69-6","Ctr-Papa-Sompalle-Sompalle","Diguvapalli",1726,1726,763,276,7,1719,,6217,,,,,,,,0,,,,,,,,0
232,"10-C-69-6","Ctr-Papa-Sompalle-Sompalle","Junjurupenta",1320,1320,1244,492,304,1016,,5696,,4,23,,,,5,32,,,,,,,,0
233,"10-C-69-6","Ctr-Papa-Sompalle-Sompalle","Gangireddipalli",924,924,1326,135,87,837,,4233,,10,29,,,,2,41,,,,,,,,0
234,"10-C-69-6","Ctr-Papa-Sompalle-Sompalle","Kotlapalli",1091,1091,3212,97,752,339,,6582,,3,28,,,,,31,,,,,,,,0
235,"10-C-69-6","Ctr-Papa-Sompalle-Sompalle","Forest",,,,,0,0,,0,,,,,,,,0,,,,,,,,0
236,"10-C-69-6","Ctr-Papa-Sompalle-Sompalle","Sompalli",4409,4409,6366,418,1688,2721,,20011,,3,192,,,,11,206,,,,,,,,0
237,"10-C-69-6","Ctr-Papa-Sompalle-Sompalle","Chowdasamudram",1616,1616,2970,0,826,790,,7818,,10,92,,,,4,106,,,,,,,,0
238,"10-C-69-7","Ctr-Papa-Peddaeru east- Bandrevu","Gopidinne",2347,2347,2955,223,554,1793,,10219,,12,55,,,,19,86,,,,,,,,0
239,"10-C-69-7","Ctr-Papa-Peddaeru east- Bandrevu","Kotala",3872,3872,3212,618,2887,985,,15446,,10,27,,,,10,47,,,,,,,,0
240,"10-C-69-7","Ctr-Papa-Peddaeru east- Bandrevu","Forest",,,,,,0,,0,,,,,,,,0,,,,,,,,0
241,"10-C-69-7","Ctr-Papa-Peddaeru east- Bandrevu","Musalikunta",2022,2022,2763,481,940,1082,,9310,,30,27,,,,26,83,,,,,,,,0
242,"10-C-69-7","Ctr-Papa-Peddaeru east- Bandrevu","Bandrevu",3452,3452,2714,578,910,2542,,13648,,16,46,,,,12,74,,,,,,,,0
243,"10-C-69-8","Ctr-Papa-Mudivedu","Pitchandlapalli",2260,2260,2583,28,992,1268,,9391,,1,172,,,,11,184,,,,,,,,0
244,"10-C-69-8","Ctr-Papa-Mudivedu","Mudivedu",3060,3060,6356,106,243,2817,,15642,,3,65,,,,13,81,,,,,,,,0
245,"10-C-69-8","Ctr-Papa-Mudivedu","Forest",25,25,,25,,25,,100,,,,,,,,0,,,,,,,,0
246,"10-C-69-8","Ctr-Papa-Mudivedu","Tamballapalli",4405,4405,8416,1277,844,3561,,22908,,21,91,,,,16,128,,,,,,,,0
247,"10-C-69-8","Ctr-Papa-Mudivedu","Kannemadugu",1263,1263,1574,587,115,1148,,5950,,12,88,,,,14,114,,,,,,,,0
248,"10-C-69-8","Ctr-Papa-Mudivedu","Errasanipalli",581,581,814,186,0,581,,2743,,5,37,,,,1,43,,,,,,,,0
249,"10-C-69-8","Ctr-Papa-Mudivedu","Eddulavaripalli",1047,1047,1621,219,312,735,,4981,,4,61,,,,6,71,,,,,,,,0
250,"10-C-69-8","Ctr-Papa-Mudivedu","Panchalamari",736,736,952,223,203,533,,3383,,8,33,,,,2,43,,,,,,,,0
251,"10-C-69-8","Ctr-Papa-Mudivedu","Marri makulapalli",1079,1079,817,202,707,372,,4256,,4,29,,,,10,43,,,,,,,,0
252,"10-C-69-8","Ctr-Papa-Mudivedu","Renu makulapalli",2171,2171,2494,587,26,2145,,9594,,21,38,,,,13,72,,,,,,,,0
253,"10-C-69-8","Ctr-Papa-Mudivedu","Kosuvaripalli",6223,6223,5911,987,4265,1958,,25567,,24,233,,,,29,286,,,,,,,,0
254,"10-C-69-8","Ctr-Papa-Mudivedu","Gundlapalli",2289,2289,1998,591,1159,1130,,9456,,13,31,,,,8,52,,,,,,,,0
255,"10-C-69-8","Ctr-Papa-Mudivedu","Diguvapalem",1434,1434,737,64,1110,324,,5103,,4,0,,,,1,5,,,,,,,,0
256,"10-C-69-9","Ctr_Papa_Kush_Pedda","Kandriga",49,49,782,0,0,49,,929,,2,29,,,,1,32,,,,,,,,0
257,"10-C-69-9","Ctr_Papa_Kush_Pedda","Sangasamudram",1330,1330,2219,288,115,1215,,6497,,30,84,,,,7,121,,,,,,,,0
258,"10-C-69-9","Ctr_Papa_Kush_Pedda","Gurramkonda",3407,3407,10642,296,1405,2002,,21159,,46,190,,,,20,256,,,,,,,,0
259,"10-C-69-9","Ctr_Papa_Kush_Pedda","Forest",10,10,,10,,10,,40,,,,,,,,0,,,,,,,,0
260,"10-C-69-9","Ctr_Papa_Kush_Pedda","Forest",50,50,,50,,50,,200,,,,,,,,0,,,,,,,,0
261,"10-C-69-9","Ctr_Papa_Kush_Pedda","Kotakonda",1977,1977,2866,769,783,1194,,9566,,6,80,,,,7,93,,,,,,,,0
262,"10-C-69-9","Ctr_Papa_Kush_Pedda","Kukkarajupalli",2163,2163,2977,680,153,2010,,10146,,16,63,,,,10,89,,,,,,,,0
263,"10-C-69-9","Ctr_Papa_Kush_Pedda","Forest",,,,,,0,,0,,,,,,,,0,,,,,,,,0
264,"10-C-69-9","Ctr_Papa_Kush_Pedda","Peddamandyam",4743,4743,7960,186,574,4169,,22375,,40,137,,,,20,197,,,,,,,,0
265,"10-C-69-9","Ctr_Papa_Kush_Pedda","Papepalli",3090,3090,3750,1391,131,2959,,14411,,20,91,,,,19,130,,,,,,,,0
266,"10-C-69-9","Ctr_Papa_Kush_Pedda","Kalicharla",5345,5345,8999,672,674,4671,,25706,,34,135,,,,19,188,,,,,,,,0
267,"10-C-69-9","Ctr_Papa_Kush_Pedda","Siddavaram",674,674,1149,90,62,612,,3261,,16,90,,,,,106,,,,,,,,0
268,"10-C-69-9","Ctr_Papa_Kush_Pedda","Sivapuram",1544,1544,1273,1000,176,1368,,6905,,8,65,,,,2,75,,,,,,,,0
269,"10-C-69-9","Ctr_Papa_Kush_Pedda","Veligallu",3268,3268,5131,864,301,2967,,15799,,26,89,,,,15,130,,,,,,,,0
270,"10-C-71-10","Ctr-Ch-Pasala-Pasalavandlapalle","Forest",,,,,,0,,0,,,,,,,,0,,,,,,,,0
271,"10-C-71-10","Ctr-Ch-Pasala-Pasalavandlapalle","Forest",,,,,,0,,0,,,,,,,,0,,,,,,,,0
272,"10-C-71-10","Ctr-Ch-Pasala-Pasalavandlapalle","Pasalavandlapalli",2446,2446,2287,1095,11,2435,,10720,,23,82,0,,,6,111,,,,,,,,0
273,"10-C-71-11","Ctr-Ch-Satyavathi-Cherlopalle","Ellutla",2034,2034,2689,564,178,1856,,9355,,39,86,,,,13,138,,,,,,,,0
274,"10-C-71-11","Ctr-Ch-Satyavathi-Cherlopalle","Cherlopalli",3013,3013,3455,773,1517,1496,,13267,,14,144,,,,12,170,,,,,,,,0
275,"10-C-71-11","Ctr-Ch-Satyavathi-Cherlopalle","Chittiboyanapalli",1886,1886,147,427,396,1490,,6232,,2,40,,,,4,46,,,,,,,,0
276,"10-C-71-11","Ctr-Ch-Satyavathi-Cherlopalle","Sarimadugu",1748,1748,1806,493,422,1326,,7543,,20,120,,,,9,149,,,,,,,,0
277,"10-C-71-11","Ctr-Ch-Satyavathi-Cherlopalle","Nadimkandriga",1844,1844,2983,210,150,1694,,8725,,42,133,,,,4,179,,,,,,,,0
278,"10-C-71-11","Ctr-Ch-Satyavathi-Cherlopalle","Forest",,,,,,0,,0,,,,,,,,0,,,,,,,,0
279,"10-C-71-11","Ctr-Ch-Satyavathi-Cherlopalle","Forest",,,,,,0,,0,,,,,,,,0,,,,,,,,0
280,"10-C-71-11","Ctr-Ch-Satyavathi-Cherlopalle","Kalakada Kothapalli",260,260,359,0,0,260,,1139,,2,33,,,,1,36,,,,,,,,0
281,"10-C-71-11","Ctr-Ch-Satyavathi-Cherlopalle","Devalapalli",741,741,1398,0,0,741,,3621,,4,55,,,,4,63,,,,,,,,0
282,"10-C-71-11","Ctr-Ch-Satyavathi-Cherlopalle","Kadirayacheruvu",1062,1062,2049,0,105,957,,5235,,6,50,,,,3,59,,,,,,,,0
283,"10-C-71-11","Ctr-Ch-Satyavathi-Cherlopalle","Nadimcherla",2364,2364,2349,750,270,2094,,10191,,14,110,,,,5,129,,,,,,,,0
284,"10-C-71-11","Ctr-Ch-Satyavathi-Cherlopalle","Madinenipalem",383,383,32,122,114,269,,1303,,2,29,,,,0,31,,,,,,,,0
285,"10-C-71-11","Ctr-Ch-Satyavathi-Cherlopalle","Kona",2642,2642,2972,759,240,2402,,11657,,3,91,,,,5,99,,,,,,,,0
286,"10-C-71-11","Ctr-Ch-Satyavathi-Cherlopalle","Gudibanda",692,692,1967,0,6,686,,4043,,10,46,,,,4,60,,,,,,,,0
287,"10-C-71-12","Ctr-Ch-Doddipalle-Enugondapalem","Marrimakulapalli",751,751,1055,81,186,565,,3389,,13,69,,,,4,86,,,,,,,,0
288,"10-C-71-12","Ctr-Ch-Doddipalle-Enugondapalem","Forest",0,0,0,0,0,0,,0,,,,,,,,0,,,,,,,,0
289,"10-C-71-12","Ctr-Ch-Doddipalle-Enugondapalem","Forest",0,0,0,0,0,0,,0,,,,,,,,0,,,,,,,,0
290,"10-C-71-12","Ctr-Ch-Doddipalle-Enugondapalem","Gangapuram",1483,1483,1416,14,8,1475,,5879,,8,110,,,,14,132,,,,,,,,0
291,"10-C-71-12","Ctr-Ch-Doddipalle-Enugondapalem","Ratiguntapalli",307,307,833,0,0,307,,1754,,2,48,,,,1,51,,,,,,,,0
292,"10-C-71-12","Ctr-Ch-Doddipalle-Enugondapalem","Errakotapalli",2401,2401,3461,0,154,2247,,10664,,26,102,,,,13,141,,,,,,,,0
293,"10-C-71-12","Ctr-Ch-Doddipalle-Enugondapalem","Nawabpeta",544,544,881,4,51,493,,2517,,4,48,,,,3,55,,,,,,,,0
294,"10-C-71-12","Ctr-Ch-Doddipalle-Enugondapalem","Mudiamvaripalli",1639,1639,1029,646,94,1545,,6592,,6,53,,,,4,63,,,,,,,,0
295,"10-C-71-12","Ctr-Ch-Doddipalle-Enugondapalem","Enugondapalem",4586,4586,2826,1368,296,4290,,17952,,13,60,,,,11,84,,,,,,,,0
296,"10-C-71-12","Ctr-Ch-Doddipalle-Enugondapalem","Kalakada Doddipalle",663,663,983,0,0,663,,2972,,5,47,,,,4,56,,,,,,,,0
297,"10-C-71-13","Ctr-Ch-Marripadu-Tarikonda","Nagarimadugu",1414,1414,1417,0,0,1414,,5659,,15,52,,,,5,72,,,,,,,,0
298,"10-C-71-13","Ctr-Ch-Marripadu-Tarikonda","Velagapalli",334,334,497,0,0,334,,1499,,1,60,,,,2,63,,,,,,,,0
299,"10-C-71-13","Ctr-Ch-Marripadu-Tarikonda","Jarravaripalli",1054,1054,2180,0,0,1054,,5342,,10,140,,,,5,155,,,,,,,,0
300,"10-C-71-13","Ctr-Ch-Marripadu-Tarikonda","Ayyavaripalli",514,514,693,0,0,514,,2235,,4,90,,,,4,98,,,,,,,,0
301,"10-C-71-13","Ctr-Ch-Marripadu-Tarikonda","Chintaparti",5290,5290,7468,1695,126,5164,,25033,,36,220,,,,21,277,,,,,,,,0
302,"10-C-71-13","Ctr-Ch-Marripadu-Tarikonda","Jamallapalli",143,143,409,0,0,143,,838,,2,30,,,,3,35,,,,,,,,0
303,"10-C-71-13","Ctr-Ch-Marripadu-Tarikonda","Budidavedu",810,810,821,0,0,810,,3251,,1,60,,,,7,68,,,,,,,,0
304,"10-C-71-13","Ctr-Ch-Marripadu-Tarikonda","Tsakirevupalli",920,920,1296,0,0,920,,4056,,2,60,,,,4,66,,,,,,,,0
305,"10-C-71-13","Ctr-Ch-Marripadu-Tarikonda","Manchur",1471,1471,2245,0,0,1471,,6658,,7,160,,,,14,181,,,,,,,,0
306,"10-C-71-13","Ctr-Ch-Marripadu-Tarikonda","Forest",,,,,,0,,0,,,,,,,,0,,,,,,,,0
307,"10-C-71-13","Ctr-Ch-Marripadu-Tarikonda","Amilepalli",795,795,1196,0,0,795,,3581,,18,97,,,,4,119,,,,,,,,0
308,"10-C-71-13","Ctr-Ch-Marripadu-Tarikonda","Arigalavaripalli",498,498,655,0,26,472,,2149,,6,55,,,,3,64,,,,,,,,0
309,"10-C-71-13","Ctr-Ch-Marripadu-Tarikonda","Settivaripalli",1116,1116,1482,119,42,1074,,4949,,7,59,,,,4,70,,,,,,,,0
310,"10-C-71-13","Ctr-Ch-Marripadu-Tarikonda","Ramapuram",938,938,1771,0,,938,,4585,,12,78,,,,10,100,,,,,,,,0
311,"10-C-71-13","Ctr-Ch-Marripadu-Tarikonda","Marripadu",1542,1542,3404,221,26,1516,,8251,,19,109,,,,3,131,,,,,,,,0
312,"10-C-71-13","Ctr-Ch-Marripadu-Tarikonda","Tarigonda",2176,2176,4693,401,2,2174,,11622,,21,123,,,,8,152,,,,,,,,0
313,"10-C-71-13","Ctr-Ch-Marripadu-Tarikonda","T.Rachapalli",716,716,1553,155,0,716,,3856,,7,86,,,,1,94,,,,,,,,0
314,"10-C-71-13","Ctr-Ch-Marripadu-Tarikonda","Matlivaripalli",3818,3818,4278,280,596,3222,,16012,,2,227,,,,40,269,,,,,,,,0
315,"10-C-71-13","Ctr-Ch-Marripadu-Tarikonda","Potuvaripalli",203,203,310,0,0,203,,919,,2,24,,,,3,29,,,,,,,,0
316,"10-C-71-13","Ctr-Ch-Marripadu-Tarikonda","Forest",,,,,,0,,0,,,,,,,,0,,,,,,,,0
317,"10-C-71-13","Ctr-Ch-Marripadu-Tarikonda","Forest",,,,,,0,,0,,,,,,,,0,,,,,,,,0
318,"10-C-71-13","Ctr-Ch-Marripadu-Tarikonda","Parapatla",1344,1344,795,152,0,1344,,4979,,14,58,,,,6,78,,,,,,,,0
319,"10-C-71-13","Ctr-Ch-Marripadu-Tarikonda","Chikatipalli",1281,1281,917,171,6,1275,,4931,,15,46,,,,4,65,,,,,,,,0
320,"10-C-71-13","Ctr-Ch-Marripadu-Tarikonda","Gundluru",2295,2295,5172,0,57,2238,,12057,,14,116,,,,13,143,,,,,,,,0
321,"10-C-71-13","Ctr-Ch-Marripadu-Tarikonda","Mahalrajupalli",579,579,871,0,0,579,,2608,,12,55,,,,3,70,,,,,,,,0
322,"10-C-71-14","Ctr-Ch-Thettuvanka-Vayalpadu","CTM",2880,2880,9823,871,226,2654,,19334,,2,185,,,,14,201,,,,,,,,0
323,"10-C-71-14","Ctr-Ch-Thettuvanka-Vayalpadu","Kothavaripalli",3114,3114,8541,831,444,2670,,18714,,1,295,,,,15,311,,,,,,,,0
324,"10-C-71-14","Ctr-Ch-Thettuvanka-Vayalpadu","Kasiraopeta",224,224,168,0,29,195,,840,,0,12,,,,,12,,,,,,,,0
325,"10-C-71-14","Ctr-Ch-Thettuvanka-Vayalpadu","Pothapolu",2523,2523,5872,1577,205,2318,,15018,,4,163,,,,21,188,,,,,,,,0
326,"10-C-71-14","Ctr-Ch-Thettuvanka-Vayalpadu","Kurabalakota",4165,4165,11583,49,639,3526,,24127,,1,190,,,,26,217,,,,,,,,0
327,"10-C-71-14","Ctr-Ch-Thettuvanka-Vayalpadu","Thettu",3707,3707,7410,455,2192,1515,,18986,,3,235,,,,13,251,,,,,,,,0
328,"10-C-71-14","Ctr-Ch-Thettuvanka-Vayalpadu","Angallu",1798,1798,8681,0,394,1404,,14075,,1,215,,,,11,227,,,,,,,,0
329,"10-C-71-14","Ctr-Ch-Thettuvanka-Vayalpadu","Bramhanapalli",100,100,319,0,5,95,,619,,0,18,,,,0,18,,,,,,,,0
330,"10-C-71-14","Ctr-Ch-Thettuvanka-Vayalpadu","Mutakavaripalli",172,172,0,0,172,0,,516,,0,11,,,,40,51,,,,,,,,0
331,"10-C-71-14","Ctr-Ch-Thettuvanka-Vayalpadu","Forest",,,,,,0,,0,,,,,,,,0,,,,,,,,0
332,"10-C-71-14","Ctr-Ch-Thettuvanka-Vayalpadu","Valmiki Puram",6390,6390,17535,,177,6213,,36705,,14,230,,,,13,257,,,,,,,,0
333,"10-C-71-14","Ctr-Ch-Thettuvanka-Vayalpadu","Chintalavaripalli",1040,1040,1129,0,3,1037,,4249,,4,112,,,,7,123,,,,,,,,0
334,"10-C-71-14","Ctr-Ch-Thettuvanka-Vayalpadu","Aramadaka",492,492,523,0,0,492,,1999,,3,20,,,,1,24,,,,,,,,0
335,"10-C-71-14","Ctr-Ch-Thettuvanka-Vayalpadu","Kuraparti",838,838,1496,0,34,804,,4010,,6,56,,,,5,67,,,,,,,,0
336,"10-C-71-14","Ctr-Ch-Thettuvanka-Vayalpadu","Vitalam",481,481,829,0,0,481,,2272,,4,30,,,,5,39,,,,,,,,0
337,"10-C-71-14","Ctr-Ch-Thettuvanka-Vayalpadu","Kollabailu",2070,2070,2072,,,2070,,8282,,1,80,,,,5,86,,,,,,,,0
338,"10-C-71-15","Ctr-Ch-Regadakalva-Madanapalle","Madanapalli",3471,3471,12619,1024,682,2789,,24056,,2,342,,,,18,362,,,,,,,,0
339,"10-C-71-15","Ctr-Ch-Regadakalva-Madanapalle","Bandamidakampalli",1007,1007,107449,0,0,1007,,110470,,0,17,,,,7,24,,,,,,,,0
340,"10-C-71-15","Ctr-Ch-Regadakalva-Madanapalle","Kampalli",260,260,0,0,2,258,,780,,2,27,,,,,29,,,,,,,,0
341,"10-C-71-15","Ctr-Ch-Regadakalva-Madanapalle","Basinikonda",1798,1798,12738,0,112,1686,,18132,,9,166,,,,18,193,,,,,,,,0
342,"10-C-71-15","Ctr-Ch-Regadakalva-Madanapalle","Venkappakota",300,300,832,0,33,267,,1732,,0,44,,,,1,45,,,,,,,,0
343,"10-C-71-15","Ctr-Ch-Regadakalva-Madanapalle","Pamayyagaripalli",170,170,66,0,0,170,,576,,0,15,,,,,15,,,,,,,,0
344,"10-C-71-15","Ctr-Ch-Regadakalva-Madanapalle","Valasapalli",2209,2209,4171,277,311,1898,,11075,,2,44,,,,4,50,,,,,,,,0
345,"10-C-71-15","Ctr-Ch-Regadakalva-Madanapalle","Molakaladinne",77,77,393,0,0,77,,624,,0,13,,,,3,16,,,,,,,,0
346,"10-C-71-15","Ctr-Ch-Regadakalva-Madanapalle","Penchupadu",1866,1866,2759,435,1465,401,,8792,,9,78,,,,10,97,,,,,,,,0
347,"10-C-71-15","Ctr-Ch-Regadakalva-Madanapalle","Malepadu",2162,2162,3049,467,0,2162,,10002,,3,65,,,,13,81,,,,,,,,0
348,"10-C-71-15","Ctr-Ch-Regadakalva-Madanapalle","Teneegalavandlapalli",264,264,650,0,0,264,,1442,,2,44,,,,4,50,,,,,,,,0
349,"10-C-71-15","Ctr-Ch-Regadakalva-Madanapalle","Vempalli",5903,5903,10639,1668,1778,4125,,30016,,4,679,,,,14,697,,,,,,,,0
350,"10-C-71-15","Ctr-Ch-Regadakalva-Madanapalle","Ponnetipalem",1333,1333,4510,229,594,739,,8738,,2,170,,,,3,175,,,,,,,,0
351,"10-C-71-15","Ctr-Ch-Regadakalva-Madanapalle","Chippili",210,210,316,0,0,210,,946,,0,44,,,,,44,,,,,,,,0
352,"10-C-71-15","Ctr-Ch-Regadakalva-Madanapalle","Papireddigaripalli",53,53,1351,0,0,53,,1510,,0,11,,,,,11,,,,,,,,0
353,"10-C-71-15","Ctr-Ch-Regadakalva-Madanapalle","Ankisettipalli",325,325,1067,0,125,200,,2042,,1,80,,,,1,82,,,,,,,,0
354,"10-C-71-15","Ctr-Ch-Regadakalva-Madanapalle","Forest",596,596,,,596,0,,1788,,,,,,,,0,,,,,,,,0
355,"10-C-71-15","Ctr-Ch-Regadakalva-Madanapalle","Chandramakulapalli",2900,2900,3258,538,322,2578,,12496,,5,228,,,,15,248,,,,,,,,0
356,"10-C-71-15","Ctr-Ch-Regadakalva-Madanapalle","Bodevaripalli",2576,2576,3061,861,308,2268,,11650,,5,133,,,,5,143,,,,,,,,0
357,"10-C-71-15","Ctr-Ch-Regadakalva-Madanapalle","Palempalli",1502,1502,3884,0,0,1502,,8390,,8,140,,,,18,166,,,,,,,,0
358,"10-C-71-15","Ctr-Ch-Regadakalva-Madanapalle","Rachavetivaripalli",1712,1712,2766,572,15,1697,,8474,,5,168,,,,15,188,,,,,,,,0
359,"10-C-71-15","Ctr-Ch-Regadakalva-Madanapalle","Machireddigaripalli",709,709,1532,0,0,709,,3659,,3,81,,,,7,91,,,,,,,,0
360,"10-C-71-15","Ctr-Ch-Regadakalva-Madanapalle","Reddivaripalli",3760,3760,4258,978,338,3422,,16516,,8,243,,,,24,275,,,,,,,,0
361,"10-C-71-15","Ctr-Ch-Regadakalva-Madanapalle","Bandlapayi",2243,2243,1315,1261,707,1536,,9305,,2,78,,,,6,86,,,,,,,,0
362,"10-C-71-16","Ctr-Ch-Reservoir-Nimmanapalle","Nimmanapalli",1981,1981,5641,,131,1850,,11584,,17,223,,,,21,261,,,,,,,,0
363,"10-C-71-16","Ctr-Ch-Reservoir-Nimmanapalle","Mustooru",2986,2986,5814,,307,2679,,14772,,14,207,,,,22,243,,,,,,,,0
