,,,,"Command Area",,,,,,,,"Non-Command Area",,,,,,,,"Poor GW quality area",,,,,,,
,,,,"Irrigated",,,,,,,,"Irrigated",,,,,,,,"Irrigated",,,,,,,
"Sr.no","Watershed code","GW watershed name","village name","DW","DW PS","BW","STW","MTW","DTW","FP","Total","DW","DW PS","BW","STW","MTW","DTW","FP","Total","DW","DW PS","BW","STW","MTW","DTW","FP","Total"
1363,"10-C-81-67","Ctr-pa-Kaigaleru","P.Natham",820,820,4015,628,0,820,,7103,,14,85,,,,5,104,,,,,,,,0
1364,"10-C-81-67","Ctr-pa-Kaigaleru","Devadoddi",1138,1138,2744,49,0,1138,,6207,,27,85,,,,8,120,,,,,,,,0
1365,"10-C-81-67","Ctr-pa-Kaigaleru","Krishnampalli",1466,1466,4947,485,0,1466,,9830,,13,180,,,,13,206,,,,,,,,0
1366,"10-C-81-67","Ctr-pa-Kaigaleru","Javunipalli",1228,1228,4738,0,0,1228,,8422,,45,101,,,,10,156,,,,,,,,0
1367,"10-C-81-67","Ctr-pa-Kaigaleru","Gonumakulapalli",1313,1313,3673,566,0,1313,,8178,,21,99,,,,8,128,,,,,,,,0
1368,"10-C-81-67","Ctr-pa-Kaigaleru","Thotakanuma",1234,1234,3596,301,0,1234,,7599,,11,96,,,,2,109,,,,,,,,0
1369,"10-C-81-68","Ctr-pa-Duggamma eru","V.Kota",748,748,12803,0,0,748,,15047,,25,116,,,,5,146,,,,,,,,0
1370,"10-C-81-68","Ctr-pa-Duggamma eru","Kumbarlapalli",786,786,2774,0,0,786,,5132,,7,140,,,,9,156,,,,,,,,0
1371,"10-C-81-68","Ctr-pa-Duggamma eru","Nernipalli",620,620,2708,0,0,620,,4568,,24,72,,,,2,98,,,,,,,,0
1372,"10-C-81-68","Ctr-pa-Duggamma eru","TPGPalli",57,57,194,0,0,57,,365,,0,2,,,,0,2,,,,,,,,0
1373,"10-C-81-68","Ctr-pa-Duggamma eru","Paipalli",141,141,287,0,0,141,,710,,6,28,,,,2,36,,,,,,,,0
1374,"10-C-81-68","Ctr-pa-Duggamma eru","Bodiguttapalli",473,473,2500,0,0,473,,3919,,15,106,,,,4,125,,,,,,,,0
1375,"10-C-81-68","Ctr-pa-Duggamma eru","Peddanapalli",45,45,0,0,0,45,,135,,0,3,,,,0,3,,,,,,,,0
1376,"10-C-81-68","Ctr-pa-Duggamma eru","Papepalli",111,111,498,0,0,111,,831,,3,39,,,,0,42,,,,,,,,0
1377,"10-C-81-68","Ctr-pa-Duggamma eru","Hanumapalli",64,64,1949,0,0,64,,2141,,3,6,,,,0,9,,,,,,,,0
1378,"10-C-81-68","Ctr-pa-Duggamma eru","Patrapalli",366,366,7762,0,0,366,,8860,,10,65,,,,4,79,,,,,,,,0
1379,"10-C-81-68","Ctr-pa-Duggamma eru","gudipalli",160,160,376,0,0,160,,856,,4,34,,,,0,38,,,,,,,,0
1380,"10-C-81-68","Ctr-pa-Duggamma eru","Bairupalli",826,826,2204,0,0,826,,4682,,10,120,,,,4,134,,,,,,,,0
1381,"10-C-81-68","Ctr-pa-Duggamma eru","Pbarnepalli",623,623,2387,0,0,623,,4256,,9,92,,,,11,112,,,,,,,,0
1382,"10-C-81-68","Ctr-pa-Duggamma eru","Pamuganipalli",903,903,2552,0,0,903,,5261,,1,162,,,,9,172,,,,,,,,0
