,,,,Irrigated with Groundwater,,,,,,,,,,,,Irrigated with Mi tanks,,,,,,,,,,,,Irrigated with surface water,,,,,,,,,,,
S.No,Watershed code,Watershed Name, Village Name,command area (ha),,,,"Non command area  (ha)
",,,,Poor GW Quality area,,,,command area,,,,"Non command area
 ",,,,Poor GW quality area,,,,command area,,,,"Non command area
 ",,,,Poor GW quality area,,,
,,,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,
,,,,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi
88,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Dongalamadugu,0,0,0,0,8,14,89,35,,,,,0,0,0,0,0,23,0,82,,,,,,,,,,,,,,,,
89,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Sivanadhapalem,5,7,132,72,0,0,0,0,,,,,0,42,0,38,0,0,0,0,,,,,0,0,0,0,,,,,,,,
90,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Forest,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,
91,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Forest,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,
92,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Timmabhupalapuram,0,0,0,0,9,10,438,460,,,,,0,0,0,0,0,26,20,110,,,,,,0,,,,,,,,,,
93,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Kothapalem,17,56,672,468,0,0,0,0,,,,,10,138,23,261,0,0,0,0,,,,,,0,,,,,,,,,,
94,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Tangellapuram,2,0,676,618,0,0,0,0,,,,,0,22,47,98,0,0,0,0,,,,,,0,,,,,,,,,,
95,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Vallur,0,0,0,0,2,8,226,204,,,,,0,0,0,0,0,14,0,178,,,,,,0,,,,,,,,,,
96,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Vagathur,0,0,0,0,2,4,527,298,,,,,0,0,0,0,0,24,0,401,,,,,,0,,,,,,,,,,
97,10-C-76-45,Ctr_Kalangi_Nirpakota,Nirpakota,22,14,381,203,0,0,0,0,,,,,15,88,0,97,0,0,0,0,,,,,,,,,,,,,,,,
98,10-C-76-45,Ctr_Kalangi_Nirpakota,Gajulapalluru,3,11,121,101,0,0,0,0,,,,,0,56,0,97,0,0,0,0,,,,,,,,,,,,,,,,
99,10-C-76-45,Ctr_Kalangi_Nirpakota,Kanchanaputturu,5,15,214,155,0,0,0,0,,,,,0,95,6,101,0,0,0,0,,,,,,,,,,,,,,,,
100,10-C-76-45,Ctr_Kalangi_Nirpakota,Padamara vanathuru,4,35,212,193,0,0,0,0,,,,,0,9,0,183,0,0,0,0,,,,,,,,,,,,,,,,
101,10-C-76-45,Ctr_Kalangi_Nirpakota,Kukkambakam,8,17,189,130,0,0,0,0,,,,,0,73,0,78,0,0,0,0,,,,,,,,,,,,,,,,
102,10-C-76-45,Ctr_Kalangi_Nirpakota,Talarivettu,2,23,245,223,0,0,0,0,,,,,0,30,0,193,0,0,0,0,,,,,,,,,,,,,,,,
103,10-C-76-45,Ctr_Kalangi_Nirpakota,K.V.Puram,0,5,122,69,0,0,0,0,,,,,0,12,0,187,0,0,0,0,,,,,,,,,,,,,,,,
104,10-C-76-45,Ctr_Kalangi_Nirpakota,Kallivettu,9,11,286,209,0,0,0,0,,,,,7,103,0,102,0,0,0,0,,,,,,,,,,,,,,,,
105,10-C-76-45,Ctr_Kalangi_Nirpakota,Chellemambapuram,0,0,0,0,0,0,301,166,,,,,0,0,0,0,0,1,3,87,,,,,,,,,,,,,,,,
106,10-C-76-45,Ctr_Kalangi_Nirpakota,Nelavoy,4,4,241,200,0,0,0,0,,,,,2,63,0,109,0,0,0,0,,,,,,,,,,,,,,,,
107,10-C-76-45,Ctr_Kalangi_Nirpakota,V.palem,3,3,285,209,0,0,0,0,,,,,0,43,14,184,0,0,0,0,,,,,,,,,,,,,,,,
108,10-C-76-45,Ctr_Kalangi_Nirpakota,Kambakam,10,5,297,322,0,0,0,0,,,,,5,110,22,265,0,0,0,0,,,,,,,,,,,,,,,,
