GW Watershed Name,Iwm basin names,GW Village Name,iwm village names
PKM_C_Romperu_Parchuru,PKM_C-56-PARCHURU-MB,Darsi,Darsiagraharam
PKM_C_MN_C.S.Puram,PKM_C-61-C.S.PURAM-MB,Darsiguntapeta,Darsigunta Peta-1
PKM_C_MN_C.S.Puram,PKM_C-61-C.S.PURAM-MB,Darsithimmakkapalli,Darsi Thimmakka Palle
PKM-D-KRISHNA-PEDDARUTLA,PKM_D-44-PEDDARUTLA-MB,Darubailu,Dara Bayalu
PKM_C_PL_H.M.Padu,PKM_C-60-H.M.PADU-MB,Dasallapalli,Dasalla Palle-1
PKM-C-MUSI-K.K.MITLA,PKM_C-59-KKMITLA-MB,Dasallapalli,Dasalla Palle
PKM-C-PL-JARUGUMALLI,PKM_C-60-JARUGUMILLI-MB,Davagudur,Davagudur
PKM_C_GKM_Kurichedu,PKM_C-57-KURICHEDU-MB,Dekanakonda,Dekanakonda
PKM_C_GKM_Darsi,PKM_C-57-DARSI-MB,Denuvukonda,Dhenuva Konda
PKM-C-GKM-KONAPALLI,PKM_C-57-KONAPALLI-MB,Devakamarri(RF),Devaki Marri
PKM-C-GKM-PEDDARAVEEDU,PKM_C-57-PEDDARAVEEDU-MB,Devarajugattu,Devarajugattu
PKM-C-G&M-CHEEMAKUTHY,PKM_C-58-CHIMAKURTHY-MB,Devarampadu,Devaram Padu
PKM-C-G&M-CHEEMAKUTHY,PKM_C-58-CHIMAKURTHY-MB,Devarampadu,Devaram Padu
PKM-C-MUSI-CHILAKAPADU,PKM_C-59-CHILAKAPADU-MB,Devarapalem,Devarapalem
PKM-C-MUSI-CHILAKAPADU,PKM_C-59-CHILAKAPADU-MB,Devarapalem,Devarapalem
PKM_C_Romperu_Parchuru,PKM_C-56-PARCHURU-MB,Devarapalli,Devara Palle
PKM_C_GKM_Mundlamuru,PKM_C-57-MUNDLAMURU-MB,Devavaram,Devavaram
PKM_C_GKM_B.PETA,PKM_C-57-B.PETA-MB,D-gurvayapalli,Dadanaguruvai Palle
PKM-C-MN-GUDLURU,PKM_C-61-GUDLUR-MB,Dharakanipadu,Darakanipadu
PKM_C_GKM_Addanki,PKM_C-57-ADDANKI-MB,Dharmavaram,Dharmavaram-8
PKM_C_Musi_Kondepi,PKM_C-59-KONDEPI-MB,Dharmavaram,Dharamavaram
PKM-C-PL-KANIGIRI,PKM_C-60-KANIGIRI-MB,Dirisavancha,Dirisavancha
PKM_C_GKM_B.PETA,PKM_C-57-B.PETA-MB,D-krishnapuram,Dathara Krishnapuram
PKM-C-G&M-CHEEMAKUTHY,PKM_C-58-CHIMAKURTHY-MB,Doddavaram ,Doddavaram
PKM-C-G&M-CHEEMAKUTHY,PKM_C-58-CHIMAKURTHY-MB,Doddavaram ,Doddavaram
PKM-C-G&M-CHEEMAKUTHY,PKM_C-58-CHIMAKURTHY-MB,Doddavarappadu,Doddavarappadu
