"sr.no",,,"village name","No. M.I.Tanks command area",,"Number of M.I.Tanks [Non command area]",,"Number of M.I.Tanks PQ Area
[Poor GW Quality area]",
,"Watershed code ","GW watershed name",,"Number","spread ha","Number","spread ha","Number","spread ha"
167,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Enikapadu",,0,41,,,
168,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","B.Machavaram(Madduluru)",,1,18,,,
169,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Mattipadu(Vemulapadu)",,,,,,
170,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Chilakapadu",,0,10,,,
171,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","P.Takkellapadu",,0,45,,,
172,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Konaganivaripalem",,11,65,,,
173,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","S.N.Puram",,0,7,,,
174,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Boddikurapadu",,0,167,,,
175,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Surayapalem",,,25,,,
176,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Karumanchi",,0,0,,,
177,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Nidamaluru",,,,,,
178,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Ponduru",0,,69,,,
179,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Turpu Naidupalem",,,0,,,
180,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","G.kattubadi",,,0,,,
181,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Mallavarappadu",,,25,,,
182,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Kanduluru",,,95,,,
183,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Marlapadu",,,57,,,
184,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Konijedu",,5,45,,,
185,"08-C-56-22","PKM-c-Romperu-Karamchedu","Kunkalamarru",,,0,0,1,3.4
186,"08-C-56-22","PKM-c-Romperu-Karamchedu","Karamchedu",,,0,0,2,3
187,"08-C-56-22","PKM-c-Romperu-Karamchedu","Audipudi",,,0,0,1,4
188,"08-C-56-22","PKM-c-Romperu-Karamchedu","Daggupadu",,,0,0,5,20
189,"08-C-56-22","PKM-c-Romperu-Karamchedu","Kesavarappadu",,,0,0,1,4
190,"08-C-56-22","PKM-c-Romperu-Karamchedu","Swarna",,,0,0,2,10
191,"08-C-56-22","PKM-c-Romperu-Karamchedu","Kodavalivaripalem",,,0,0,1,2
192,"08_C_57_3","PKM_C_GKM_Tripuranthakam","Duvvali",,,0,0,0,0
193,"08_C_57_3","PKM_C_GKM_Tripuranthakam","Madhavanipalle",,,0,0,0,0
194,"08_C_57_3","PKM_C_GKM_Tripuranthakam","Ramasamudram",,,0,0,0,0
195,"08_C_57_3","PKM_C_GKM_Tripuranthakam","Mittapalem",,,1,6,0,0
196,"08_C_57_3","PKM_C_GKM_Tripuranthakam","Kankanalapalli",1,10,,,0,0
197,"08_C_57_3","PKM_C_GKM_Tripuranthakam","Tripurantakam ",1,60,,,0,0
