,,,,Command Area,,Non command Area,,Poor quality area,,
,,,,Residential,,Residential,,Residential,,
Sr.no,Watershed code,GW watershed name,village name,DWDW/HP,DW PWS,DWDW/HP,DW PWS,DWDW/HP,DW PWS,Total
177,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Nidamaluru,,,,,,,0
178,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Ponduru,,,,,,,0
179,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Turpu Naidupalem,,,,,,,0
180,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,G.kattubadi,,,,,,,0
181,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Mallavarappadu,,,,,,,0
182,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Kanduluru,,,,,,,0
183,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Marlapadu,,,,,,,0
184,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Konijedu,,,,,,,0
185,08-C-56-22,PKM-c-Romperu-Karamchedu,Kunkalamarru,0,0,0,0,0,0,0
186,08-C-56-22,PKM-c-Romperu-Karamchedu,Karamchedu,0,0,0,0,2,0,2
187,08-C-56-22,PKM-c-Romperu-Karamchedu,Audipudi,0,0,0,0,5,0,5
188,08-C-56-22,PKM-c-Romperu-Karamchedu,Daggupadu,0,0,0,0,2,0,2
189,08-C-56-22,PKM-c-Romperu-Karamchedu,Kesavarappadu,0,0,0,0,3,0,3
190,08-C-56-22,PKM-c-Romperu-Karamchedu,Swarna,0,0,0,0,6,0,6
191,08-C-56-22,PKM-c-Romperu-Karamchedu,Kodavalivaripalem,0,0,0,0,5,0,5
192,08_C_57_3,PKM_C_GKM_Tripuranthakam,Duvvali,0,0,12,3,0,0,15
193,08_C_57_3,PKM_C_GKM_Tripuranthakam,Madhavanipalle,0,0,0,0,0,0,0
194,08_C_57_3,PKM_C_GKM_Tripuranthakam,Ramasamudram,0,0,22,3,0,0,25
195,08_C_57_3,PKM_C_GKM_Tripuranthakam,Mittapalem,0,0,21,3,0,0,24
196,08_C_57_3,PKM_C_GKM_Tripuranthakam,Kankanalapalli,22,3,,,0,0,25
197,08_C_57_3,PKM_C_GKM_Tripuranthakam,Tripurantakam ,46,3,,,0,0,49
198,08_C_57_3,PKM_C_GKM_Tripuranthakam,Rajupalem,22,3,,,0,0,25
199,08_C_57_3,PKM_C_GKM_Tripuranthakam,Lellapalli,,,15,1,0,0,16
200,08_C_57_3,PKM_C_GKM_Tripuranthakam,Viswanathapuram,29,,,,0,0,29
201,08_C_57_3,PKM_C_GKM_Tripuranthakam,S.Narasingapuram,9,1,,,0,0,10
202,08_C_57_3,PKM_C_GKM_Tripuranthakam,Miriyampalli,18,1,,,0,0,19
203,08_C_57_3,PKM_C_GKM_Tripuranthakam,RF,,,,,0,0,0
204,08_C_57_4,PKM_C_GKM_Tripuranthakam,Gollapalli,18,0,,,,,18
205,08_C_57_5,PKM_C_GKM_Tripuranthakam,Dupadu,68,4,,,,,72
206,08-C-57-02,PKM-C-GKM-PULLALACHERUVU,Garapenta(RF),0.001,0.001,7,0,0,0,7.002
207,08-C-57-02,PKM-C-GKM-PULLALACHERUVU,Uppaladinne(RF),0.001,0.001,0,0,0,0,0.002
208,08-C-57-02,PKM-C-GKM-PULLALACHERUVU,Chowtapalli,0.001,0.001,0,0,0,0,0.002
209,08-C-57-02,PKM-C-GKM-PULLALACHERUVU,Pullalacheruvu,0.001,0.001,48,2,0,0,50.002
210,08-C-57-02,PKM-C-GKM-PULLALACHERUVU,Manepalli,27,0,0.001,0.001,0,0,27.002
211,08-C-57-02,PKM-C-GKM-PULLALACHERUVU,Ayyagaripalli,12,0,0.001,0.001,0,0,12.002
212,08-C-57-02,PKM-C-GKM-PULLALACHERUVU,Chotapacherla,10,1,0.001,0.001,0,0,11.002
213,08-C-57-02,PKM-C-GKM-PULLALACHERUVU,I.T.Varam,34,1,0.001,0.001,0,0,35.002
214,08-C-57-02,PKM-C-GKM-PULLALACHERUVU,Ganapavaram,48,2,0.001,0.001,0,0,50.002
215,08-C-57-02,PKM-C-GKM-PULLALACHERUVU,Medapi,46,2,0.001,0.001,0,0,48.002
216,08-C-57-02,PKM-C-GKM-PULLALACHERUVU,Annasamudram,31,0,0.001,0.001,0,0,31.002
217,08-C-57-02,PKM-C-GKM-PULLALACHERUVU,R.F,,,,,0,0,0
218,08-C-57-03,PKM-C-GKM-PULLALACHERUVU,R.F,,,,,0,0,0
219,08_C_58_24,PKM_C_Romperu_Vetapalem ,Vetapalem ,406,2,,,,,408
220,08_C_58_24,PKM_C_Romperu_Vetapalem ,Pandillapalli,181,2,,,,,183
221,08_C_58_24,PKM_C_Romperu_Vetapalem ,Pullaripalem,134,2,,,,,136
222,08_C_58_24,PKM_C_Romperu_Vetapalem ,Nayunipalli,352,3,,,,,355
223,08_C_58_24,PKM_C_Romperu_Vetapalem ,Kothapeta,538,6,,,,,544
224,08_C_57_04,PKM_C_GKM_Kurichedu,P.Veerayapalem,20,0,0,0,0,0,20
225,08_C_57_04,PKM_C_GKM_Kurichedu,Bayyavaram,15,0,0,0,0,0,15
226,08_C_57_04,PKM_C_GKM_Kurichedu,Kurichedu,40,0,0,0,0,0,40
227,08_C_57_04,PKM_C_GKM_Kurichedu,Namassivayapuram,0,0,20,0,0,0,20
228,08_C_57_04,PKM_C_GKM_Kurichedu,Mallayapalem,0,0,0,0,0,0,0
229,08_C_57_04,PKM_C_GKM_Kurichedu,Peerambotlapalem,0,0,25,0,0,0,25
230,08_C_57_04,PKM_C_GKM_Kurichedu,Peddavaram,0,0,22,0,0,0,22
231,08_C_57_04,PKM_C_GKM_Kurichedu,Dekanakonda,0,0,55,0,0,0,55
232,08_C_56_25,PKM_C_ROMPERU_INKOLLU,Santaravuru ,27,0,0,0,0,0,27
233,08_C_56_25,PKM_C_ROMPERU_INKOLLU,Nagandla,44,0,0,0,0,0,44
234,08_C_56_25,PKM_C_ROMPERU_INKOLLU,Idupulapadu,7,0,0,0,7,0,14
235,08_C_56_25,PKM_C_ROMPERU_INKOLLU,Pusapadu,14,0,0,0,13,0,27
236,08_C_56_25,PKM_C_ROMPERU_INKOLLU,Pavuluru  ,10,2,0,0,0,0,12
237,08_C_56_25,PKM_C_ROMPERU_INKOLLU,Inkollu    ,23,2,0,0,0,0,25
238,08_C_56_25,PKM_C_ROMPERU_INKOLLU,Bheemavaram,20,5,0,0,0,0,25
239,08_C_56_25,PKM_C_ROMPERU_INKOLLU,Dronadula,14,2,0,0,0,0,16
240,08_C_56_25,PKM_C_ROMPERU_INKOLLU,KOLALAPUDI,3,3,0,0,0,0,6
241,08_C_56_25,PKM_C_ROMPERU_INKOLLU,Timmasamudram,3,1,0,0,0,0,4
242,08_C_56_25,PKM_C_ROMPERU_INKOLLU,Nuthalapadu,0,0,0,0,12,0,12
243,08_C_56_25,PKM_C_ROMPERU_INKOLLU,Punuru,6,1,0,0,28,0,35
244,08_C_57_13,PKM_C_GKM_Darsi,Denuvukonda,16,1,0,0,0,0,17
245,08_C_57_13,PKM_C_GKM_Darsi,Darsi,55,1,0,0,0,0,56
246,08_C_57_13,PKM_C_GKM_Darsi,E.Veerayapalem,13,0,0,0,0,0,13
247,08_C_57_13,PKM_C_GKM_Darsi,T.choutapalem,0,0,0,0,0,0,0
248,08_C_57_13,PKM_C_GKM_Darsi,Akkamambapuram,0,0,0,0,0,0,0
249,08_C_57_13,PKM_C_GKM_Darsi,Cheruvukommupalem,4,0,0,0,0,0,4
250,08_C_57_13,PKM_C_GKM_Darsi,Mohiddinpuram,8,0,0,0,0,0,8
251,08_C_57_13,PKM_C_GKM_Darsi,POTHAKAMURU,24,0,0,0,0,0,24
252,08_C_57_13,PKM_C_GKM_Darsi,Samanthapudi,8,0,0,0,0,0,8
253,08_C_57_13,PKM_C_GKM_Darsi,Seetasagar,0,0,0,0,0,0,0
254,08_C_57_13,PKM_C_GKM_Darsi,Brundavanam,6,0,0,0,0,0,6
255,08_C_57_13,PKM_C_GKM_Darsi,Pulipadu,15,0,0,0,0,0,15
256,08_C_57_13,PKM_C_GKM_Darsi,Singanapalem,9,0,0,0,0,0,9
257,08_C_57_13,PKM_C_GKM_Darsi,Bellamkondavaripalem,7,1,0,0,0,0,8
258,08_C_57_13,PKM_C_GKM_Darsi,Dosakayalapadu,0,0,0,0,0,0,0
259,08_C_57_13,PKM_C_GKM_Darsi,Lakkavaram,0,0,0,0,0,0,0
260,08_C_57_13,PKM_C_GKM_Darsi,Madhava varam,55,2,0,0,0,0,57
261,08_C_57_13,PKM_C_GKM_Darsi,Mannepalli,9,0,0,0,0,0,9
262,08_C_57_13,PKM_C_GKM_Darsi,Nagambotlapalem,19,1,0,0,0,0,20
263,08_C_57_13,PKM_C_GKM_Darsi,Ramabhadrapuram,13,0,0,0,0,0,13
264,08_C_57_13,PKM_C_GKM_Darsi,Sarvamitta,6,0,0,0,0,0,6
265,08_C_57_13,PKM_C_GKM_Darsi,Siva ramapuram,4,0,0,0,0,0,4
266,08_C_57_13,PKM_C_GKM_Darsi,Somavarappadu,39,1,0,0,0,0,40
267,08_C_57_13,PKM_C_GKM_Darsi,TALLURU,12,0,0,0,0,0,12
268,08_C_57_13,PKM_C_GKM_Darsi,Vittalapuram,51,0,0,0,0,0,51
269,08_C_55_18,PKM_C_Ogeru_S.Maguluru,Kopparapalem,25,,,,,,25
270,08_C_55_18,PKM_C_Ogeru_S.Maguluru,Vellalacheruvu,35,1,,,,,36
271,08_C_55_18,PKM_C_Ogeru_S.Maguluru,Gopapuram Agraharam,,,,,,,0
