"S.No","Watershed code","Watershed Name"," Village Name","Artificial recharge structure [comand area]",,,,,,,,,,"Artificial recharge structure [Non-comand area]",,,,,,,,,,"Artificial recharge structure [Poor-comand area]",,,,,,,,,
,,,,"Number PTs","Storage 
ha-m","Number mini PTs","Storage 
ha-m","Number CDs","Storage 
ha-m","Number dop/ farm ponds","Storage 
ha-m","other structures","Storage [ha.m]","Number PTs","Storage 
ha-m","Number mini PTs","Storage 
ha-m","Number CDs","Storage 
ha-m","Number dop/ farm ponds","Storage 
ha-m","other structures","Storage [ha.m]","Number PTs","Storage 
ha-m","Number mini PTs","Storage 
ha-m","Number CDs","Storage 
ha-m","Number dop/ form ponds","Storage 
ha-m","other structures","Storage [ha.m]"
102,"08_C_56_17","PKM_C_Romperu_Ballikurava","Ballikurava ",3,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,"08_C_56_17","PKM_C_Romperu_Ballikurava","Chennupalli",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,"08_C_56_17","PKM_C_Romperu_Ballikurava","Muktheswaram",1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,"08_C_56_17","PKM_C_Romperu_Ballikurava","Guntupalli",1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,"08_C_56_17","PKM_C_Romperu_Ballikurava","Vallapalli",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Garlapadu",2,0.4,2,0.2,12,0.12,12,0.6,10,0.1,,,,,,,,,,,,,,,,,,,,
108,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Gadiyapudi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Mallavaram",1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Venkateswarapuram",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Doddavaram ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
