,,,,CA,NCA,PQA,,,,,
,,,,Industrial,Industrial,Industrial,,,,,
Sr.no,Watershed code,GW watershed name,village name,Industrial Wells,Industrial Wells,Industrial Wells,Total ,,,,
192,08_C_57_3,PKM_C_GKM_Tripuranthakam,Duvvali,0,0,0,0,,,,
193,08_C_57_3,PKM_C_GKM_Tripuranthakam,Madhavanipalle,0,0,0,0,,,,
194,08_C_57_3,PKM_C_GKM_Tripuranthakam,Ramasamudram,0,0,0,0,,,,
195,08_C_57_3,PKM_C_GKM_Tripuranthakam,Mittapalem,0,0,0,0,,,,
196,08_C_57_3,PKM_C_GKM_Tripuranthakam,Kankanalapalli,0,0,0,0,,,,
197,08_C_57_3,PKM_C_GKM_Tripuranthakam,Tripurantakam ,0,0,0,0,,,,
198,08_C_57_3,PKM_C_GKM_Tripuranthakam,Rajupalem,0,0,0,0,,,,
199,08_C_57_3,PKM_C_GKM_Tripuranthakam,Lellapalli,0,0,0,0,,,,
200,08_C_57_3,PKM_C_GKM_Tripuranthakam,Viswanathapuram,0,0,0,0,,,,
201,08_C_57_3,PKM_C_GKM_Tripuranthakam,S.Narasingapuram,0,0,0,0,,,,
202,08_C_57_3,PKM_C_GKM_Tripuranthakam,Miriyampalli,0,0,0,0,,,,
203,08_C_57_3,PKM_C_GKM_Tripuranthakam,RF,0,0,0,0,,,,
204,08_C_57_4,PKM_C_GKM_Tripuranthakam,Gollapalli,,,,0,,,,
205,08_C_57_5,PKM_C_GKM_Tripuranthakam,Dupadu,,,,0,,,,
206,08-C-57-02,PKM-C-GKM-PULLALACHERUVU,Garapenta(RF),0.001,0.001,0,0.002,,,,
207,08-C-57-02,PKM-C-GKM-PULLALACHERUVU,Uppaladinne(RF),0.001,0.001,0,0.002,,,,
208,08-C-57-02,PKM-C-GKM-PULLALACHERUVU,Chowtapalli,0.001,0.001,0,0.002,,,,
209,08-C-57-02,PKM-C-GKM-PULLALACHERUVU,Pullalacheruvu,0.001,0.001,0,0.002,,,,
210,08-C-57-02,PKM-C-GKM-PULLALACHERUVU,Manepalli,0.001,0.001,0,0.002,,,,
211,08-C-57-02,PKM-C-GKM-PULLALACHERUVU,Ayyagaripalli,0.001,0.001,0,0.002,,,,
212,08-C-57-02,PKM-C-GKM-PULLALACHERUVU,Chotapacherla,0.001,0.001,0,0.002,,,,
213,08-C-57-02,PKM-C-GKM-PULLALACHERUVU,I.T.Varam,0.001,0.001,0,0.002,,,,
214,08-C-57-02,PKM-C-GKM-PULLALACHERUVU,Ganapavaram,0.001,0.001,0,0.002,,,,
215,08-C-57-02,PKM-C-GKM-PULLALACHERUVU,Medapi,0.001,0.001,0,0.002,,,,
