Sr.No,watershed code,gw watershed name,Village code,village name,Population [command area],Population [non command area],total Population,LPCD,,,
236,08_C_56_25,PKM_C_ROMPERU_INKOLLU,4,Pavuluru  ,5652,,5652,310860,,,
237,08_C_56_25,PKM_C_ROMPERU_INKOLLU,5,Inkollu    ,17581,,17581,966955,,,
238,08_C_56_25,PKM_C_ROMPERU_INKOLLU,8,Bheemavaram,1960,,1960,107800,,,
239,08_C_56_25,PKM_C_ROMPERU_INKOLLU,11,Dronadula,6921,,6921,380655,,,
240,08_C_56_25,PKM_C_ROMPERU_INKOLLU,12,KOLALAPUDI,4061,,4061,223355,,,
241,08_C_56_25,PKM_C_ROMPERU_INKOLLU,17,Timmasamudram,5993,,5993,329615,,,
242,08_C_56_25,PKM_C_ROMPERU_INKOLLU,12,Nuthalapadu,5822,,5822,320210,,,
243,08_C_56_25,PKM_C_ROMPERU_INKOLLU,8,Punuru,6047,,6047,332585,,,
244,08_C_57_13,PKM_C_GKM_Darsi,11,Darsi,33418,0,33418,1837990,,,
245,08_C_57_13,PKM_C_GKM_Darsi,22,T.choutapalem,3235,0,3235,177925,,,
246,08_C_57_13,PKM_C_GKM_Darsi,23,E.Veerayapalem,3049,0,3049,167695,,,
247,08_C_57_13,PKM_C_GKM_Darsi,24,Mohiddinpuram,0,0,0,0,,,
248,08_C_57_13,PKM_C_GKM_Darsi,25,Cheruvukommupalem,1188,0,1188,65340,,,
249,08_C_57_13,PKM_C_GKM_Darsi,26,Seetasagar,0,0,0,0,,,
250,08_C_57_13,PKM_C_GKM_Darsi,27,POTHAKAMURU,5724,0,5724,314820,,,
251,08_C_57_13,PKM_C_GKM_Darsi,28,Samanthapudi,3136,0,3136,172480,,,
252,08_C_57_13,PKM_C_GKM_Darsi,29,Akkamambapuram,0,0,0,0,,,
253,08_C_57_13,PKM_C_GKM_Darsi,19,Brundavanam,1241,0,1241,68255,,,
254,08_C_57_13,PKM_C_GKM_Darsi,20,Pulipadu,1907,0,1907,104885,,,
255,08_C_57_13,PKM_C_GKM_Darsi,29,Singanapalem,1861,0,1861,102355,,,
256,08_C_57_13,PKM_C_GKM_Darsi,1,Dosakayalapadu,1402,0,1402,77110,,,
257,08_C_57_13,PKM_C_GKM_Darsi,2,Mannepalli,5792,0,5792,318560,,,
