,,,Command area,,,,,,,,,,,,Non-Command area,,,,,,,,,,,,Poor quality,,,,,,,,,,,
Sr.No,Watershed name,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,,,,3.401360544,Industrial,,,
,,Type of well,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,,,,,yield,No.of ,Days of operation of wells          ,
,,,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,,,,,lph,wells,Monsoon,Non - Monsoon
65,PKM_C_GKM_Tripuranthakam,DW+PS/DCB,4285.714286,,40,90,571.4285714,,120,240,2857.142857,,120,240,4285.714286,,40,90,571.4285714,,120,240,2857.142857,,120,240,4285.714286,,40,90,,,,,2857.142857,,120,240
66,PKM_C_GKM_Tripuranthakam,BWs,7142.857143,,40,90,857.1428571,,120,240,4285.714286,,120,240,7142.857143,,40,90,857.1428571,,120,240,4285.714286,,120,240,7142.857143,,40,90,,,,,4285.714286,,120,240
67,PKM_C_GKM_Tripuranthakam,STW,22000,,40,90,5142.857143,,120,240,7142.857143,,120,240,22000,,40,90,5142.857143,,120,240,7142.857143,,120,240,22000,,40,90,,,,,7142.857143,,120,240
68,PKM_C_GKM_Tripuranthakam,MTW,45000,,40,90,10285.71429,,120,240,7142.857143,,120,240,45000,,40,90,10285.71429,,120,240,7142.857143,,120,240,45000,,40,90,,,,,7142.857143,,120,240
69,PKM_C_GKM_Tripuranthakam,Deep TW,64285.71429,,40,90,10285.71429,,120,240,14285.71429,,120,240,64285.71429,,40,90,10285.71429,,120,240,14285.71429,,120,240,64285.71429,,40,90,,,,,14285.71429,,120,240
70,PKM_C_GKM_Tripuranthakam,Filter Points,7142.857143,,40,90,5142.857143,,120,240,7142.857143,,120,240,7857.142857,,40,90,5142.857143,,120,240,7142.857143,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
71,PKM-C-GKM-PULLALACHERUVU,DW,2142.857143,,40,90,285.7142857,,120,240,1428.571429,,120,240,2142.857143,,40,90,285.7142857,,120,240,1428.571429,,120,240,2142.857143,,40,90,,,,,1428.571429,,120,240
72,PKM-C-GKM-PULLALACHERUVU,DW+PS/DCB,2857.142857,,40,90,285.7142857,,120,240,2857.142857,,120,240,2857.142857,,40,90,285.7142857,,120,240,2857.142857,,120,240,2857.142857,,40,90,,,,,2857.142857,,120,240
73,PKM-C-GKM-PULLALACHERUVU,BWs,6428.571429,,40,90,857.1428571,,120,240,4285.714286,,120,240,6428.571429,,40,90,857.1428571,,120,240,4285.714286,,120,240,6428.571429,,40,90,,,,,4285.714286,,120,240
74,PKM-C-GKM-PULLALACHERUVU,STW,22000,,40,90,5142.857143,,120,240,7142.857143,,120,240,22000,,40,90,5142.857143,,120,240,7142.857143,,120,240,22000,,40,90,,,,,7142.857143,,120,240
75,PKM-C-GKM-PULLALACHERUVU,MTW,45000,,40,90,10285.71429,,120,240,7142.857143,,120,240,45000,,40,90,10285.71429,,120,240,7142.857143,,120,240,45000,,40,90,,,,,7142.857143,,120,240
76,PKM-C-GKM-PULLALACHERUVU,Deep TW,64285.71429,,40,90,10285.71429,,120,240,14285.71429,,120,240,64285.71429,,40,90,10285.71429,,120,240,14285.71429,,120,240,64285.71429,,40,90,,,,,14285.71429,,120,240
77,PKM-C-GKM-PULLALACHERUVU,Filter Points,7142.857143,,40,90,5142.857143,,120,240,7142.857143,,120,240,7857.142857,,40,90,5142.857143,,120,240,7142.857143,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
78,PKM_C_Romperu_Vetapalem ,DW,2857.142857,,40,90,285.7142857,,120,240,1428.571429,,120,240,2857.142857,,40,90,285.7142857,,120,240,1428.571429,,120,240,2857.142857,,40,90,,,,,1428.571429,,120,240
79,PKM_C_Romperu_Vetapalem ,DW+PS/DCB,4285.714286,,40,90,571.4285714,,120,240,2857.142857,,120,240,4285.714286,,40,90,571.4285714,,120,240,2857.142857,,120,240,4285.714286,,40,90,,,,,2857.142857,,120,240
80,PKM_C_Romperu_Vetapalem ,BWs,7142.857143,,40,90,857.1428571,,120,240,4285.714286,,120,240,7142.857143,,40,90,857.1428571,,120,240,4285.714286,,120,240,7142.857143,,40,90,,,,,4285.714286,,120,240
81,PKM_C_Romperu_Vetapalem ,STW,22000,,40,90,5142.857143,,120,240,7142.857143,,120,240,22000,,40,90,5142.857143,,120,240,7142.857143,,120,240,22000,,40,90,,,,,7142.857143,,120,240
82,PKM_C_Romperu_Vetapalem ,MTW,45000,,40,90,10285.71429,,120,240,7142.857143,,120,240,45000,,40,90,10285.71429,,120,240,7142.857143,,120,240,45000,,40,90,,,,,7142.857143,,120,240
83,PKM_C_Romperu_Vetapalem ,Deep TW,64285.71429,,40,90,10285.71429,,120,240,14285.71429,,120,240,64285.71429,,40,90,10285.71429,,120,240,14285.71429,,120,240,64285.71429,,40,90,,,,,14285.71429,,120,240
84,PKM_C_Romperu_Vetapalem ,Filter Points,7142.857143,,40,90,5142.857143,,120,240,7142.857143,,120,240,7857.142857,,40,90,5142.857143,,120,240,7142.857143,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
85,PKM_C_GKM_Kurichedu,DW,2857.142857,,40,90,285.7142857,,120,240,1428.571429,,120,240,2857.142857,,40,90,285.7142857,,120,240,1428.571429,,120,240,2857.142857,,40,90,,,,,1428.571429,,120,240
