Sr.no,,,Village name,T.Area (ha),Watershed command area ,,,,Watershed Non command Area,,,,Watershed poor quality Area,,,
,Water shed code,Watershed name,,,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total
182,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,BURJA,757,0,,,,539.8,217.2,362,757,0,,,
183,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,DAYANIDHIPURAM,509,0,,,,414.2,94.8,158,509,0,,,
184,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,JANTHIRAYAPURAM,139.211984,0,,,,139.211984,0,0,139.211984,0,,,
185,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,SINGAMDORAVALASA,991.885386,0,,,,991.885386,0,0,991.885386,0,,,
186,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,SANTESWARAM,186.15556,0,,,,186.15556,0,0,186.15556,0,,,
187,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,TURUMAMIDI,127.47609,0,,,,127.47609,0,0,127.47609,0,,,
188,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,N.R.C. RAJUPURAM,161,155,6,0,161,0,,,,0,,,
189,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,MAKKUVA,172,161,11,0,172,0,,,,0,,,
190,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,BANTUMAKKUVA,501,357,144,0,501,0,,,,0,,,
191,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,CHEMUDU,26,19,7,0,26,0,,,,0,,,
192,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,GANJAIBHADRA,991,774,217,80,991,0,,,,0,,,
193,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,JILLEDUVALASA,353,279,74,0,353,0,,,,0,,,
194,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,DULIBHADRA,798,763,35,0,798,0,,,,0,,,
