,,,,Command Area,,Non command Area,,Poor quality area,,
,,,,Residential,,Residential,,Residential,,
Sr.no,Watershed code,GW watershed name,village name,DWDW/HP,DW PWS,DWDW/HP,DW PWS,DWDW/HP,DW PWS,Total
128,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GUMPAM,8,0,0,0,,,8
129,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GOVINDAPURAM,7,0,0,0,,,7
130,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,LANKALAPALLIPALEM,6,0,0,0,,,6
131,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,CHOWDUVADA,4,1,0,0,,,5
132,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KONAYYAPALEM,6,0,0,0,,,6
133,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,CHINTAPALLE,6,0,0,0,,,6
134,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KRISHNAPURAM,8,0,0,0,,,8
135,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,BHARANIKAM,8,0,0,0,,,8
136,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ROLUCHAPPIDI,5,1,0,0,,,6
137,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PATHIVADA,8,0,0,0,,,8
138,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,THOTTADAM,6,0,0,0,,,6
139,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,VEMPADAM,10,0,0,0,,,10
140,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PALANKI,8,1,0,0,,,9
141,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KOLLAYAVALASA,4,0,0,0,,,4
142,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,NARAYANAPURAM,21,1,0,0,,,22
143,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,PADAMAYAVALASA,7,1,0,0,,,8
144,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,ARASADA,13,1,0,0,,,14
145,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,VENGAPURAM,11,1,0,0,,,12
146,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,VELAGAVALASA(N)ADDUNAND,9,0,0,0,,,9
147,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,GOPALARAYUDUPETA,23,1,0,0,,,24
148,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,RAJUPETA,6,0,0,0,,,6
149,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,SEETHAYYAPETA,5,0,0,0,,,5
150,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,VENKATARAYUDUPETA,5,0,0,0,,,5
151,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,VENKATABHYRIPURAM,13,0,0,0,,,13
152,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,KOYYANAPETA,12,0,0,0,,,12
153,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,CHANDRAYYAPETA,0,0,0,0,,,0
154,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,KONDAREJERU,10,0,0,0,,,10
155,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,KASIPATNAM,9,0,0,0,,,9
156,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,PAPAYYAVALASA,6,0,0,0,,,6
157,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,MULAKKAYAVALASA,7,0,0,0,,,7
158,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,MUKAVALASA,4,0,0,0,,,4
159,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,PAYAKAPADU,4,0,0,0,,,4
160,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,CHAPPABUTCHAMPETA,8,0,0,0,,,8
161,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,VENKAMPETA,0,0,0,0,,,0
162,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,KANNAMPETA,11,1,0,0,,,12
163,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,THAMARAKHANDI,12,1,0,0,,,13
164,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,BAGGANDHORAVALASA,13,1,0,0,,,14
165,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,BALLAKRISHNAPURAM,9,2,0,0,,,11
166,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,BAKKUPETA,7,1,0,0,,,8
167,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,CHINABHOGILA,9,2,0,0,,,11
168,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,KHASAPETA,12,2,0,0,,,14
169,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,R.VENKAMPETA,10,2,0,0,,,12
170,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,PANUKUPETA,11,2,0,0,,,13
171,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,RANGAMPETA,15,4,0,0,,,19
172,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,PUNUBUTCHAMPETA,4,2,0,0,,,6
173,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,K. SEETHARAMPURAM,13,0,0,0,,,13
174,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,VENNELABUTCHAMPETA,6,3,0,0,,,9
175,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,VENKATAPURAM,5,2,0,0,,,7
176,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,ANTIPETA,8,2,0,0,,,10
177,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,RAMAVARAM,13,2,0,0,,,15
178,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,PANUKUVALASA (NEAR ARAS,0,0,6,1,,,7
179,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,SIVARAMPURAM,0,0,6,1,,,7
180,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,BADEVALASA @ LT.VALASA,0,0,5,0,,,5
181,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,CHELLIMPETA,0,0,4,0,,,4
182,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,NIMMALAPADU,0,0,14,0,,,14
183,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,CHITRAKOTA BODDAVALASA,0,0,15,0,,,15
184,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,CHINANKALAM,0,0,6,0,,,6
185,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,BURJA,0,0,12,2,,,14
186,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,DAYANIDHIPURAM,0,0,8,3,,,11
187,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,JANTHIRAYAPURAM,0,0,6,2,,,8
188,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,SINGAMDORAVALASA,12,2,0,0,,,14
189,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,SANTESWARAM,3,0,0,0,,,3
190,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,TURUMAMIDI,14,1,0,0,,,15
191,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,N.R.C. RAJUPURAM,1,1,0,0,,,2
192,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,MAKKUVA,28,4,0,0,,,32
193,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,BANTUMAKKUVA,6,0,0,0,,,6
194,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,CHEMUDU,19,1,0,0,,,20
195,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,GANJAIBHADRA,0,0,0,3,,,3
