sr.no,,,village name,No. M.I.Tanks command area,,Number of M.I.Tanks [Non command area],,"Number of M.I.Tanks PQ Area
[Poor GW Quality area]",
,Watershed code ,GW watershed name,,Number,spread ha,Number,spread ha,Number,spread ha
201,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,MARIPALLE,0,0,0,0,,
202,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,MOKHASAMAMIDIPALLE,0,0,1,2,,
203,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,PANDIRIMAMIDIVALASA,0,0,0,0,,
204,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,ANNAMARAJUVALASA,0,0,0,0,,
205,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,KUDDADIVALASA,0,0,0,0,,
206,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,LAXMIPURAM,0,0,0,0,,
207,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,CHEMIDIPATIPOLAM,0,0,1,1,,
208,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,EDULADANDIGAM,0,0,2,1,,
209,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,ANTIVALASA,0,0,3,4,,
210,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,DATTIVALASA,0,0,6,28,,
211,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,GURRAPUVALASA,0,0,7,12,,
212,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,MULAKKAYAVALASA,0,0,0,0,,
213,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,KURUKUTTI,0,0,0,0,,
214,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,TUPAKIVALASA,0,0,0,0,,
215,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,GADILAVALASA,0,0,0,0,,
216,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,ALAGARUVU,0,0,0,0,,
217,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,MULAVALASA,0,0,0,0,,
218,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,DUGGERU,0,0,0,0,,
219,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,GUNTABHADRA,0,0,0,0,,
220,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,PANASABHADRA,0,0,0,0,,
221,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,YERRASAMANTHULAVALASA,0,0,0,0,,
222,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,PEDAVOOTAGADDA,0,0,0,0,,
223,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,NANDA,0,0,0,0,,
224,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,SEEBILLIPEDAVALASA,11,14,0,0,,
225,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,KHAVIRIVALASA,0,0,0,0,,
226,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,PEDAGHASILA,12,18,0,0,,
227,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,MARKONDAPUTTI,12,20,0,0,,
228,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,SARAIVALASA,7,10,0,0,,
229,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,NAGULLADABBAGADDA,7,10,0,0,,
230,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,ANASABHADRA,0,0,0,0,,
231,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,VIJAYARAMPURAM,0,0,0,0,,
232,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,LOVARKHANDI,4,8,0,0,,
233,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,GOPALAPURAM,0,0,0,0,,
234,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,DABBAGADDA,12,24,0,0,,
235,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,BANGARUVALASA,2,5,0,0,,
236,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,PEETALAVALASA,5,7,0,0,,
237,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,BATTIVALASA,2,4,0,0,,
238,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,KONDAPALLIVALASA,0,0,0,0,,
239,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,SAMBARA,20,20,0,0,,
240,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,THOTAVALASA,2,4,0,0,,
241,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,SANYASIRAJUPURAM@MARIPI,2,5,0,0,,
242,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,KAVIRIPALLE,13,20,0,0,,
243,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,CHINAMRAJUVALASA,3,8,0,0,,
244,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,KONDABUTCHAMPETA,1,2,0,0,,
245,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,KONA,6,13,0,0,,
246,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,SURAPADU @ KANJUPAKA,0,0,0,0,,
247,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,JAGGUDORAVALASA,0,0,0,0,,
248,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,THONAM,10,22,0,0,,
249,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,BELUGONDA,0,0,0,0,,
250,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,MENDANGI,0,0,0,0,,
251,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,BIRAMASI,0,0,0,0,,
252,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,NANDAKOTTULAGHASILA,0,0,0,0,,
