S.No,Watershed code,Watershed Name, Village Name,Artificial recharge structure [comand area],,,,,,,,,,Artificial recharge structure [Non-comand area],,,,,,,,,,Artificial recharge structure [Poor-comand area],,,,,,,,,
,,,,Number PTs,"Storage 
ha-m",Number mini PTs,"Storage 
ha-m",Number CDs,"Storage 
ha-m",Number dop/ farm ponds,"Storage 
ha-m",other structures,Storage [ha.m],Number PTs,"Storage 
ha-m",Number mini PTs,"Storage 
ha-m",Number CDs,"Storage 
ha-m",Number dop/ farm ponds,"Storage 
ha-m",other structures,Storage [ha.m],Number PTs,"Storage 
ha-m",Number mini PTs,"Storage 
ha-m",Number CDs,"Storage 
ha-m",Number dop/ form ponds,"Storage 
ha-m",other structures,Storage [ha.m]
128,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GUMPAM,10,66,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
129,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GOVINDAPURAM,8,30,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
130,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,LANKALAPALLIPALEM,3,11,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
131,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,CHOWDUVADA,4,8,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
132,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KONAYYAPALEM,1,1,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
133,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,CHINTAPALLE,4,14,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
134,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KRISHNAPURAM,1,3,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
135,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,BHARANIKAM,5,20,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
136,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ROLUCHAPPIDI,2,35,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
137,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PATHIVADA,7,13,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
138,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,THOTTADAM,8,18,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
139,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,VEMPADAM,12,65,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
140,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PALANKI,3,5,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
141,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KOLLAYAVALASA,3,7,0,0,,,,,,,,,,,,,0,0,1,0,,,,,,,,,,
142,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,NARAYANAPURAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,PADAMAYAVALASA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,ARASADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,VENGAPURAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,VELAGAVALASA(N)ADDUNAND,,,,,1,,,,7,,,,,,,,,,,,,,,,,,,,,
147,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,GOPALARAYUDUPETA,4,15,,,4,8,,,2,,,,,,,,,,,,,,,,,,,,,
148,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,RAJUPETA,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
149,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,SEETHAYYAPETA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,VENKATARAYUDUPETA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,VENKATABHYRIPURAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,KOYYANAPETA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,CHANDRAYYAPETA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,KONDAREJERU,5,15,,,3,8,,,,,,,,,,,,,,,,,,,,,,,,
155,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,KASIPATNAM,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,
156,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,PAPAYYAVALASA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,MULAKKAYAVALASA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,MUKAVALASA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,PAYAKAPADU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,CHAPPABUTCHAMPETA,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
161,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,VENKAMPETA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,KANNAMPETA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
