Sr.No,,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,,,,,Industrial,,,,,,,,,,,,,,,,Watershed name
,Watershed name,Type of well,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,,,,,yield,No.of ,Days of operation of wells          ,,,,,,,,,,,,,,GNT_C_54_Amarthaluru
,,,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,,,,,lph,wells,Monsoon,Non - Monsoon,,,,,,,,,,,,,GNT_C_54_Bapatla
50,GNT-C-54-Nagaram,DW,3857.1428571429,27,40,90,857.1428571429,6,120,240,3571.4285714286,25,120,240,3857.1428571429,27,40,90,857.1428571429,6,120,240,3571.4285714286,25,120,240,3857.1428571429,27,40,90,,,,,3571.4285714286,25,120,240,,,,,,,,,,,,,
51,GNT-C-54-Nagaram,DW+PS/DCB,7142.8571428572,50,40,90,4285.7142857143,30,120,240,7142.8571428572,50,120,240,5714.2857142857,40,40,90,4285.7142857143,30,120,240,7142.8571428572,50,120,240,7142.8571428572,50,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
52,GNT-C-54-Nagaram,BWs,10000,70,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,9285.7142857143,65,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,14285.7142857143,100,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
53,GNT-C-54-Nagaram,STW,22000,154,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,22000,154,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,22000,154,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
54,GNT-C-54-Nagaram,MTW,45000,315,40,90,10285.7142857143,72,120,240,7142.8571428572,50,120,240,45000,315,40,90,10285.7142857143,72,120,240,7142.8571428572,50,120,240,45000,315,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
55,GNT-C-54-Nagaram,Deep TW,64285.7142857143,450,40,90,10285.7142857143,72,120,240,14285.7142857143,100,120,240,64285.7142857143,450,40,90,10285.7142857143,72,120,240,14285.7142857143,100,120,240,64285.7142857143,450,40,90,,,,,14285.7142857143,100,120,240,,,,,,,,,,,,,
56,GNT-C-54-Nagaram,Filter Points,8571.4285714286,60,40,90,4285.7142857143,30,120,240,10000,70,120,240,7857.1428571429,55,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,7142.8571428572,50,40,90,,,,,1428.5714285714,10,120,240,,,,,,,,,,,,,
57,GNT-C-54-Nizampatnam,DW,3857.1428571429,27,40,90,857.1428571429,6,120,240,3571.4285714286,25,120,240,3857.1428571429,27,40,90,857.1428571429,6,120,240,3571.4285714286,25,120,240,3857.1428571429,27,40,90,,,,,3571.4285714286,25,120,240,,,,,,,,,,,,,
58,GNT-C-54-Nizampatnam,DW+PS/DCB,7142.8571428572,50,40,90,4285.7142857143,30,120,240,7142.8571428572,50,120,240,5714.2857142857,40,40,90,4285.7142857143,30,120,240,7142.8571428572,50,120,240,7142.8571428572,50,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
59,GNT-C-54-Nizampatnam,BWs,10000,70,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,9285.7142857143,65,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,14285.7142857143,100,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
60,GNT-C-54-Nizampatnam,STW,22000,154,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,22000,154,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,22000,154,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
61,GNT-C-54-Nizampatnam,MTW,45000,315,40,90,10285.7142857143,72,120,240,7142.8571428572,50,120,240,45000,315,40,90,10285.7142857143,72,120,240,7142.8571428572,50,120,240,45000,315,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
