,,,,"CA","NCA","PQA",
,,,,"Industrial","Industrial","Industrial",
"Sr.no","Watershed code","GW watershed name","village name","Industrial Wells","Industrial Wells","Industrial Wells","Total "
262,"07-C-55-41","GNT-C-55-Nakka-Muppalla","Gorijavoluguntapalem",0,0,0,0
263,"07-C-55-41","GNT-C-55-Nakka-Muppalla","Ravipadu",0,0,0,0
264,"07-C-55-41","GNT-C-55-Nakka-Muppalla","Pusulur",0,0,0,0
265,"07-C-55-41","GNT-C-55-Nakka-Muppalla","Katrapadu",0,0,0,0
266,"07-C-55-41","GNT-C-55-Nakka-Muppalla","Varagani",0,0,0,0
267,"07-C-55-41","GNT-C-55-Nakka-Muppalla","Rajupalem",0,0,0,0
268,"07-C-55-41","GNT-C-55-Nakka-Muppalla","Garikapadu",0,0,0,0
269,"07-C-55-41","GNT-C-55-Nakka-Muppalla","Bhallukanudupalem",0,0,0,0
270,"07-C-55-41","GNT-C-55-Nakka-Muppalla","Kakumanu",0,0,0,0
271,"07-C-55-41","GNT-C-55-Nakka-Muppalla","Kommur",0,0,0,0
272,"07-C-55-41","GNT-C-55-Nakka-Muppalla","Kondapaturu",0,0,0,0
273,"07-C-55-41","GNT-C-55-Nakka-Muppalla","Appapuram",0,0,0,0
274,"07-C-55-41","GNT-C-55-Nakka-Muppalla","Retur",0,0,0,0
275,"07-C-55-41","GNT-C-55-Nakka-Muppalla","Bodipalem",0,0,0,0
276,"07-C-55-41","GNT-C-55-Nakka-Muppalla","Jillellamudi",0,0,0,0
277,"07-C-55-39","GNT-C-55-Nalanda-Narasaraopet","Rupenaguntla",0,0,0,0
278,"07-C-55-39","GNT-C-55-Nalanda-Narasaraopet","Muppalla",0,0,0,0
279,"07-C-55-39","GNT-C-55-Nalanda-Narasaraopet","Gollapadu",0,0,0,0
280,"07-C-55-39","GNT-C-55-Nalanda-Narasaraopet","Kanuparru",0,0,0,0
281,"07-C-55-39","GNT-C-55-Nalanda-Narasaraopet","Irlapadu",0,0,0,0
282,"07-C-55-39","GNT-C-55-Nalanda-Narasaraopet","N.Agraharam",0,0,0,0
283,"07-C-55-39","GNT-C-55-Nalanda-Narasaraopet","Ganapavaram",0,0,0,0
284,"07-C-55-39","GNT-C-55-Nalanda-Narasaraopet","Pamidipadu Agraharam",0,0,0,0
285,"07-C-55-39","GNT-C-55-Nalanda-Narasaraopet","Mulakaluru",0,0,0,0
286,"07-C-55-39","GNT-C-55-Nalanda-Narasaraopet","Guntagarlapadu",0,0,0,0
287,"07-C-55-39","GNT-C-55-Nalanda-Narasaraopet","Ravipadu",0,0,0,0
288,"07-C-55-39","GNT-C-55-Nalanda-Narasaraopet","Ikkurru",0,0,0,0
289,"07-C-55-39","GNT-C-55-Nalanda-Narasaraopet","Lingamguntla",12,0,0,12
290,"07-C-55-39","GNT-C-55-Nalanda-Narasaraopet","Narasaraopet",22,0,0,22
291,"07-C-55-39","GNT-C-55-Nalanda-Narasaraopet","Jonnalagadda",6,0,0,6
292,"07-C-55-39","GNT-C-55-Nalanda-Narasaraopet","Pothavarppadu",0,0,0,0
293,"07-C-55-39","GNT-C-55-Nalanda-Narasaraopet","Kesanapalle",0,0,0,0
294,"07-C-55-39","GNT-C-55-Nalanda-Narasaraopet","Ellamanda",0,0,0,0
295,"07-C-55-39","GNT-C-55-Nalanda-Narasaraopet","Uppalapadu",0,0,0,0
296,"07-C-55-39","GNT-C-55-Nalanda-Narasaraopet","Govindapuram",0,0,0,0
297,"07-C-55-39","GNT-C-55-Nalanda-Narasaraopet","Kavuru",0,0,0,0
298,"07-C-55-39","GNT-C-55-Nalanda-Narasaraopet","Manukondavaripalem",0,0,0,0
299,"07-C-55-39","GNT-C-55-Nalanda-Narasaraopet","Veluru",0,0,0,0
300,"07-C-55-40","GNT-C-55-Nallama-Pedanandipadu","Pedanadipadu",0,0,0,0
301,"07-C-55-40","GNT-C-55-Nallama-Pedanandipadu","Annavaram",0,0,0,0
302,"07-C-55-40","GNT-C-55-Nallama-Pedanandipadu","Uppalapadu",0,0,0,0
303,"07-C-55-40","GNT-C-55-Nallama-Pedanandipadu","Palaparru",0,0,0,0
304,"07-C-55-40","GNT-C-55-Nallama-Pedanandipadu","Mulapalem",0,0,0,0
305,"07-C-55-40","GNT-C-55-Nallama-Pedanandipadu","Jammulapalem",0,0,0,0
306,"07-C-55-40","GNT-C-55-Nallama-Pedanandipadu","Cheruvu",0,0,0,0
307,"07-C-55-40","GNT-C-55-Nallama-Pedanandipadu","Narasayapelem",0,0,0,0
308,"07-C-55-40","GNT-C-55-Nallama-Pedanandipadu","Murukondapadu",0,0,0,0
309,"07-C-55-40","GNT-C-55-Nallama-Pedanandipadu","Kankatapalem",0,0,0,0
310,"07-C-55-40","GNT-C-55-Nallama-Pedanandipadu","Bapatla West",15,0,0,15
311,"07-C-55-40","GNT-C-55-Nallama-Pedanandipadu","Bapatla East",0,0,0,0
312,"07-C-55-40","GNT-C-55-Nallama-Pedanandipadu","Adivi",0,0,0,0
313,"07-C-55-40","GNT-C-55-Nallama-Pedanandipadu","M.P.Varipalem",0,0,0,0
314,"07-C-55-40","GNT-C-55-Nallama-Pedanandipadu","Forest and marshes",0,0,0,0
315,"07-C-55-46","GNT-C-55-Pedda-2-Mangalagiri","Tadepalle",0,0,0,0
