,,,Command area,,0.8,,,,,,,,,,Non-Command area,,,,,,,,,,,,Poor quality,,,,,,,,,,,
Sr.No,Watershed name,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,,,,,Industrial,,,
,,Type of well,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,,,,,yield,No.of ,Days of operation of wells          ,
,,,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,,,,,lph,wells,Monsoon,Non - Monsoon
67,Skl_F_Vamsadhara_Vamsadhara_W2_Hiramandalam,STW,0,0,75,120,0,,120,240,0,,120,240,0,0,75,120,0,,120,240,0,,120,240,,,,,,,,,,,,
68,Skl_F_Vamsadhara_Vamsadhara_W2_Hiramandalam,MTW,0,0,75,120,0,,120,240,0,,120,240,0,0,75,120,0,,120,240,0,,120,240,,,,,,,,,,,,
69,Skl_F_Vamsadhara_Vamsadhara_W2_Hiramandalam,Deep TW,0,0,75,120,0,,120,240,0,,120,240,0,0,75,120,0,,120,240,0,,120,240,,,,,,,,,,,,
70,Skl_F_Vamsadhara_Vamsadhara_W2_Hiramandalam,Filter Points,5600,2.8,75,120,5600,,120,240,0,,120,240,6400,28,75,120,0,,120,240,0,,120,240,,,,,,,,,,,,
71,Skl_F_Vamsadhara_Vamsadhara_W3_Sarubujjili,DW,2160,91,40,90,480,149,120,240,0,,120,240,2160,122,40,90,480,276,120,240,0,,120,240,,,,,,,,,,,,
72,Skl_F_Vamsadhara_Vamsadhara_W3_Sarubujjili,DW+PS/DCB,2800,32,40,90,2400,4,120,240,0,,120,240,3200,57,40,90,0,,120,240,0,,120,240,,,,,,,,,,,,
73,Skl_F_Vamsadhara_Vamsadhara_W3_Sarubujjili,BWs,3200,0,40,90,2880,,120,240,0,,120,240,3200,0,40,90,2880,3,120,240,0,,120,240,,,,,,,,,,,,
74,Skl_F_Vamsadhara_Vamsadhara_W3_Sarubujjili,STW,5600,102,40,90,0,,120,240,0,,120,240,6400,163,40,90,0,,120,240,0,,120,240,,,,,,,,,,,,
75,Skl_F_Vamsadhara_Vamsadhara_W3_Sarubujjili,MTW,0,0,40,90,0,,120,240,0,,120,240,0,0,40,90,0,,120,240,0,,120,240,,,,,,,,,,,,
76,Skl_F_Vamsadhara_Vamsadhara_W3_Sarubujjili,Deep TW,0,0,40,90,0,,120,240,0,,120,240,0,0,40,90,0,,120,240,0,,120,240,,,,,,,,,,,,
