S.No,Watershed code,Watershed Name, Village Name,Length ,Design depth of flow,Bed width,Side Slopes,WettedPerimeter,Wetted area,Canal seepage factor, No.of operating days of canal,, Recharge from canal (ha.m),,Annual Recharge,,,,,,,,,,,,,,
39,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,ANNAMPETA,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,11,BOORJA,01015110360113,036,ANNAMPETA
40,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,T.D.R.RAJUPETA,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,11,BOORJA,01015110380114,038,T.D.R.RAJUPETA
41,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,NEELAKANTAPURAM,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,11,BOORJA,01015110390114,039,NEELAKANTAPURAM
42,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,DEVANAPURAM,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,11,BOORJA,01015110400114,040,DEVANAPURAM
43,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,SINGANNAPALEM,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,11,BOORJA,01015110410115,041,SINGANNAPALEM
44,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,CHEEDIVALASA,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,11,BOORJA,01015110420116,042,CHEEDIVALASA
45,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,KOLLIVALASA,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,11,BOORJA,01015110430112,043,KOLLIVALASA
46,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,GANGAMPETA,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,11,BOORJA,01015110440116,044,GANGAMPETA
47,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,MAMIDIVALASA,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,11,BOORJA,01015110450117,045,MAMIDIVALASA
48,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,KAKANDYAM,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,11,BOORJA,01015110460117,046,KAKANDYAM
