"Sr.no",,,"village name","No. M.I.Tanks command area",,"Number of M.I.Tanks [Non command area]",,"Number of M.I.Tanks PQ Area
[Poor GW Quality area]",
,"Watershed code ","GW watershed name",,"Number","spread ha","Number","spread ha","Number","spread ha"
165,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","CHEKKAPURAM",,0,,0,,
166,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","DONUBAI",,0,,0,,
167,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","PUBBADA",,0,,0,,
168,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","SAMARILLI",,0,,0,,
169,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","RAYAKURUDU",,0,,0,,
170,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","DARAPADU",,0,,0,,
171,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","KOSANGI",,0,,0,,
172,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","TUMBAKONDA",,0,,0,,
173,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","JALLARA",,0,,0,,
174,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","GUMADA",,0,,0,,
175,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","SOMAGANDI",,0,,0,,
176,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","SEETHAMPATE",,0,,0,,
177,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","DEVANPURAM",,0,,0,,
178,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","GADIGUDDI",,0,,0,,
179,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","JAGATHIPALLE",,0,,0,,
180,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","KARAM",,0,,0,,
181,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","PEDARAMA",,0,,0,,
182,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","CHINARAMA",,0,,0,,
183,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","KOPUVALASA",,0,,0,,
184,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","VAMBARILLI",,0,,0,,
185,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","BUDAGARAI",,0,,0,,
186,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","SEEDHI",,0,,0,,
187,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","GEDDAKOLA",,0,,0,,
188,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","ANTIKONDA",,0,,0,,
189,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","KURUSINGI",,0,,0,,
190,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","PEDDAPALLANKI",,0,,0,,
