Sr.no,,,Village name,T.Area (ha),Watershed command area ,,,,Watershed Non command Area,,,,Watershed poor quality Area,,,
,Water shed code,Watershed name,,,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total
172,06-D-49-11,Kri-D-49-Vissannapeta,Vissannapeta,2414,2364,50,0,2414,0,0,0,0,,,,
173,06-D-49-11,Kri-D-49-Vissannapeta,Chandrupatla,2134,2134,0,0,2134,0,0,0,0,,,,
174,06-D-49-11,Kri-D-49-Vissannapeta,Narsapuram,1380,1380,0,100,1380,0,0,0,0,,,,
175,06-D-49-11,Kri-D-49-Vissannapeta,Putrela,3395,3395,0,0,3395,0,0,0,0,,,,
176,06-D-49-11,Kri-D-49-Vissannapeta,Kalagara,1910,1910,0,0,1910,0,0,0,0,,,,
177,06-D-49-11,Kri-D-49-Vissannapeta,Korlamanda,1979,1979,0,0,1979,0,0,0,0,,,,
178,06-D-49-11,Kri-D-49-Vissannapeta,Chanubanda,3444,3444,0,0,3444,0,0,0,0,,,,
179,06-D-49-11,Kri-D-49-Vissannapeta,Krishnaraopalem,372,372,0,0,372,0,0,0,0,,,,
180,06-D-49-11,Kri-D-49-Vissannapeta,Kanumuru,1461,943,518,544,1461,0,0,0,0,,,,
181,06-D-49-11,Kri-D-49-Vissannapeta,Muchinapalli,1751,1751,0,0,1751,0,0,0,0,,,,
182,06-D-49-11,Kri-D-49-Vissannapeta,Ganugapadu,2357,2357,0,0,2357,0,0,0,0,,,,
183,06-D-49-07,Kri-D-49-Gampalagudem,Gampalagudem,952,952,0,0,952,0,0,0,0,0,,,
184,06-D-49-07,Kri-D-49-Gampalagudem,Arlapadu,1182,1182,0,0,1182,0,0,0,0,0,,,
185,06-D-49-07,Kri-D-49-Gampalagudem,Chennavaram,588,588,0,0,588,0,0,0,0,0,,,
186,06-D-49-07,Kri-D-49-Gampalagudem,Gosaveedu,938,938,0,0,938,0,0,0,0,0,,,
187,06-D-49-07,Kri-D-49-Gampalagudem,Kothapalli,432,432,0,0,432,0,0,0,0,0,,,
188,06-D-49-07,Kri-D-49-Gampalagudem,Lingala,692,692,0,0,692,0,0,0,0,0,,,
189,06-D-49-07,Kri-D-49-Gampalagudem,Meduru,942,792,150,200,942,0,0,0,0,0,,,
190,06-D-49-07,Kri-D-49-Gampalagudem,Pedakomira,679,679,0,0,679,0,0,0,0,0,,,
