,,,,Command Area,,Non command Area,,Poor quality area,,,,,
,,,,Residential,,Residential,,Residential,,,,,
Sr.no,Watershed code,GW watershed name,village name,DWDW/HP,DW PWS,DWDW/HP,DW PWS,DWDW/HP,DW PWS,Total,,,
133,06-D-49-05,Kri-D-49-Veerulapadu,Tatigummi,12,2,0,0,,,14,,,
134,06-D-49-05,Kri-D-49-Veerulapadu,Gokharajupalli,10,2,0,0,,,12,,,
135,06-D-49-05,Kri-D-49-Veerulapadu,Nandaluru,10,2,0,0,,,12,,,
136,06-D-49-05,Kri-D-49-Veerulapadu,Bodawada,18,1,0,0,,,19,,,
137,06-D-49-05,Kri-D-49-Veerulapadu,Lakshmipuram,0,2,0,0,,,2,,,
138,06-D-49-05,Kri-D-49-Veerulapadu,Jammavaram,18,1,0,0,,,19,,,
139,06-D-49-01,Kri-D-49-Peddavaram,Akkapalem,22,2,0,0,,,24,,,
140,06-D-49-01,Kri-D-49-Peddavaram,Chintalapadu,19,3,0,0,,,22,,,
141,06-D-49-01,Kri-D-49-Peddavaram,Erramadu,25,2,0,0,,,27,,,
142,06-D-49-01,Kri-D-49-Peddavaram,Mustikuntla,28,3,0,0,,,31,,,
143,06-D-49-01,Kri-D-49-Peddavaram,Munukulla,51,2,0,0,,,53,,,
144,06-D-49-01,Kri-D-49-Peddavaram,Peddavaram,15,1,0,0,,,16,,,
145,06-D-49-01,Kri-D-49-Peddavaram,Vamakuntla,21,3,0,0,,,24,,,
146,06-D-49-01,Kri-D-49-Peddavaram,Vavilala,35,4,0,0,,,39,,,
147,06-D-49-08,Kri-D-49-Tiruvuru,Tiruvuru,210,11,0,0,,,221,,,
148,06-D-49-08,Kri-D-49-Tiruvuru,Chittela,23,3,0,0,,,26,,,
149,06-D-49-08,Kri-D-49-Tiruvuru,Kokilampadu,46,11,0,0,,,57,,,
150,06-D-49-08,Kri-D-49-Tiruvuru,Anjaneyapuram,21,3,0,0,,,24,,,
151,06-D-49-08,Kri-D-49-Tiruvuru,Lakshmipuram,37,4,0,0,,,41,,,
152,06-D-49-08,Kri-D-49-Tiruvuru,Rolupadi,26,1,0,0,,,27,,,
153,06-D-49-09,Kri-D-49-A.Konduru,Vallampatla,26,1,0,0,,,27,,,
154,06-D-49-09,Kri-D-49-A.Konduru,Marepalli,26,3,0,0,,,29,,,
155,06-D-49-09,Kri-D-49-A.Konduru,Polisettipadu,43,5,0,0,,,48,,,
156,06-D-49-09,Kri-D-49-A.Konduru,Mallela,61,3,0,0,,,64,,,
157,06-D-49-09,Kri-D-49-A.Konduru,Vemireddipalli,53,8,0,0,,,61,,,
158,06-D-49-10,Kri-D-49-A.Konduru,Ramannapalem,12,4,0,0,,,16,,,
159,06-D-49-11,Kri-D-49-Vissannapeta,Kambhampadu,80,3,0,0,,,83,,,
160,06-D-49-11,Kri-D-49-Vissannapeta,Atlapragada,5,1,0,0,,,6,,,
161,06-D-49-11,Kri-D-49-Vissannapeta,A.Konduru,64,8,0,0,,,72,,,
162,06-D-49-11,Kri-D-49-Vissannapeta,Kummarikuntla,27,2,0,0,,,29,,,
163,06-D-49-11,Kri-D-49-Vissannapeta,Repudi,70,5,0,0,,,75,,,
164,06-D-49-11,Kri-D-49-Vissannapeta,Gollamandala,35,3,0,0,,,38,,,
165,06-D-49-11,Kri-D-49-Vissannapeta,Koduru,46,9,0,0,,,55,,,
166,06-D-49-11,Kri-D-49-Vissannapeta,Tatakuntla,34,6,0,0,,,40,,,
167,06-D-49-11,Kri-D-49-Vissannapeta,Telladevarapalli,41,8,0,0,,,49,,,
168,06-D-49-11,Kri-D-49-Vissannapeta,Vissannapeta,116,11,0,0,,,127,,,
169,06-D-49-11,Kri-D-49-Vissannapeta,Chandrupatla,45,7,0,0,,,52,,,
