S.No,Watershed code,Watershed Name, Village Name,Length ,Design depth of flow,Bed width,Side Slopes,WettedPerimeter,Wetted area,Canal seepage factor, No.of operating days of canal,, Recharge from canal (ha.m),,Annual Recharge,,
,,,,mts,mts,mts,( degrees ),mts,( m.sq mts.),( ha.m/d/m.sq.m ),Monsoon ,N-Monsoon,Monsoon ,Non-Monsoon,( ha.m ),,
90,,Kri-D-49-Nandigama,Thotaravulapadu,,,,33.69,0,0,3.5,,,0,0,0,,
91,,Kri-D-49-Nandigama,Chintalapadu,,,,33.69,0,0,3.5,,,0,0,0,,
92,,Kri-D-49-Nandigama,Eturu,23737,0.45,8.53,33.69,10.1525009423,0.2409899149,3.5,0,20,0,16.8692940406,16.8692940406,Eturu major,Major
93,,Kri-D-49-Nandigama,Gandepalli,981,1.1,7.4,60,9.9403411844,0.0097514747,3.5,0,20,0,0.6826032291,0.6826032291,Mulapadu major,Major
94,,Kri-D-49-Nandigama,Keesara,981,1.1,7.4,60,9.9403411844,0.0097514747,3.5,0,20,0,0.6826032291,0.6826032291,Mulapadu major,Major
95,,Kri-D-49-Nandigama,Saidapuram,,,,33.69,0,0,3.5,,,0,0,0,,
96,,,Pendyala,981,1.1,7.4,60,9.9403411844,0.0097514747,3.5,0,20,0,0.6826032291,0.6826032291,Mulapadu major,Major
97,,,Vemulapalli,981,1.1,7.4,60,9.9403411844,0.0097514747,3.5,0,20,0,0.6826032291,0.6826032291,Mulapadu major,Major
98,,,S.Amaravaram,981,1.1,7.4,60,9.9403411844,0.0097514747,3.5,0,20,0,0.6826032291,0.6826032291,Mulapadu major,Major
99,,,Moguluru,981,1.1,7.4,60,9.9403411844,0.0097514747,3.5,0,20,0,0.6826032291,0.6826032291,Mulapadu major,Major
100,,,Munnaluru,,,,60,0,0,3.5,,,0,0,0,,
101,06-D-51-19,Kri-D-51-Chandarlapadu,Vedadri,,,,33.69,0,0,3.5,,,0,0,0,,
102,06-D-51-19,Kri-D-51-Chandarlapadu,Peddavaram,2028,0.3,1.22,33.69,2.3016672948,0.0046677813,3.5,120,20,1.9604681351,0.3267446892,2.2872128242,Peddavaram minor,Minor 
103,,,Peddavaram,255,0.21,0.45,33.69,1.2071671064,0.0003078276,3.5,120,20,0.1292875971,0.0215479328,0.1508355299,Peddavaram minor-I,Minor 
104,,,Peddavaram,301,0.18,0.45,33.69,1.0990003769,0.0003307991,3.5,120,20,0.1389356276,0.0231559379,0.1620915656,Peddavaram minor-II,Minor 
105,,,Peddavaram,1005,0.3,0.6,33.69,1.6816672948,0.0016900756,3.5,120,20,0.7098317652,0.1183052942,0.8281370593,Peddavaram minor-III,Minor 
106,,,Peddavaram,134,0.21,0.45,33.69,1.2071671064,0.0001617604,3.5,120,20,0.0679393647,0.0113232275,0.0792625922,Peddavaram minor-IV,Minor 
107,06-D-51-19,Kri-D-51-Chandarlapadu,Katrenipalli,2313,0.3,1.06,33.69,2.1416672948,0.0049536765,3.5,120,20,2.0805441102,0.3467573517,2.427301462,Katrenipalli minor,Minor 
108,06-D-51-19,Kri-D-51-Chandarlapadu,Gudimetla,4625,0.38,1.82,33.69,3.1901119068,0.0147542676,3.5,120,20,6.196792379,1.0327987298,7.2295911088,Gudimetla minor,Minor 
109,06-D-51-19,Kri-D-51-Chandarlapadu,Brahma botlapalem,,,,33.69,0,0,3.5,,,0,0,0,,
110,06-D-51-19,Kri-D-51-Chandarlapadu,Konayapalem,,,,33.69,0,0,3.5,,,0,0,0,,
111,06-D-51-19,Kri-D-51-Chandarlapadu,Gudimetlapalem,,,,33.69,0,0,3.5,,,0,0,0,,
112,06-D-51-19,Kri-D-51-Chandarlapadu,Bobbillapadu,1853,0.3,1.22,33.69,2.3016672948,0.0042649895,3.5,120,20,1.7912955889,0.2985492648,2.0898448537,Bobbillapadu minor,Minor 
113,06-D-51-19,Kri-D-51-Chandarlapadu,Chandarlapadu ,,,,33.69,0,0,3.5,,,0,0,0,,
114,06-D-51-19,Kri-D-51-Chandarlapadu,Patempadu,,,,33.69,0,0,3.5,,,0,0,0,,
115,06-D-51-19,Kri-D-51-Chandarlapadu,Kasarabada,,,,33.69,0,0,3.5,,,0,0,0,,
116,06-D-51-19,Kri-D-51-Chandarlapadu,Ustepalli,,,,33.69,0,0,3.5,,,0,0,0,,
