S.No,Watershed code,Watershed Name,Village Name,command area,,,,Non command area,,,,Poor GW quality area,,,
,,,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,
,,,,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi
121,06-I-52-32,Kri-I-52-Gudivada,Siddantham,94.29,0,0,0,,,,,,,,
122,06-I-52-32,Kri-I-52-Gudivada,Ramachanrapuram,44.92,0,0,0,,,,,,,,
123,06-I-52-32,Kri-I-52-Gudivada,Serivelpuru,342.37,0,0,0,,,,,,,,
124,06-I-52-32,Kri-I-52-Gudivada,Seepudi,209.23,0,0,0,,,,,,,,
125,06-I-52-32,Kri-I-52-Gudivada,Kasipudi,45.33,0,0,0,,,,,,,,
126,06-I-52-32,Kri-I-52-Gudivada,Allidoddi,26.71,0,0,0,,,,,,,,
127,06-I-52-32,Kri-I-52-Gudivada,Tattivarru,659.65,0,0,0,,,,,,,,
128,06-I-52-32,Kri-I-52-Gudivada,Ramanapudi,346.01,0,0,0,,,,,,,,
129,06-I-52-32,Kri-I-52-Gudivada,Chirichintala,222.18,0,0,0,,,,,,,,
130,06-I-52-36,Kri-I-52-Thotlavalluru,North valluru,581.55,0,3.64,0,,,,,,,,
131,06-I-52-36,Kri-I-52-Thotlavalluru,South valluru,363.01,0,6.48,0,,,,,,,,
132,06-I-52-36,Kri-I-52-Thotlavalluru,Royyuru,420.07,0,7.69,0,,,,,,,,
133,06-I-52-36,Kri-I-52-Thotlavalluru,Chagantipadu,227.84,0,0,0,,,,,,,,
134,06-I-52-36,Kri-I-52-Thotlavalluru,Devarapalli,121,0,0,0,,,,,,,,
135,06-I-52-36,Kri-I-52-Thotlavalluru,Penamakuru,428.17,0,0,0,,,,,,,,
136,06-I-52-36,Kri-I-52-Thotlavalluru,Garikaparru,176.85,0,0,0,,,,,,,,
137,06-I-52-36,Kri-I-52-Thotlavalluru,Boddapadu,453.26,0,0,0,,,,,,,,
138,06-I-52-36,Kri-I-52-Thotlavalluru,Chinapulipaka,302.31,0,0,0,,,,,,,,
139,06-I-52-36,Kri-I-52-Thotlavalluru,Kummamuru,309.19,0,0,0,,,,,,,,
140,06-I-52-36,Kri-I-52-Thotlavalluru,Kanakavalli,116.96,0,0,0,,,,,,,,
141,06-I-52-36,Kri-I-52-Thotlavalluru,Yekamuru,162.28,0,0,0,,,,,,,,
142,06-I-52-36,Kri-I-52-Thotlavalluru,Gurivindapalli,31.57,0,0,0,,,,,,,,
143,06-I-52-36,Kri-I-52-Thotlavalluru,Madhurapuram,19.83,0,0,0,,,,,,,,
144,06-I-52-36,Kri-I-52-Thotlavalluru,Molakalapalli,24.69,0,0,0,,,,,,,,
145,06-I-52-36,Kri-I-52-Thotlavalluru,Iluru,27.92,0,0,0,,,,,,,,
146,06-I-52-37,Kri-I-52-Pamidimukkala,Kapileswarapuram,1417.64,0,0,0,,,,,,,,
147,06-I-52-37,Kri-I-52-Pamidimukkala,Hanumanthapuram,181.3,0,0,0,,,,,,,,
148,06-I-52-37,Kri-I-52-Pamidimukkala,Mullapudi,198.3,0,0,0,,,,,,,,
149,06-I-52-37,Kri-I-52-Pamidimukkala,Velpuru,211.66,0,0,0,,,,,,,,
150,06-I-52-37,Kri-I-52-Pamidimukkala,Gurralanka,45.33,0,0,0,,,,,,,,
151,06-I-52-37,Kri-I-52-Pamidimukkala,Pamidimukkala,256.98,0,0,0,,,,,,,,
152,06-I-52-37,Kri-I-52-Pamidimukkala,Agniparru,185.75,0,0,0,,,,,,,,
153,06-I-52-37,Kri-I-52-Pamidimukkala,Mamillapalli,161.07,0,0,0,,,,,,,,
154,06-I-52-37,Kri-I-52-Pamidimukkala,Penumatcha,452.45,0,0,0,,,,,,,,
155,06-I-52-37,Kri-I-52-Pamidimukkala,Krishnapuram,556.05,0,0,0,,,,,,,,
156,06-I-52-37,Kri-I-52-Pamidimukkala,Choragudi,652.37,0,0,0,,,,,,,,
157,06-I-52-37,Kri-I-52-Pamidimukkala,Srirangapuram,299.07,0,0,0,,,,,,,,
158,06-I-52-37,Kri-I-52-Pamidimukkala,Meduru,958.32,0,0,0,,,,,,,,
159,06-I-52-37,Kri-I-52-Pamidimukkala,Chennuripalem,125.86,0,0,0,,,,,,,,
160,06-I-52-37,Kri-I-52-Pamidimukkala,Paidikondalavaripalem,161.07,0,0,0,,,,,,,,
161,06-I-52-37,Kri-I-52-Pamidimukkala,Veeranki,186.16,0,0,0,,,,,,,,
162,06-I-52-37,Kri-I-52-Pamidimukkala,Ameenapuram,239.58,0,0,0,,,,,,,,
163,06-I-52-37,Kri-I-52-Pamidimukkala,Kuderu,428.98,0,0,0,,,,,,,,
164,06-I-52-37,Kri-I-52-Pamidimukkala,Lankapalli,183.73,0,0,0,,,,,,,,
165,06-I-52-37,Kri-I-52-Pamidimukkala,Lankapallilanka,0,0,0,0,,,,,,,,
166,06-I-52-37,Kri-I-52-Pamidimukkala,Phatelanka,134.76,0,0,0,,,,,,,,
167,06-I-52-37,Kri-I-52-Pamidimukkala,Inapuru,72.44,0,0,0,,,,,,,,
168,06-I-52-37,Kri-I-52-Pamidimukkala,Mantada,135.57,0,0,0,,,,,,,,
169,06-I-52-37,Kri-I-52-Pamidimukkala,Tadanki,284.1,0,0,0,,,,,,,,
170,06-I-52-37,Kri-I-52-Pamidimukkala,Inampudi,270.34,0,0,0,,,,,,,,
171,06-I-52-37,Kri-I-52-Pamidimukkala,Gurajada,290.98,0,0,0,,,,,,,,
172,06-I-52-37,Kri-I-52-Pamidimukkala,Gopuvanipalem,133.55,0,0,0,,,,,,,,
173,06-I-52-37,Kri-I-52-Pamidimukkala,Marrivada,239.98,0,0,0,,,,,,,,
174,06-I-52-39,Kri-I-52-Pamarru,Pamarru,1237.56,0,8.5,0,,,,,,,,
175,06-I-52-39,Kri-I-52-Pamarru,Kanumuru,547.96,0,6.88,0,,,,,,,,
176,06-I-52-39,Kri-I-52-Pamarru,Kurumaddali,747.07,0,3.24,0,,,,,,,,
177,06-I-52-39,Kri-I-52-Pamarru,Uruturu,405.1,0,7.28,0,,,,,,,,
178,06-I-52-39,Kri-I-52-Pamarru,Balliparru,114.93,0,0,0,,,,,,,,
179,06-I-52-39,Kri-I-52-Pamarru,Raparla,307.16,0,0,0,,,,,,,,
180,06-I-52-39,Kri-I-52-Pamarru,Jamidaggumilli,189.8,0,0,0,,,,,,,,
181,06-I-52-39,Kri-I-52-Pamarru,Polavaram,73.65,0,0,0,,,,,,,,
182,06-I-52-39,Kri-I-52-Pamarru,Undrapudi,144.88,0,0,0,,,,,,,,
183,06-I-52-39,Kri-I-52-Pamarru,Jujjavaram,364.63,0,4.05,0,,,,,,,,
184,06-I-52-39,Kri-I-52-Pamarru,Pasumarru,755.56,0,18.62,0,,,,,,,,
185,06-I-52-39,Kri-I-52-Pamarru,Kapavaram,443.95,0,5.26,0,,,,,,,,
186,06-I-52-39,Kri-I-52-Pamarru,Nimmakuru,433.83,0,3.24,0,,,,,,,,
187,06-I-52-39,Kri-I-52-Pamarru,Nibhanupudi,191.02,0,1.62,0,,,,,,,,
188,06-I-52-39,Kri-I-52-Pamarru,Nimmaluru,323.76,0,0,0,,,,,,,,
189,06-I-52-39,Kri-I-52-Pamarru,Parakarala,89.44,0,0,0,,,,,,,,
