,,,,"Command Area",,,,,,,"Non-Command Area",,,,,,,"Poor GW quality area",,,,,,,
,,,,"Irrigated",,,,,,,"Irrigated",,,,,,,"Irrigated",,,,,,,
"Sr.no","Watershed code","GW watershed name","village name","DW","DW PS","BW","STW","MTW","DTW","FP","DW","DW PS","BW","STW","MTW","DTW","FP","DW","DW PS","BW","STW","MTW","DTW","FP",
81,"04_E_32_26-003","EG-G-Zk-Rangampet","Rallakandrika",0,0,6,8,0,0,7,0,0,0,0,0,0,0,,,,,,,,
82,"04_E_32_26-003","EG-G-Zk-Rangampet","Illapalli",0,0,0,0,0,0,0,0,7,8,8,0,10,13,,,,,,,,
83,"04_E_32_26-003","EG-G-Zk-Rangampet","Peda Brahmadevam",0,0,0,7,11,7,2,,,,,,,,,,,,,,,
84,"04_E_32_26-003","EG-G-Zk-Rangampet","G.Medapadu",0,0,0,10,9,8,0,,,,,,,,,,,,,,,
85,"04_E_32_26-003","EG-G-Zk-Rangampet","Surampalem",0,9,14,8,12,10,13,0,0,0,0,0,0,0,,,,,,,,
86,"04_E_32_26-003","EG-G-Zk-Rangampet","Valutimmapuram",0,8,9,8,9,9,12,0,0,0,0,0,0,0,,,,,,,,
87,"04_E_32_26-003","EG-G-Zk-Rangampet","Anuru",0,0,0,16,24,23,0,0,0,0,0,0,0,0,,,,,,,,
88,"04_E_32_26-003","EG-G-Zk-Rangampet","Rayabhupalapatnam",0,15,23,23,25,22,20,0,0,0,0,0,0,0,,,,,,,,
89,"04_E_32_26-003","EG-G-Zk-Rangampet","Chinabrahmadevaram",0,14,17,15,17,14,24,0,0,0,0,0,0,0,,,,,,,,
90,"04_E_32_26-003","EG-G-Zk-Rangampet","Rameswaram",0,0,0,0,61,26,0,0,0,0,0,0,0,0,,,,,,,,
91,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Rajupalem",0,0,0,0,0,0,25,0,0,0,0,0,0,0,,,,,,,,
92,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Veeravaram",0,0,0,6,0,0,17,0,0,0,0,0,0,0,,,,,,,,
93,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Mukkollu",0,0,0,0,0,0,11,0,0,0,0,0,0,0,,,,,,,,
94,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Tamarada",0,0,0,0,0,0,3,0,0,0,0,0,0,0,,,,,,,,
95,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Burugupudi",0,0,0,0,0,0,14,0,0,0,0,0,0,0,,,,,,,,
96,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Krishnavaram",0,0,0,12,0,0,16,0,0,0,0,0,0,0,,,,,,,,
97,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Goneda",0,0,0,0,0,0,2,0,0,0,0,0,0,0,,,,,,,,
98,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Somavaram",0,0,0,0,0,0,8,0,0,0,0,0,0,0,,,,,,,,
