"GW Watershed Name","Iwm basin names","GW Village Name","iwm village names"
"EG-MHG-Pp- Sankhavaram","EG-MHG-PP-SANKHAVARAM-MB","Bendapudi","Bendapudi"
"EG-MHG-Yle- Kirlampudi","EG-MHG-YLE-KIRLAMPUDI-MB","Bhadravaram","Bhadravaram"
"EG_G_LGD_ Kgangavaram","KGANGAVARAMU-MB","Bhatlapalika","Bhatla Palika"
"EG-G-LGD- Amalapuram","AMALAPURAM-MB","Bhatnavilli","Bhatnavilli"
"EG-MHG-Pd- Y.Ramavaram","EG-MHG-PD-Y RAMAVARAM-MB","BHEEMUDUGADDA","Bheemudugadda"
"EG_G_LGD_ Rcpuram","RAMACHANDRAPURAM-MB","Bhimakosupalm","Bheemakrosupalem"
"EG_G_LGD_ Upplguptam","UPPALAGUPTAM-MB","Bhimanapalli","Bheemanapalle"
"EG-G-Pm- Kutravada","EG-G-PM-KUTRAVADA-MB","BHIMAVARAM","Bhimavaram-7"
"EG-G-Sp- Rchodavaram","EG-G-SP-RAMPACHODAVARAM-MB","Bhimavaram","Bhimavaram-7"
"EG-MHG-ThE- Kotananduru","EG-MHG-THE-KOTANANDURU-MB","Bhimavarapukota","Bhimavarapukota"
"EG-MHG-Mg- Addateegala","EG-MHG-MG-ADDATEEGALA-MB","Bhimudupakalu","Bhimudupakalu"
"EG-MHG-Yle- Kirlampudi","EG-MHG-YLE-KIRLAMPUDI-MB","Bhogapuram","Bhogapuram"
"EG-G-Zk-Rangampet","EG-G-ZK-RANGAMPETA-MB","Bhupalapatnam","Bhupalapatnam-1"
"EG-MHG-Yle- Kirlampudi","EG-MHG-YLE-KIRLAMPUDI-MB","Bhupalapatnam","Bhupalapatnam-1"
"EG-MHG-Ylw- Eleswaram","EG-MHG-YLW-ELESWARAM-MB","Bhupatipalem","Bhupatipalem"
"EG-G-Sp- Rchodavaram","EG-G-SP-RAMPACHODAVARAM-MB","Bhupatipalem","Bhupatipalem"
"EG-G-LGD- Biccavole","BICCAVOLU-MB","Biccavolu","Biccavolu-1"
"EG_G_LGD_ Kothapeta","KOTHAPETA-MB","Billakurru","Billa Kurru"
"EG-MHG-ThE- Kotananduru","EG-MHG-THE-KOTANANDURU-MB","Billananduru","Billananduru"
"EG-MHG-Pp- Sankhavaram","EG-MHG-PP-SANKHAVARAM-MB","Billawaka","Billavaka"
"EG-G-BkW- Sitanagaram","EG-G-BKW-SITANAGARAM-MB","Bobbilanka","Bobbillanka"
"EG_G_GD_ Allavaram","ALLAVARAM-MB","Bodasakurru","Bodasakurru"
"EG-MHG-Pd- Y.Ramavaram","EG-MHG-PD-Y RAMAVARAM-MB","BODDAGUNTA","Boddagunta"
"EG-MHG-Pd- Y.Ramavaram","EG-MHG-PD-Y RAMAVARAM-MB","BODDAPALLI","Boddapalle"
"EG-MHG-ThE- Kotananduru","EG-MHG-THE-KOTANANDURU-MB","Boddavaram","Boddavaram"
"EG-MHG-Md- Jaddangi","EG-MHG-MD-JADDANGI-MB","BODLAGONDI","Bodlagondi"
"EG-G-Pm- Kutravada","EG-G-PM-KUTRAVADA-MB","BODLANKA","Bodlanka-1"
"EG-MHG-Md- Jaddangi","EG-MHG-MD-JADDANGI-MB","Bodlanka","Bodlanka"
"EG-G-Pm- Kutravada","EG-G-PM-KUTRAVADA-MB","BODULURU","Boduluru"
"EG-MHG-Pd- Y.Ramavaram","EG-MHG-PD-Y RAMAVARAM-MB","BOLAGONDA","Bolagonda"
"EG-G-BkW- Sitanagaram","EG-G-BKW-SITANAGARAM-MB","Bolleddupalem","Bodleddupalem"
"EG-G-BkS-Rajanagaram","EG-G-BKS-RAJANAGARAM-MB","Bommuru(U)","BOMMURU-1"
"EG-MHG-Pd- Y.Ramavaram","EG-MHG-PD-Y RAMAVARAM-MB","BONANGIPALEM","Bullojupalem"
"EG-MHG-Mg- Addateegala","EG-MHG-MG-ADDATEEGALA-MB","Bonangipalem","Bonangipalem"
"EG-G-Sp- Rchodavaram","EG-G-SP-RAMPACHODAVARAM-MB","Bornagudem","Bornagudem-1"
"EG-MHG-Dg- Bornagudem","EG-MHG-DG-BORNAGUDEM-MB","Bornagudem","Bornagudem"
"EG-MHG-Ylw- Eleswaram","EG-MHG-YLW-ELESWARAM-MB","Borrampalem","Borrampalem"
"EG-MHG-Ylw- Eleswaram","EG-MHG-YLW-ELESWARAM-MB","Boyanapudi","Boyanapudi"
"EG-MHG-Md- Jaddangi","EG-MHG-MD-JADDANGI-MB","BOYAPADU","Boyapadu"
"EG_G_LGD_ Katrenikona","KATRENIKONA-MB","Brahmasamedhyam","Brahmasamedyam"
"EG-G-BkS-Rajanagaram","EG-G-BKS-RAJANAGARAM-MB","Buchimpeta","Butchempeta"
"EG-MHG-Pd- Y.Ramavaram","EG-MHG-PD-Y RAMAVARAM-MB","BULLOJUPALEM","Bullojupalem"
"EG-MHG-Sg- Prathipadu","EG-MHG-SG-PRATHIPADU-MB","Buradakota","Buradakota"
"EG-MHG-Pd- Y.Ramavaram","EG-MHG-PD-Y RAMAVARAM-MB","BURADAKOTA","Buradakota"
"EG-G-Pm- Kutravada","EG-G-PM-KUTRAVADA-MB","BURADAVALASA","Buradavalasa"
"EG-G-BkS-Rajanagaram","EG-G-BKS-RAJANAGARAM-MB","Burugupudi","Burugupudi-1"
"EG-MHG-Ylw- Eleswaram","EG-MHG-YLW-ELESWARAM-MB","Burugupudi","Burugupudi-1"
"EG-MHG-Pd- Y.Ramavaram","EG-MHG-PD-Y RAMAVARAM-MB","BURUGUVADA","Buruguwada"
"EG-G-Sp- Rchodavaram","EG-G-SP-RAMPACHODAVARAM-MB","Busigudem","Busigudem"
"EG-G-Pm- Kutravada","EG-G-PM-KUTRAVADA-MB","BUSIKOTA","Busikota"
"EG-MHG-ThE- Kotananduru","EG-MHG-THE-KOTANANDURU-MB","Ch.Agraharam","Ch. Agraharam"
"EG-G-LGD- Mummidivaram","MUMMIDIVARAMU-MB","Ch.Gunnepalli","Ch. Gunnepalle"
"EG-G-Sp- Rchodavaram","EG-G-SP-RAMPACHODAVARAM-MB","CH.RAMANAYYAPET","China Ramanayyapeta"
"EG-MHG-Ylw- Eleswaram","EG-MHG-YLW-ELESWARAM-MB","Chadalada","Chadalada"
