"sr.no",,,"village name","No. M.I.Tanks command area",,"Number of M.I.Tanks [Non command area]",,"Number of M.I.Tanks PQ Area
[Poor GW Quality area]",
,"Watershed code ","GW watershed name",,"Number","spread ha","Number","spread ha","Number","spread ha"
137,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Ulimeswram",,,,,,
138,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Vadlamuru",,,,,,
139,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Chandramampalli",,,,,,
140,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Mamilladoddi",,,,,,
141,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Boyanapudi",,,,,,
142,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","V.K.Rayapuram",,,,,,
143,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Unduru",,,,,,
144,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Koppavaram",,,,,,
145,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Panasapadu",,,,,,
146,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Valluru",,,,,,
147,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","PVemavaram",,,,,,
148,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Navara",,,,,,
149,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Pawara",,,,,,
150,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Jaggammagaripeta",3,16,,,,
151,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Madhavapatnam",,,,,,
152,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Samalkota",,,,,,
153,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Vetlapalem",5,32,,,,
154,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Pandravada",,,,,,
155,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Kapavaram",,,,,,
156,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","D.Pinjarikonda",,,,,,
157,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Kottampalem",,,,,,
158,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Jayachintalapadu",,,,,,
159,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Badadam",,,1,6,,
160,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Matlapadu",,,1,4,,
161,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Uppalapadu",,,,,,
162,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Gadichinnampalem",,,,,,
163,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","D.Krishnavaram",,,,,,
164,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Forest",,,,,,
165,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","MOLLERU",,,,,,
166,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","B.SIVARAMPATNAM",,,,,,
167,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","RAMULDEVAPURAM",,,,,,
168,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","LINGAVARAM",,,,,,
169,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","KATTUMILLI",,,,,,
170,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Forest",,,,,,
171,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Kalijolla",,,,,,
172,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Bhupatipalem",,,,,,
173,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Narendrapatnam",11,72,,,,
174,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Mamidada",4,22,,,,
175,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Irripaka",2,9,,,,
176,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Kandregula",,,6,32,,
177,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Govindapuram",,,4,18,,
178,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Rajapudi",12,84,,,,
179,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Manyanvaripalem",6,41,,,,
180,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Balabadrapuram",0,,,,,
181,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Gollalagunta",7,38,,,,
182,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Seethampet",,,3,14,,
183,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Marripaka",5,27,,,,
184,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Guttappalem",,,2,8,,
185,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Tirupathirajupet",,,1,5,,
186,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","J.Kotturu",2,9,,,,
187,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Jaggampet",19,136,,,,
188,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Ramavaram",2,9,,,,
189,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Seethanagaram",2,11,,,,
190,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Katravulapalli",3,18,,,,
191,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Timmapuram",,,,,,
192,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Panduru",,,,,,
193,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Nemam",,,,,,
194,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Thammavaram",,,,,,
195,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Penumarthi",,,,,,
196,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Vakalapudi",,,,,,
197,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Ramanayyapet",,,,,,
198,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Sarpavaram",,,,,,
199,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Ganganapalle",,,,,,
200,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Suryaraopet",,,,,,
201,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Chidiga",,,,,,
202,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Kovvada",,,,,,
