,,,,"CA","NCA","PQA",,,
,,,,"Industrial","Industrial","Industrial",,,
"Sr.no","Watershed code","GW watershed name","village name","Industrial Wells","Industrial Wells","Industrial Wells","Total ",,
201,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Chidiga",0,0,,0,,
202,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Kovvada",0,0,,0,,
203,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Repuru",0,0,,0,,
204,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Kkd Medaline",0,0,,0,,
205,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Kkd Muncipality",0,0,,0,,
206,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Jagannadhapuram",0,0,,0,,
207,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Mallepalle",0,0,,0,,
208,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Uppalapadu",0,0,,0,,
209,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Talluru",0,0,,0,,
210,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Pro.Rangampet",0,0,,0,,
211,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Borrampalem",0,0,,0,,
212,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Yellamalli",0,0,,0,,
213,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Nayakampalli",0,0,,0,,
214,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Yerrampalem",0,0,,0,,
215,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Atchyutapuratrayam",0,0,,0,,
216,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Krishnunipalem",0,10,,10,,
217,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Gokavaram",0,22,,22,,
218,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Tantikonda",0,5,,5,,
219,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Gadelapalem",0,0,,0,,
220,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","NELAKOTA",0,0,,0,,
221,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","POTAVARAM",0,0,,0,,
222,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","DEVARAM",0,0,,0,,
223,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","M.RAVILANKA",0,0,,0,,
224,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","PEDABHIMPALLI",0,0,,0,,
225,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","INDUKURU",0,0,,0,,
226,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","INDUKURUPET",0,0,,0,,
227,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","SARABAVARAM",0,0,,0,,
228,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","LOTHUPALEM",0,0,,0,,
229,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Forest",0,0,,0,,
230,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Bolleddupalem",3,0,,3,,
231,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Kotikesavaram",4,,,4,,
232,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Raghavapuram",3,0,,3,,
233,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Srirangapatnam",0,6,,6,,
234,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Koti",1,0,,1,,
235,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Munagala",1,0,,1,,
236,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Kapavaram",13,0,,13,,
237,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Korukonda",0,23,,23,,
238,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Purushottapatnam",2,0,,2,,
239,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Vangalapudi",8,0,,8,,
240,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","chinakodepudi",11,,,11,,
241,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Nagampalli",0,0,,0,,
242,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Nallagonda",0,0,,0,,
243,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Singavaram",1,0,,1,,
244,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Sitanagaram",13,0,,13,,
245,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Raghudevapuram",22,0,,22,,
246,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Kunavaram",0,0,,0,,
247,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Muggalla",3,0,,3,,
248,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Munikudali",0,0,,0,,
249,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Katavaram",1,0,,1,,
250,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Jalimudi",0,0,,0,,
251,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Bobbilanka",0,0,,0,,
252,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Penikalapudi",0,0,,0,,
253,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Dirisenapalli",0,0,,0,,
254,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Narasapuram",0,0,,0,,
255,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","K.Yerrampalem",0,0,,0,,
256,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Foulkspeta",0,0,,0,,
257,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Devarathigudem",0,0,,0,,
258,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Kannavaram",,,,0,,
